,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
6,clf,gboosting,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,"[58.433734939759034, 81.3915857605178, 57.89473684210526]","[332, 618, 342]",1292,2.20
7,clf,ada,basic,ALL_NO_3_2_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,"[61.144578313253014, 73.46278317152104, 68.12865497076024]","[332, 618, 342]",1292,0.68
0,clf,kn,all,ALL_NO_3_2_1,60_120,included,basic,0.62,{'n_neighbors': 21},0.65,"[47.89156626506024, 84.46601941747574, 47.66081871345029]","[332, 618, 342]",1292,2.61
1,clf,svc-rbf,all,ALL_NO_3_2_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,"[0.0, 100.0, 0.0]","[332, 618, 342]",1292,7.26
2,clf,svc-poly,all,ALL_NO_3_2_1,60_120,included,basic,0.29,{},0.26,"[100.0, 0.0, 0.0]","[332, 618, 342]",1292,0.21
3,clf,dtree,all,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 10}",0.69,"[61.144578313253014, 84.46601941747574, 47.66081871345029]","[332, 618, 342]",1292,0.40
4,clf,rforest,all,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 50}",0.69,"[53.91566265060241, 83.65695792880258, 56.14035087719298]","[332, 618, 342]",1292,12.77
5,clf,xgb,all,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.70,"[57.53012048192771, 82.20064724919094, 58.187134502923975]","[332, 618, 342]",1292,1.68
6,clf,gboosting,all,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 10},0.70,"[56.9277108433735, 84.3042071197411, 55.26315789473684]","[332, 618, 342]",1292,2.05
7,clf,ada,all,ALL_NO_3_2_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,"[61.144578313253014, 73.46278317152104, 68.12865497076024]","[332, 618, 342]",1292,0.64
