,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
21,53.6,EUR,2018-10-24 02:30:00,55.5,worse,Medium,German Flash Services PMI,55.9,worse,43
22,52.1,EUR,2018-10-24 03:00:00,53.0,worse,Medium,Flash Manufacturing PMI,53.2,,43
23,53.3,EUR,2018-10-24 03:00:00,54.5,worse,Medium,Flash Services PMI,54.7,,43
24,3.5%,EUR,2018-10-24 03:00:00,3.5%,,Low,M3 Money Supply y/y,3.4%,,43
25,3.1%,EUR,2018-10-24 03:00:00,3.2%,worse,Low,Private Loans y/y,3.1%,,43
26,38.5K,GBP,2018-10-24 03:30:00,39.0K,worse,Low,High Street Lending,39.2K,,43
27,-1.1,EUR,2018-10-24 08:00:00,0.5,worse,Low,Belgian NBB Business Climate,1.2,,43
28,0.3%,USD,2018-10-24 08:00:00,0.3%,,Low,HPI m/m,0.4%,better,43
29,55.9,USD,2018-10-24 08:45:00,55.4,better,Low,Flash Manufacturing PMI,55.6,,43
30,54.7,USD,2018-10-24 08:45:00,54.1,better,Low,Flash Services PMI,53.5,better,43
31,,CAD,2018-10-24 09:00:00,,,High,BOC Monetary Policy Report,,,43
32,,CAD,2018-10-24 09:00:00,,,High,BOC Rate Statement,,,43
33,1.75%,CAD,2018-10-24 09:00:00,1.75%,,High,Overnight Rate,1.50%,,43
34,553K,USD,2018-10-24 09:00:00,627K,worse,Low,New Home Sales,585K,worse,43
35,6.3M,USD,2018-10-24 09:30:00,3.6M,,Medium,Crude Oil Inventories,6.5M,,43
36,,CAD,2018-10-24 10:15:00,,,High,BOC Press Conference,,,43
37,,USD,2018-10-24 12:00:00,,,Medium,FOMC Member Bostic Speaks,,,43
38,,USD,2018-10-24 12:10:00,,,Medium,FOMC Member Mester Speaks,,,43
39,,USD,2018-10-24 13:00:00,,,Low,Beige Book,,,43
40,-1560M,NZD,2018-10-24 16:45:00,-1365M,worse,Medium,Trade Balance,-1470M,better,43
41,,USD,2018-10-24 18:00:00,,,Low,FOMC Member Brainard Speaks,,,43
42,1.2%,JPY,2018-10-24 18:50:00,1.2%,,Low,SPPI y/y,1.3%,,43
43,14.6%,EUR,2018-10-25 02:00:00,14.9%,better,Medium,Spanish Unemployment Rate,15.3%,,43
44,102.8,EUR,2018-10-25 03:00:00,103.1,worse,Medium,German Ifo Business Climate,103.7,,43
45,,All,2018-10-25 00:00:00,,,Medium,OPEC-JMMC Meetings,,,43
46,0.00%,EUR,2018-10-25 06:45:00,0.00%,,High,Main Refinancing Rate,0.00%,,43
47,,EUR,2018-10-25 07:30:00,,,High,ECB Press Conference,,,43
48,0.1%,USD,2018-10-25 07:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,0.0%,,43
49,0.8%,USD,2018-10-25 07:30:00,-1.3%,better,Medium,Durable Goods Orders m/m,4.4%,,43
50,-76.0B,USD,2018-10-25 07:30:00,-74.9B,worse,Low,Goods Trade Balance,-75.5B,,43
51,0.3%,USD,2018-10-25 07:30:00,0.5%,better,Low,Prelim Wholesale Inventories m/m,1.0%,worse,43
52,215K,USD,2018-10-25 07:30:00,214K,,Low,Unemployment Claims,210K,,43
53,1.2%,CNY,2018-10-25 08:00:00,,,Low,CB Leading Index m/m,0.7%,,43
54,0.5%,USD,2018-10-25 09:00:00,-0.1%,better,Low,Pending Home Sales m/m,-1.9%,,43
55,58B,USD,2018-10-25 09:30:00,47B,,Low,Natural Gas Storage,81B,,43
56,,USD,2018-10-25 11:15:00,,,Medium,FOMC Member Clarida Speaks,,,43
57,,USD,2018-10-25 16:30:00,,,Medium,FOMC Member Mester Speaks,,,43
58,1.0%,JPY,2018-10-25 18:30:00,1.0%,,Low,Tokyo Core CPI y/y,1.0%,,43
59,10.6,EUR,2018-10-26 01:00:00,10.5,,Low,German GfK Consumer Climate,10.6,,43
60,3.5%,USD,2018-10-26 07:30:00,3.3%,better,High,Advance GDP q/q,4.2%,better,43
61,1.7%,USD,2018-10-26 07:30:00,2.1%,worse,Medium,Advance GDP Price Index q/q,3.0%,,43
62,,EUR,2018-10-26 09:00:00,,,High,ECB President Draghi Speaks,,,43
63,98.6,USD,2018-10-26 09:00:00,98.9,,Medium,Revised UoM Consumer Sentiment,99.0,,43
64,2.9%,USD,2018-10-26 09:00:00,,,Low,Revised UoM Inflation Expectations,2.8%,,43
65,,CHF,2018-10-27 21:00:00,,,Non-Economic,Daylight Saving Time Shift,,,43
66,,EUR,2018-10-27 21:00:00,,,Non-Economic,Daylight Saving Time Shift,,,43
67,,GBP,2018-10-27 21:00:00,,,Non-Economic,Daylight Saving Time Shift,,,43
68,,All,2018-10-14 00:00:00,,,Low,IMF Meetings,,,42
69,1.0%,GBP,2018-10-14 18:01:00,,,Low,Rightmove HPI m/m,0.7%,,42
70,0.2%,JPY,2018-10-14 23:30:00,0.7%,worse,Low,Revised Industrial Production m/m,0.7%,,42
71,-0.2%,CHF,2018-10-15 02:15:00,0.1%,worse,Low,PPI m/m,0.0%,,42
72,-0.1%,USD,2018-10-15 07:30:00,0.4%,worse,High,Core Retail Sales m/m,0.2%,worse,42
73,0.1%,USD,2018-10-15 07:30:00,0.7%,worse,High,Retail Sales m/m,0.1%,,42
74,21.1,USD,2018-10-15 07:30:00,20.4,better,Low,Empire State Manufacturing Index,19.0,,42
75,0.5%,USD,2018-10-15 09:00:00,0.5%,,Low,Business Inventories m/m,0.7%,worse,42
76,,CAD,2018-10-15 09:30:00,,,High,BOC Business Outlook Survey,,,42
77,,GBP,2018-10-15 09:34:00,,,High,Prime Minister May Speaks,,,42
78,119.1B,USD,2018-10-15 13:00:00,71.0B,better,Low,Federal Budget Balance,-214.1B,,42
79,0.9%,NZD,2018-10-15 16:45:00,0.7%,better,High,CPI q/q,0.4%,,42
80,,AUD,2018-10-15 19:30:00,,,Medium,Monetary Policy Meeting Minutes,,,42
81,2.5%,CNY,2018-10-15 20:30:00,2.5%,,Medium,CPI y/y,2.3%,,42
82,3.6%,CNY,2018-10-15 20:30:00,3.7%,,Low,PPI y/y,4.1%,,42
83,0.0%,EUR,2018-10-16 01:00:00,0.1%,worse,Low,German Import Prices m/m,-0.2%,,42
84,2.7%,GBP,2018-10-16 03:30:00,2.6%,better,High,Average Earnings Index 3m/y,2.6%,,42
85,4.0%,GBP,2018-10-16 03:30:00,4.0%,,Medium,Unemployment Rate,4.0%,,42
86,18.5K,GBP,2018-10-16 03:30:00,4.5K,worse,Low,Claimant Count Change,14.2K,worse,42
87,16.6B,EUR,2018-10-16 04:00:00,15.0B,better,Low,Trade Balance,12.6B,,42
88,-19.4,EUR,2018-10-16 04:00:00,-9.2,worse,Low,ZEW Economic Sentiment,-7.2,,42
89,-24.7,EUR,2018-10-16 04:00:00,-12.3,worse,Low,German ZEW Economic Sentiment,-10.6,,42
90,2.56B,EUR,2018-10-16 05:04:00,4.34B,worse,Low,Italian Trade Balance,5.66B,,42
91,2.82B,CAD,2018-10-16 07:30:00,10.05B,worse,Medium,Foreign Securities Purchases,15.29B,better,42
92,78.1%,USD,2018-10-16 08:15:00,78.2%,,Low,Capacity Utilization Rate,78.1%,,42
93,0.3%,USD,2018-10-16 08:15:00,0.2%,better,Low,Industrial Production m/m,0.4%,,42
94,7.14M,USD,2018-10-16 09:00:00,6.90M,better,Low,JOLTS Job Openings,7.08M,better,42
95,68,USD,2018-10-16 09:00:00,68,,Low,NAHB Housing Market Index,67,,42
96,-0.3%,NZD,2018-10-16 09:39:00,,,Low,GDT Price Index,-1.9%,,42
97,131.8B,USD,2018-10-16 15:00:00,50.3B,better,Low,TIC Long-Term Purchases,66.7B,worse,42
98,,USD,2018-10-16 15:15:00,,,Medium,FOMC Member Daly Speaks,,,42
99,,AUD,2018-10-16 16:20:00,,,Medium,RBA Assist Gov Debelle Speaks,,,42
100,-0.1%,AUD,2018-10-16 18:30:00,,,Low,MI Leading Index m/m,0.0%,worse,42
101,8.3%,CNY,2018-10-17 03:02:00,8.2%,,Low,M2 Money Supply y/y,8.2%,,42
102,1380B,CNY,2018-10-17 03:02:00,1355B,better,Low,New Loans,1280B,,42
103,2.4%,GBP,2018-10-17 03:30:00,2.6%,worse,High,CPI y/y,2.7%,,42
104,1.3%,GBP,2018-10-17 03:30:00,0.9%,better,Medium,PPI Input m/m,1.2%,better,42
105,3.3%,GBP,2018-10-17 03:30:00,3.5%,worse,Medium,RPI y/y,3.5%,,42
106,1.9%,GBP,2018-10-17 03:30:00,2.0%,worse,Low,Core CPI y/y,2.1%,,42
107,,GBP,2018-10-17 03:30:00,,,Low,FPC Meeting Minutes,,,42
108,3.2%,GBP,2018-10-17 03:30:00,2.9%,better,Low,HPI y/y,3.4%,better,42
109,0.4%,GBP,2018-10-17 03:30:00,0.2%,better,Low,PPI Output m/m,0.2%,,42
110,2.1%,EUR,2018-10-17 04:00:00,2.1%,,Low,Final CPI y/y,2.1%,,42
111,0.9%,EUR,2018-10-17 04:00:00,0.9%,,Low,Final Core CPI y/y,0.9%,,42
112,1.04|1.4,EUR,2018-10-17 04:35:00,,,Low,German 30-y Bond Auction,1.10|2.0,,42
113,,EUR,2018-10-17 00:00:00,,,High,EU Economic Summit,,,42
114,-0.4%,CAD,2018-10-17 07:30:00,-0.6%,better,Medium,Manufacturing Sales m/m,1.2%,better,42
115,1.24M,USD,2018-10-17 07:30:00,1.27M,worse,Medium,Building Permits,1.25M,,42
116,1.20M,USD,2018-10-17 07:30:00,1.22M,,Medium,Housing Starts,1.27M,,42
117,,GBP,2018-10-17 08:15:00,,,Medium,MPC Member Cunliffe Speaks,,,42
118,-0.2%,GBP,2018-10-17 08:30:00,,,Low,CB Leading Index m/m,0.0%,better,42
119,6.5M,USD,2018-10-17 09:30:00,1.6M,,Medium,Crude Oil Inventories,6.0M,,42
120,,USD,2018-10-17 11:10:00,,,Medium,FOMC Member Brainard Speaks,,,42
121,,EUR,2018-10-17 11:30:00,,,Medium,German Buba President Weidmann Speaks,,,42
122,,GBP,2018-10-17 12:00:00,,,Medium,MPC Member Broadbent Speaks,,,42
123,,USD,2018-10-17 13:00:00,,,High,FOMC Meeting Minutes,,,42
124,,USD,2018-10-17 16:00:00,,,Medium,Treasury Currency Report,,,42
125,-0.24T,JPY,2018-10-17 18:50:00,-0.34T,better,Low,Trade Balance,-0.19T,,42
126,5.6K,AUD,2018-10-17 19:30:00,15.2K,worse,High,Employment Change,44.6K,,42
127,5.0%,AUD,2018-10-17 19:30:00,5.3%,better,High,Unemployment Rate,5.3%,,42
128,3,AUD,2018-10-17 19:30:00,,,Low,NAB Quarterly Business Confidence,7,,42
129,,JPY,2018-10-17 19:30:00,,,High,BOJ Gov Kuroda Speaks,,,42
130,2.43B,CHF,2018-10-18 01:00:00,2.45B,,Low,Trade Balance,2.08B,worse,42
131,0.4%,EUR,2018-10-18 01:00:00,0.4%,,Low,German WPI m/m,0.3%,,42
132,2.9%,CNY,2018-10-18 02:00:00,,,Low,Foreign Direct Investment ytd/y,2.3%,,42
133,-0.8%,GBP,2018-10-18 03:30:00,-0.4%,worse,High,Retail Sales m/m,0.4%,better,42
134,1.64|2.1,EUR,2018-10-18 03:45:00,,,Low,Spanish 10-y Bond Auction,1.54|2.4,,42
135,,EUR,2018-10-18 00:00:00,,,High,EU Economic Summit,,,42
136,28.8K,CAD,2018-10-18 07:30:00,,,Low,ADP Non-Farm Employment Change,42.7K,better,42
137,22.2,USD,2018-10-18 07:30:00,19.7,better,Medium,Philly Fed Manufacturing Index,22.9,,42
138,210K,USD,2018-10-18 07:30:00,211K,,Low,Unemployment Claims,215K,,42
139,0.5%,USD,2018-10-18 09:00:00,0.5%,,Low,CB Leading Index m/m,0.4%,,42
140,81B,USD,2018-10-18 09:30:00,85B,,Low,Natural Gas Storage,90B,,42
141,,USD,2018-10-18 11:15:00,,,Medium,FOMC Member Quarles Speaks,,,42
142,-1.9%,NZD,2018-10-18 16:45:00,,,Low,Visitor Arrivals m/m,2.8%,,42
143,1.0%,JPY,2018-10-18 18:30:00,1.0%,,Low,National Core CPI y/y,0.9%,,42
144,6.5%,CNY,2018-10-18 21:00:00,6.6%,worse,High,GDP q/y,6.7%,,42
145,5.4%,CNY,2018-10-18 21:00:00,5.3%,,Medium,Fixed Asset Investment ytd/y,5.3%,,42
146,5.8%,CNY,2018-10-18 21:00:00,6.0%,,Medium,Industrial Production y/y,6.1%,,42
147,,CNY,2018-10-18 21:00:00,,,Medium,NBS Press Conference,,,42
148,9.2%,CNY,2018-10-18 21:00:00,9.0%,,Low,Retail Sales y/y,9.0%,,42
149,4.9%,CNY,2018-10-18 21:00:00,,,Low,Unemployment Rate,5.0%,,42
150,7.8%,NZD,2018-10-18 21:00:00,,,Low,Credit Card Spending y/y,7.8%,,42
151,,JPY,2018-10-19 01:30:00,,,High,BOJ Gov Kuroda Speaks,,,42
152,23.9B,EUR,2018-10-19 03:00:00,21.4B,better,Low,Current Account,19.5B,worse,42
153,3.3B,GBP,2018-10-19 03:30:00,4.6B,better,Medium,Public Sector Net Borrowing,4.8B,better,42
154,-0.4%,CAD,2018-10-19 07:30:00,0.1%,worse,High,CPI m/m,-0.1%,,42
155,-0.4%,CAD,2018-10-19 07:30:00,0.1%,worse,High,Core Retail Sales m/m,0.8%,worse,42
156,1.9%,CAD,2018-10-19 07:30:00,,,Medium,Common CPI y/y,2.0%,,42
157,2.0%,CAD,2018-10-19 07:30:00,,,Medium,Median CPI y/y,2.1%,,42
158,-0.1%,CAD,2018-10-19 07:30:00,0.3%,worse,Medium,Retail Sales m/m,0.2%,worse,42
159,2.1%,CAD,2018-10-19 07:30:00,,,Medium,Trimmed CPI y/y,2.2%,,42
160,0.0%,CAD,2018-10-19 07:30:00,,,Low,Core CPI m/m,0.1%,,42
161,5.15M,USD,2018-10-19 09:00:00,5.29M,worse,Low,Existing Home Sales,5.33M,,42
162,,USD,2018-10-19 11:00:00,,,Medium,FOMC Member Bostic Speaks,,,42
163,,GBP,2018-10-19 11:10:00,,,High,BOE Gov Carney Speaks,,,42
164,,USD,2018-10-20 11:00:00,,,Medium,FOMC Member Bostic Speaks,,,42
165,,JPY,2018-10-07 00:00:00,,,Non-Economic,Bank Holiday,,,41
166,-0.8%,AUD,2018-10-07 19:30:00,,,Low,ANZ Job Advertisements m/m,-0.7%,,41
167,53.1,CNY,2018-10-07 20:45:00,51.4,better,Low,Caixin Services PMI,51.5,,41
168,2.5%,CHF,2018-10-08 00:45:00,2.5%,,Low,Unemployment Rate,2.6%,,41
169,-0.3%,EUR,2018-10-08 01:00:00,0.4%,worse,Low,German Industrial Production m/m,-1.3%,worse,41
170,11.4,EUR,2018-10-08 03:30:00,11.4,,Low,Sentix Investor Confidence,12.0,,41
171,,CAD,2018-10-08 00:00:00,,,Non-Economic,Bank Holiday,,,41
172,,USD,2018-10-08 00:00:00,,,Non-Economic,Bank Holiday,,,41
173,-0.2%,GBP,2018-10-08 18:01:00,0.3%,worse,Low,BRC Retail Sales Monitor y/y,0.2%,,41
174,1.43T,JPY,2018-10-08 18:50:00,1.52T,worse,Low,Current Account,1.48T,,41
175,6,AUD,2018-10-08 19:30:00,,,Medium,NAB Business Confidence,5,better,41
176,48.6,JPY,2018-10-09 00:00:00,47.3,better,Low,Economy Watchers Sentiment,48.7,,41
177,18.3B,EUR,2018-10-09 01:00:00,15.9B,better,Low,German Trade Balance,15.9B,,41
178,,GBP,2018-10-09 03:30:00,,,Low,FPC Statement,,,41
179,107.9,USD,2018-10-09 04:40:00,108.9,worse,Low,NFIB Small Business Index,108.8,,41
180,189K,CAD,2018-10-09 07:13:00,203K,worse,Low,Housing Starts,199K,,41
181,57.8,USD,2018-10-09 09:05:00,54.6,better,Low,IBD/TIPP Economic Optimism,55.7,,41
182,,GBP,2018-10-09 09:35:00,,,Medium,MPC Member Broadbent Speaks,,,41
183,,CAD,2018-10-09 13:00:00,,,Low,Gov Council Member Wilkins Speaks,,,41
184,1.0%,AUD,2018-10-09 18:30:00,,,Medium,Westpac Consumer Sentiment,-3.0%,,41
185,6.8%,JPY,2018-10-09 18:50:00,-3.9%,better,Low,Core Machinery Orders m/m,11.0%,,41
186,,USD,2018-10-09 20:10:00,,,Medium,FOMC Member Williams Speaks,,,41
187,2.8%,JPY,2018-10-10 00:59:00,,,Low,Prelim Machine Tool Orders y/y,5.1%,,41
188,0.3%,EUR,2018-10-10 01:45:00,0.1%,better,Low,French Industrial Production m/m,0.8%,better,41
189,1.7%,EUR,2018-10-10 03:00:00,0.7%,better,Low,Italian Industrial Production m/m,-1.6%,better,41
190,0.0%,GBP,2018-10-10 03:30:00,0.1%,worse,High,GDP m/m,0.4%,better,41
191,-0.2%,GBP,2018-10-10 03:30:00,0.1%,worse,High,Manufacturing Production m/m,0.0%,better,41
192,-0.7%,GBP,2018-10-10 03:30:00,-0.4%,worse,Low,Construction Output m/m,0.5%,,41
193,-11.2B,GBP,2018-10-10 03:30:00,-10.9B,worse,Low,Goods Trade Balance,-10.4B,worse,41
194,0.5%,GBP,2018-10-10 03:30:00,0.6%,worse,Low,Index of Services 3m/3m,0.7%,better,41
195,0.2%,GBP,2018-10-10 03:30:00,0.1%,better,Low,Industrial Production m/m,0.4%,better,41
196,,GBP,2018-10-10 04:00:00,,,Medium,MPC Member Haldane Speaks,,,41
197,0.55|1.1,EUR,2018-10-10 04:33:00,,,Low,German 10-y Bond Auction,0.49|2.5,,41
198,0.4%,CAD,2018-10-10 07:30:00,0.5%,,Low,Building Permits m/m,-1.5%,worse,41
199,0.2%,USD,2018-10-10 07:30:00,0.2%,,High,PPI m/m,-0.1%,,41
200,0.2%,USD,2018-10-10 07:30:00,0.2%,,Medium,Core PPI m/m,-0.1%,,41
201,0.7%,GBP,2018-10-10 08:10:00,,,Low,NIESR GDP Estimate,0.7%,better,41
202,1.0%,USD,2018-10-10 09:00:00,0.8%,worse,Low,Final Wholesale Inventories m/m,0.8%,,41
203,3.23|2.4,USD,2018-10-10 12:01:00,,,Low,10-y Bond Auction,2.96|2.6,,41
204,-0.1%,NZD,2018-10-10 16:45:00,,,Low,FPI m/m,-0.5%,,41
205,,USD,2018-10-10 17:00:00,,,Medium,FOMC Member Bostic Speaks,,,41
206,,AUD,2018-10-10 17:30:00,,,Medium,RBA Assist Gov Ellis Speaks,,,41
207,-2%,GBP,2018-10-10 18:01:00,2%,worse,Low,RICS House Price Balance,1%,worse,41
208,2.3%,JPY,2018-10-10 18:50:00,2.1%,better,Low,Bank Lending y/y,2.2%,,41
209,3.0%,JPY,2018-10-10 18:50:00,2.9%,,Low,PPI y/y,3.0%,,41
210,4.0%,AUD,2018-10-10 19:00:00,,,Low,MI Inflation Expectations,4.0%,,41
211,,All,2018-10-10 00:00:00,,,Medium,G20 Meetings,,,41
212,0.90|3.9,JPY,2018-10-10 22:35:00,,,Low,30-y Bond Auction,0.84|4.2,,41
213,,GBP,2018-10-11 00:00:00,,,High,BOE Gov Carney Speaks,,,41
214,-0.2%,EUR,2018-10-11 01:45:00,-0.2%,,Low,French Final CPI m/m,-0.2%,,41
215,,GBP,2018-10-11 03:30:00,,,Medium,BOE Credit Conditions Survey,,,41
216,,GBP,2018-10-11 04:00:00,,,High,BOE Gov Carney Speaks,,,41
217,,GBP,2018-10-11 05:45:00,,,Medium,MPC Member Vlieghe Speaks,,,41
218,,EUR,2018-10-11 06:30:00,,,Medium,ECB Monetary Policy Meeting Accounts,,,41
219,0.0%,CAD,2018-10-11 07:30:00,0.1%,worse,Low,NHPI m/m,0.1%,,41
220,0.1%,USD,2018-10-11 07:30:00,0.2%,worse,High,CPI m/m,0.2%,,41
221,0.1%,USD,2018-10-11 07:30:00,0.2%,worse,High,Core CPI m/m,0.1%,,41
222,214K,USD,2018-10-11 07:30:00,207K,worse,Low,Unemployment Claims,207K,,41
223,90B,USD,2018-10-11 09:30:00,87B,,Low,Natural Gas Storage,98B,,41
224,6.0M,USD,2018-10-11 10:00:00,2.3M,,Medium,Crude Oil Inventories,8.0M,,41
225,3.34|2.4,USD,2018-10-11 12:01:00,,,Low,30-y Bond Auction,3.09|2.3,,41
226,51.7,NZD,2018-10-11 16:30:00,,,Medium,Business NZ Manufacturing Index,52.0,,41
227,2.8%,JPY,2018-10-11 18:50:00,2.9%,worse,Low,M2 Money Stock y/y,2.9%,,41
228,,AUD,2018-10-11 19:30:00,,,Medium,RBA Financial Stability Review,,,41
229,-2.1%,AUD,2018-10-11 19:30:00,-0.9%,worse,Low,Home Loans m/m,0.0%,worse,41
230,,All,2018-10-11 00:00:00,,,Medium,G20 Meetings,,,41
231,213B,CNY,2018-10-11 21:54:00,85B,better,Medium,Trade Balance,180B,,41
232,31.7B,CNY,2018-10-11 21:55:00,19.3B,better,Low,USD-Denominated Trade Balance,27.9B,,41
233,0.5%,JPY,2018-10-11 23:30:00,0.3%,better,Low,Tertiary Industry Activity m/m,-0.1%,worse,41
234,0.4%,EUR,2018-10-12 01:00:00,0.4%,,Low,German Final CPI m/m,0.4%,,41
235,1.0%,EUR,2018-10-12 04:00:00,0.4%,better,Low,Industrial Production m/m,-0.7%,better,41
236,0.5%,USD,2018-10-12 07:30:00,0.3%,better,Low,Import Prices m/m,-0.4%,better,41
237,99.0,USD,2018-10-12 09:00:00,100.4,worse,Medium,Prelim UoM Consumer Sentiment,100.1,worse,41
238,2.8%,USD,2018-10-12 09:00:00,,,Low,Prelim UoM Inflation Expectations,2.7%,,41
239,,All,2018-10-12 00:00:00,,,Medium,IMF Meetings,,,41
240,,USD,2018-10-12 11:30:00,,,Medium,FOMC Member Bostic Speaks,,,41
241,,USD,2018-10-12 21:30:00,,,Medium,FOMC Member Quarles Speaks,,,41
242,,EUR,2018-10-13 00:45:00,,,High,ECB President Draghi Speaks,,,41
243,,All,2018-10-13 00:00:00,,,Low,IMF Meetings,,,41
244,,AUD,2018-09-30 00:00:00,,,Non-Economic,Bank Holiday,,,40
245,59.0,AUD,2018-09-30 17:30:00,,,Low,AIG Manufacturing Index,56.7,,40
246,19,JPY,2018-09-30 18:50:00,22,worse,Low,Tankan Manufacturing Index,21,,40
247,22,JPY,2018-09-30 18:50:00,23,worse,Low,Tankan Non-Manufacturing Index,24,,40
248,,CNY,2018-09-30 00:00:00,,,Non-Economic,Bank Holiday,,,40
249,52.5,JPY,2018-09-30 19:30:00,52.9,worse,Low,Final Manufacturing PMI,52.9,,40
250,0.3%,AUD,2018-09-30 20:00:00,,,Low,MI Inflation Gauge m/m,0.1%,,40
251,-0.1%,EUR,2018-10-01 01:00:00,0.4%,worse,Medium,German Retail Sales m/m,-1.1%,worse,40
252,0.4%,CHF,2018-10-01 02:15:00,0.4%,,Low,Retail Sales y/y,-0.9%,worse,40
253,51.4,EUR,2018-10-01 02:15:00,52.7,worse,Low,Spanish Manufacturing PMI,53.0,,40
254,59.7,CHF,2018-10-01 02:30:00,62.6,worse,Low,Manufacturing PMI,64.8,,40
255,50.0,EUR,2018-10-01 02:45:00,50.3,,Low,Italian Manufacturing PMI,50.1,,40
256,52.5,EUR,2018-10-01 02:50:00,52.5,,Low,French Final Manufacturing PMI,52.5,,40
257,53.7,EUR,2018-10-01 02:55:00,53.7,,Low,German Final Manufacturing PMI,53.7,,40
258,53.2,EUR,2018-10-01 03:00:00,53.3,,Low,Final Manufacturing PMI,53.3,,40
259,9.7%,EUR,2018-10-01 03:00:00,10.5%,better,Low,Italian Monthly Unemployment Rate,10.2%,better,40
260,53.8,GBP,2018-10-01 03:30:00,52.6,better,High,Manufacturing PMI,53.0,,40
261,4.0B,GBP,2018-10-01 03:30:00,4.8B,worse,Medium,Net Lending to Individuals m/m,3.8B,worse,40
262,0.2%,GBP,2018-10-01 03:30:00,0.6%,worse,Low,M4 Money Supply m/m,0.9%,,40
263,66K,GBP,2018-10-01 03:30:00,65K,,Low,Mortgage Approvals,65K,,40
264,8.1%,EUR,2018-10-01 04:00:00,8.1%,,Low,Unemployment Rate,8.2%,,40
265,,EUR,2018-10-01 00:00:00,,,Low,Eurogroup Meetings,,,40
266,,USD,2018-10-01 08:00:00,,,Medium,FOMC Member Bostic Speaks,,,40
267,54.8,CAD,2018-10-01 08:30:00,,,Low,Manufacturing PMI,56.8,,40
268,55.6,USD,2018-10-01 08:45:00,55.6,,Low,Final Manufacturing PMI,55.6,,40
269,59.8,USD,2018-10-01 09:00:00,60.1,,High,ISM Manufacturing PMI,61.3,,40
270,0.1%,USD,2018-10-01 09:00:00,0.5%,worse,Low,Construction Spending m/m,0.2%,,40
271,66.9,USD,2018-10-01 09:00:00,72.0,worse,Low,ISM Manufacturing Prices,72.1,,40
272,,USD,2018-10-01 10:00:00,,,High,President Trump Speaks,,,40
273,,CAD,2018-10-01 12:00:00,,,Medium,Gov Council Member Lane Speaks,,,40
274,-30,NZD,2018-10-01 16:00:00,,,Medium,NZIER Business Confidence,-20,,40
275,5.9%,JPY,2018-10-01 18:50:00,7.1%,worse,Low,Monetary Base y/y,6.9%,,40
276,,CNY,2018-10-01 00:00:00,,,Non-Economic,Bank Holiday,,,40
277,0.14|4.2,JPY,2018-10-01 22:35:00,,,Low,10-y Bond Auction,0.11|4.5,,40
278,,AUD,2018-10-01 23:30:00,,,High,RBA Rate Statement,,,40
279,1.50%,AUD,2018-10-01 23:30:00,1.50%,,Medium,Cash Rate,1.50%,,40
280,43.4,JPY,2018-10-02 00:00:00,43.0,better,Low,Consumer Confidence,43.3,,40
281,0.3%,GBP,2018-10-02 00:57:00,0.2%,,Low,Nationwide HPI m/m,-0.5%,,40
282,4.8%,AUD,2018-10-02 01:30:00,,,Low,Commodity Prices y/y,6.6%,,40
283,20.4K,EUR,2018-10-02 02:00:00,28.2K,better,Low,Spanish Unemployment Change,47.0K,,40
