,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
130,0.62M,USD,2008-12-16 08:30:00,0.70M,worse,High,Building Permits,0.73M,,51
131,0.0%,USD,2008-12-16 08:30:00,0.1%,worse,High,Core CPI m/m,-0.1%,,51
132,-1.7%,USD,2008-12-16 08:30:00,-1.2%,worse,Medium,CPI m/m,-1.0%,,51
133,0.63M,USD,2008-12-16 08:30:00,0.74M,worse,Medium,Housing Starts,0.77M,,51
134,,USD,2008-12-16 14:21:00,,,High,FOMC Statement,,,51
135,<0.25%,USD,2008-12-16 14:21:00,0.50%,worse,High,Federal Funds Rate,1.00%,,51
136,-0.1%,AUD,2008-12-16 18:30:00,,,Low,MI Leading Index m/m,-1.2%,worse,51
137,-0.5%,EUR,2008-12-17 02:00:00,-0.5%,,Low,German Final CPI m/m,-0.5%,,51
138,-0.07B,EUR,2008-12-17 04:00:00,-1.03B,better,Low,Italian Trade Balance,-2.58B,,51
139,,All,2008-12-17 00:00:00,,,Low,OPEC Meetings,,,51
140,75.7K,GBP,2008-12-17 04:30:00,45.0K,worse,High,Claimant Count Change,51.8K,worse,51
141,0-9-0,GBP,2008-12-17 04:30:00,0-9-0,,High,MPC Official Bank Rate Votes,0-9-0,,51
142,3.3%,GBP,2008-12-17 04:30:00,3.2%,better,Medium,Average Earnings Index 3m/y,3.3%,,51
143,6.0%,GBP,2008-12-17 04:30:00,6.0%,,Low,Unemployment Rate,5.8%,,51
144,2.1%,EUR,2008-12-17 05:00:00,2.1%,,Medium,Final CPI y/y,2.1%,,51
145,1.9%,EUR,2008-12-17 05:00:00,1.9%,,Medium,Final Core CPI y/y,1.9%,,51
146,-55,GBP,2008-12-17 06:00:00,-41,worse,High,CBI Realized Sales,-46,,51
147,-1.8%,CAD,2008-12-17 08:30:00,-0.5%,worse,Medium,Wholesale Sales m/m,1.1%,worse,51
148,-174B,USD,2008-12-17 08:30:00,-180B,better,Medium,Current Account,-181B,,51
149,0.5M,USD,2008-12-17 10:35:00,0.3M,,Medium,Crude Oil Inventories,0.4M,,51
150,,CAD,2008-12-17 12:20:00,,,Medium,BOC Gov Carney Speaks,,,51
151,,AUD,2008-12-17 19:30:00,,,Low,RBA Bulletin,,,51
152,-35.0,NZD,2008-12-17 21:00:00,,,High,ANZ Business Confidence,-43.0,,51
153,2.15B,CHF,2008-12-18 02:15:00,1.70B,better,Low,Trade Balance,1.95B,better,51
154,2.9%,CHF,2008-12-18 03:15:00,1.9%,better,Medium,Retail Sales y/y,6.4%,,51
155,82.6,EUR,2008-12-18 04:00:00,84.0,worse,High,German Ifo Business Climate,85.8,,51
156,6.7%,EUR,2008-12-18 04:00:00,7.0%,better,Low,Italian Quarterly Unemployment Rate,6.7%,better,51
157,0.3%,GBP,2008-12-18 04:30:00,-0.6%,better,High,Retail Sales m/m,-0.3%,worse,51
158,16.0B,GBP,2008-12-18 04:30:00,13.5B,worse,Medium,Public Sector Net Borrowing,3.3B,worse,51
159,1.2%,GBP,2008-12-18 04:30:00,2.0%,worse,Low,M4 Money Supply m/m,2.8%,better,51
160,-1.3B,EUR,2008-12-18 05:00:00,-5.2B,better,Low,Trade Balance,-4.4B,better,51
161,-1.1%,CAD,2008-12-18 08:30:00,-0.9%,worse,High,Core Retail Sales m/m,0.5%,worse,51
162,2.85B,CAD,2008-12-18 08:30:00,-1.00B,better,Medium,Foreign Securities Purchases,-0.27B,,51
163,-0.9%,CAD,2008-12-18 08:30:00,-1.0%,better,Medium,Retail Sales m/m,0.9%,worse,51
164,-0.7%,CAD,2008-12-18 08:30:00,-0.4%,worse,Low,Leading Index m/m,-0.5%,worse,51
165,554K,USD,2008-12-18 08:30:00,558K,,High,Unemployment Claims,575K,,51
166,-32.9,USD,2008-12-18 10:00:00,-40.0,better,Medium,Philly Fed Manufacturing Index,-39.3,,51
167,-0.4%,USD,2008-12-18 10:00:00,-0.5%,better,Low,CB Leading Index m/m,-0.9%,worse,51
168,-124B,USD,2008-12-18 10:35:00,-112B,,Low,Natural Gas Storage,-67B,,51
169,,USD,2008-12-18 10:45:00,,,Low,President Obama Speaks,,,51
170,,USD,2008-12-18 13:30:00,,,Medium,FOMC Member Fisher Speaks,,,51
171,0.8%,NZD,2008-12-18 16:45:00,,,Low,Visitor Arrivals m/m,0.7%,,51
172,-0.5%,JPY,2008-12-18 18:50:00,-0.8%,better,Low,All Industries Activity m/m,0.0%,,51
173,-33,GBP,2008-12-18 19:01:00,-39,better,Medium,GfK Consumer Confidence,-35,,51
174,,USD,2008-12-18 20:00:00,,,Low,Treasury Sec Paulson Speaks,,,51
175,-0.7%,NZD,2008-12-18 21:05:00,,,Low,Credit Card Spending y/y,1.2%,,51
176,0.10%,JPY,2008-12-19 00:05:00,0.20%,worse,High,Overnight Call Rate,0.30%,,51
177,,JPY,2008-12-19 00:05:00,,,Medium,Monetary Policy Statement,,,51
178,-1.5%,EUR,2008-12-19 02:00:00,-1.0%,worse,Medium,German PPI m/m,0.0%,,51
179,,JPY,2008-12-19 02:35:00,,,High,BOJ Press Conference,,,51
180,-1.3%,GBP,2008-12-19 04:30:00,-0.2%,worse,Low,Revised Business Investment q/q,-0.2%,,51
181,0.7%,CAD,2008-12-19 07:00:00,-0.2%,better,High,Core CPI m/m,-0.2%,,51
182,-0.3%,CAD,2008-12-19 07:00:00,-0.7%,better,Medium,CPI m/m,-1.0%,,51
183,,USD,2008-12-19 09:00:00,,,Medium,President Bush Speaks,,,51
184,3.2%,JPY,2008-12-07 18:50:00,,,Low,Bank Lending y/y,2.1%,worse,50
185,1.11T,JPY,2008-12-07 18:50:00,1.16T,worse,Low,Current Account,0.97T,,50
186,1.7%,JPY,2008-12-07 18:50:00,1.8%,worse,Low,M2 Money Stock y/y,1.8%,,50
187,-8.6%,AUD,2008-12-07 19:30:00,,,Medium,ANZ Job Advertisements m/m,-5.9%,,50
188,21.0,JPY,2008-12-08 00:00:00,20.0,better,Low,Economy Watchers Sentiment,22.6,,50
189,,EUR,2008-12-08 00:00:00,,,Non-Economic,Italian Bank Holiday,,,50
190,,USD,2008-12-08 02:30:00,,,Medium,FOMC Member Kroszner Speaks,,,50
191,-42.3,EUR,2008-12-08 04:30:00,-40.0,worse,Low,Sentix Investor Confidence,-36.4,,50
192,-3.3%,GBP,2008-12-08 04:30:00,-2.9%,worse,High,PPI Input m/m,-4.3%,better,50
193,-0.7%,GBP,2008-12-08 04:30:00,-0.6%,,Low,PPI Output m/m,-1.0%,,50
194,-2.1%,EUR,2008-12-08 06:00:00,-1.6%,worse,Medium,German Industrial Production m/m,-3.3%,better,50
195,172K,CAD,2008-12-08 08:15:00,194K,worse,High,Housing Starts,212K,,50
196,,EUR,2008-12-08 09:00:00,,,High,ECB President Trichet Speaks,,,50
197,,USD,2008-12-08 11:00:00,,,Medium,FOMC Member Kohn Speaks,,,50
198,,EUR,2008-12-08 13:15:00,,,Medium,ECB President Trichet Speaks,,,50
199,-0.5%,JPY,2008-12-08 18:50:00,-0.2%,worse,Medium,Final GDP q/q,-0.1%,,50
200,-1.6%,JPY,2008-12-08 18:50:00,-1.6%,,Low,Final GDP Price Index y/y,-1.6%,,50
201,-2.6%,GBP,2008-12-08 19:01:00,,,Medium,BRC Retail Sales Monitor y/y,-2.2%,,50
202,-77%,GBP,2008-12-08 19:01:00,-83%,better,Medium,RICS House Price Balance,-81%,better,50
203,-30,AUD,2008-12-08 19:30:00,,,Low,NAB Business Confidence,-29,,50
204,85.0%,JPY,2008-12-09 00:00:00,85.0%,,Low,Leading Indicators,89.2%,,50
205,-62.2%,JPY,2008-12-09 01:00:00,,,Low,Prelim Machine Tool Orders y/y,-40.0%,better,50
206,2.7%,CHF,2008-12-09 01:45:00,2.6%,worse,Low,Unemployment Rate,2.6%,,50
207,15.8B,EUR,2008-12-09 02:00:00,14.0B,better,Low,German Trade Balance,13.7B,,50
208,-60.7B,EUR,2008-12-09 02:45:00,,,Low,French Gov Budget Balance,-56.6B,,50
209,-7.1B,EUR,2008-12-09 02:45:00,-5.7B,worse,Low,French Trade Balance,-6.0B,better,50
210,,AUD,2008-12-09 04:00:00,,,High,RBA Gov Stevens Speaks,,,50
211,-1.4%,GBP,2008-12-09 04:30:00,-0.6%,worse,High,Manufacturing Production m/m,-0.9%,worse,50
212,-7.8B,GBP,2008-12-09 04:30:00,-7.5B,worse,Medium,Goods Trade Balance,-7.4B,,50
213,-1.7%,GBP,2008-12-09 04:30:00,-0.5%,worse,Low,Industrial Production m/m,-0.3%,worse,50
214,-7.4%,GBP,2008-12-09 04:33:00,-6.5%,worse,Low,ONS HPI y/y,-5.1%,,50
215,-45.2,EUR,2008-12-09 05:00:00,-55.7,better,High,German ZEW Economic Sentiment,-53.5,,50
216,-46.1,EUR,2008-12-09 05:00:00,-55.8,better,Medium,ZEW Economic Sentiment,-54.0,,50
217,87.8,USD,2008-12-09 07:30:00,,,Low,NFIB Small Business Index,87.5,,50
218,,CAD,2008-12-09 09:00:00,,,High,BOC Rate Statement,,,50
219,1.50%,CAD,2008-12-09 09:00:00,1.75%,worse,High,Overnight Rate,2.25%,,50
220,,GBP,2008-12-09 09:30:00,,,Medium,MPC Member Sentance Speaks,,,50
221,-0.7%,USD,2008-12-09 10:00:00,-3.2%,better,High,Pending Home Sales m/m,-4.3%,better,50
222,45.0,USD,2008-12-09 10:00:00,45.0,,Low,IBD/TIPP Economic Optimism,50.8,,50
223,3.05M,USD,2008-12-09 10:00:00,,,Low,JOLTS Job Openings,3.21M,,50
224,-2.3%,NZD,2008-12-09 16:45:00,-2.6%,better,Low,Overseas Trade Index q/q,-0.4%,,50
225,7.5%,AUD,2008-12-09 18:30:00,,,Medium,Westpac Consumer Sentiment,4.3%,,50
226,-4.4%,JPY,2008-12-09 18:50:00,-3.9%,worse,Medium,Core Machinery Orders m/m,5.5%,,50
227,2.8%,JPY,2008-12-09 18:50:00,2.8%,,Low,PPI y/y,5.0%,better,50
228,-1.0%,GBP,2008-12-09 19:01:00,,,Low,NIESR GDP Estimate,-0.8%,worse,50
229,1.3%,AUD,2008-12-09 19:30:00,1.0%,better,High,Home Loans m/m,-2.4%,better,50
230,26.3%,CNY,2008-12-09 19:55:00,,,Low,Foreign Direct Investment ytd/y,35.1%,,50
231,2.0%,CNY,2008-12-09 21:00:00,4.5%,worse,Medium,PPI y/y,6.6%,,50
232,,JPY,2008-12-10 01:20:00,,,Medium,BOJ Gov Shirakawa Speaks,,,50
233,-3.3%,EUR,2008-12-10 02:00:00,-1.4%,worse,Low,German WPI m/m,-1.5%,,50
234,-2.7%,EUR,2008-12-10 02:45:00,-0.6%,worse,Medium,French Industrial Production m/m,-0.8%,worse,50
235,40.1B,CNY,2008-12-10 03:50:00,32.0B,better,High,USD-Denominated Trade Balance,35.2B,,50
236,-1.2%,EUR,2008-12-10 04:00:00,-0.9%,worse,Low,Italian Industrial Production m/m,-2.6%,worse,50
237,-76.2,CHF,2008-12-10 05:00:00,,,Medium,Credit Suisse Economic Expectations,-88.5,,50
238,0.0%,CAD,2008-12-10 08:30:00,0.1%,better,Medium,Labor Productivity q/q,-0.3%,better,50
239,-1.1%,USD,2008-12-10 10:00:00,-0.2%,better,Low,Final Wholesale Inventories m/m,-0.4%,better,50
240,0.4M,USD,2008-12-10 10:35:00,1.0M,,Medium,Crude Oil Inventories,-0.4M,,50
241,-164.4B,USD,2008-12-10 14:00:00,-176.0B,better,Medium,Federal Budget Balance,-237.2B,,50
242,,USD,2008-12-10 16:00:00,,,Medium,Treasury Currency Report,,,50
243,35.4,NZD,2008-12-10 16:26:00,,,Low,Business NZ Manufacturing Index,43.3,,50
244,0.8%,NZD,2008-12-10 16:49:00,,,Low,FPI m/m,-0.3%,,50
245,2.5%,AUD,2008-12-10 19:00:00,,,Low,MI Inflation Expectations,3.3%,,50
246,-15.6K,AUD,2008-12-10 19:30:00,-15.0K,,High,Employment Change,36.5K,better,50
247,4.4%,AUD,2008-12-10 19:30:00,4.5%,better,High,Unemployment Rate,4.3%,,50
248,2.4%,CNY,2008-12-10 21:00:00,3.3%,worse,Medium,CPI y/y,4.0%,,50
249,,EUR,2008-12-11 03:05:00,,,Medium,ECB President Trichet Speaks,,,50
250,0.50%,CHF,2008-12-11 03:30:00,0.50%,,High,Libor Rate,1.00%,,50
251,,CHF,2008-12-11 03:30:00,,,High,SNB Monetary Policy Assessment,,,50
252,,CHF,2008-12-11 03:30:00,,,High,SNB Press Conference,,,50
253,,EUR,2008-12-11 04:00:00,,,Medium,ECB Monthly Bulletin,,,50
254,2.8%,GBP,2008-12-11 04:30:00,,,Medium,Consumer Inflation Expectations,4.4%,,50
255,-35,GBP,2008-12-11 06:00:00,-44,better,Medium,CBI Industrial Order Expectations,-38,,50
256,3.8B,CAD,2008-12-11 08:30:00,3.4B,better,High,Trade Balance,4.3B,worse,50
257,-0.4%,CAD,2008-12-11 08:30:00,-0.1%,worse,Low,NHPI m/m,0.1%,,50
258,-57.2B,USD,2008-12-11 08:30:00,-53.5B,worse,High,Trade Balance,-56.6B,,50
259,573K,USD,2008-12-11 08:30:00,530K,worse,High,Unemployment Claims,515K,worse,50
260,-6.7%,USD,2008-12-11 08:30:00,-4.9%,worse,Medium,Import Prices m/m,-5.4%,worse,50
261,-67B,USD,2008-12-11 10:35:00,-83B,,Low,Natural Gas Storage,-64B,,50
262,,EUR,2008-12-11 13:00:00,,,Medium,German Buba President Weber Speaks,,,50
263,2.67|2.4,USD,2008-12-11 13:00:00,,,Medium,10-y Bond Auction,3.78|2.2,,50
264,0.8%,NZD,2008-12-11 16:45:00,0.8%,,High,Core Retail Sales m/m,-0.6%,worse,50
265,-1.3%,NZD,2008-12-11 16:45:00,0.0%,worse,High,Retail Sales m/m,0.3%,better,50
266,20.8%,CNY,2008-12-11 21:00:00,20.5%,better,Low,Retail Sales y/y,22.0%,,50
267,-3.1%,JPY,2008-12-11 23:30:00,-3.1%,,Low,Revised Industrial Production m/m,-3.1%,,50
268,28.4,JPY,2008-12-12 00:00:00,28.0,better,Low,Consumer Confidence,29.4,,50
269,4.43|1.4,EUR,2008-12-12 04:33:00,,,Low,Italian 10-y Bond Auction,4.49|1.4,,50
270,-1.2%,EUR,2008-12-12 05:00:00,-1.0%,worse,Medium,Industrial Production m/m,-1.8%,worse,50
271,77.4%,CAD,2008-12-12 08:30:00,78.5%,worse,Low,Capacity Utilization Rate,77.7%,worse,50
272,-0.9%,CAD,2008-12-12 08:30:00,-0.9%,,Low,New Motor Vehicle Sales m/m,2.5%,,50
273,-1.6%,USD,2008-12-12 08:30:00,-1.8%,better,High,Core Retail Sales m/m,-2.4%,worse,50
274,-2.2%,USD,2008-12-12 08:30:00,-2.0%,worse,High,PPI m/m,-2.8%,,50
275,-1.8%,USD,2008-12-12 08:30:00,-1.9%,better,High,Retail Sales m/m,-2.9%,worse,50
