,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
15,39507,GBP,"Thursday, December 28, 2017",,-,Medium,GBP BBA Loans for House Purchase (NOV),40417,d,09:30
16,59.7,CAD,"Thursday, December 28, 2017",,-,Low,CAD CFIB Business Barometer (DEC),59.3,-,11:55
17,-$69.7b,USD,"Thursday, December 28, 2017",-$67.9b,d,High,USD Advance Goods Trade Balance (NOV),-$68.1b,u,13:30
18,0.7%,USD,"Thursday, December 28, 2017",0.3%,d,Medium,USD Wholesale Inventories (MoM) (NOV P),-0.4%,d,13:30
19,0.1%,USD,"Thursday, December 28, 2017",,-,Low,USD Retail Inventories (MoM) (NOV),-0.1%,-,13:30
20,245k,USD,"Thursday, December 28, 2017",240k,d,Medium,USD Initial Jobless Claims (DEC23),245k,-,13:30
21,1943k,USD,"Thursday, December 28, 2017",1900k,d,Medium,USD Continuing Claims (DEC16),1936k,d,13:30
22,67.6,USD,"Thursday, December 28, 2017",62,u,Medium,USD Chicago Purchasing Manager (DEC),63.9,-,14:45
23,-112,USD,"Thursday, December 28, 2017",-113,d,Low,USD EIA Natural Gas Storage Change (DEC22),-182,-,15:30
24,-112,USD,"Thursday, December 28, 2017",-113,d,Low,USD EIA Working Natural Gas Implied Flow (DEC22),-182,-,15:30
25,-4609k,USD,"Thursday, December 28, 2017",-3750k,u,Medium,USD DOE U.S. Crude Oil Inventories (DEC22),-6495k,-,16:00
26,-1584k,USD,"Thursday, December 28, 2017",,-,Low,USD DOE Cushing OK Crude Inventory (DEC22),754k,-,16:00
27,591k,USD,"Thursday, December 28, 2017",1350k,u,Low,USD DOE U.S. Gasoline Inventories (DEC22),1237k,-,16:00
28,1090k,USD,"Thursday, December 28, 2017",0k,d,Low,USD DOE U.S. Distillate Inventory (DEC22),769k,-,16:00
29,,USD,"Thursday, December 28, 2017",,-,Low,USD U.S. to Sell USD28 Bln 7-Year Notes,,-,18:00
30,,JPY,"Wednesday, December 27, 2017",,-,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,-,01:10
31,,JPY,"Wednesday, December 27, 2017",,-,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,-,01:10
32,14.9%,CNY,"Wednesday, December 27, 2017",,-,Low,CNY Industrial Profits (YoY) (NOV),25.1%,-,01:30
33,-0.4%,JPY,"Wednesday, December 27, 2017",-2.5%,u,Medium,JPY Housing Starts (YoY) (NOV),-4.8%,-,05:00
34,0.951m,JPY,"Wednesday, December 27, 2017",0.934m,u,Low,JPY Annualized Housing Starts (NOV),0.933m,-,05:00
35,20.5%,JPY,"Wednesday, December 27, 2017",,-,Medium,JPY Construction Orders (YoY) (NOV),6.7%,-,05:00
36,1.67,CHF,"Wednesday, December 27, 2017",,-,Medium,CHF UBS Consumption Indicator (NOV),1.68,u,07:00
37,574.6b,CHF,"Wednesday, December 27, 2017",,-,Low,CHF Total Sight Deposits CHF (DEC22),575.4b,-,09:00
38,481.1b,CHF,"Wednesday, December 27, 2017",,-,Low,CHF Domestic Sight Deposits CHF (DEC22),479.9b,-,09:00
39,52.0,CHF,"Wednesday, December 27, 2017",,-,Low,CHF Credit Suisse Survey Expectations (DEC),40.7,-,09:00
40,122.1,USD,"Wednesday, December 27, 2017",128,d,High,USD Consumer Confidence Index (DEC),128.6,d,15:00
41,156.6,USD,"Wednesday, December 27, 2017",,-,Medium,USD Conf. Board Present Situation (DEC),154.9,u,15:00
42,99.1,USD,"Wednesday, December 27, 2017",,-,Low,USD Conf. Board Expectations (DEC),111,d,15:00
43,0.2%,USD,"Wednesday, December 27, 2017",-0.4%,u,Low,USD Pending Home Sales (MoM) (NOV),3.5%,-,15:00
44,0.6%,USD,"Wednesday, December 27, 2017",,-,Medium,USD Pending Home Sales (YoY) (NOV),1.2%,-,15:00
45,,USD,"Wednesday, December 27, 2017",,-,Low,USD U.S. to Sell USD13 Bln 2-Year Floating Rate Notes,,-,16:30
46,,USD,"Wednesday, December 27, 2017",,-,Low,USD U.S. to Sell USD34 Bln 5-Year Notes,,-,18:00
47,,JPY,"Wednesday, December 27, 2017",,-,Medium,JPY BOJ Summary of Opinions at Dec. 20-21 Meeting,,-,23:50
48,1.9%,JPY,"Wednesday, December 27, 2017",0.7%,u,Low,JPY Retail Trade s.a. (MoM) (NOV),-0.1%,d,23:50
49,2.2%,JPY,"Wednesday, December 27, 2017",1.0%,u,Medium,JPY Retail Trade (YoY) (NOV),-0.2%,-,23:50
50,1.4%,JPY,"Wednesday, December 27, 2017",1.0%,u,Medium,JPY Large Retailers' Sales (NOV),-0.7%,-,23:50
51,0.6%,JPY,"Wednesday, December 27, 2017",0.5%,u,Low,JPY Industrial Production (MoM) (NOV P),0.5%,-,23:50
52,3.7%,JPY,"Wednesday, December 27, 2017",3.6%,u,Medium,JPY Industrial Production (YoY) (NOV P),5.9%,-,23:50
53,¥434.2b,JPY,"Wednesday, December 27, 2017",,-,Low,JPY Japan Buying Foreign Bonds (Yen) (DEC22),¥52.3b,u,23:50
54,¥177.7b,JPY,"Wednesday, December 27, 2017",,-,Low,JPY Japan Buying Foreign Stocks (Yen) (DEC22),¥273.9b,-,23:50
55,-¥2023.7b,JPY,"Wednesday, December 27, 2017",,-,Low,JPY Foreign Buying Japan Bonds (DEC22),¥548.7b,-,23:50
56,¥76.2b,JPY,"Wednesday, December 27, 2017",,-,Low,JPY Foreign Buying Japan Stocks (DEC22),-¥622.2b,u,23:50
57,,JPY,"Tuesday, December 26, 2017",,-,High,JPY BOJ Kuroda makes a speech in Keidanren,,-,04:00
58,0.7%,USD,"Tuesday, December 26, 2017",0.6%,u,Medium,USD S&P CoreLogic CS 20-City (MoM) SA (OCT),0.97%,u,14:00
59,6.38%,USD,"Tuesday, December 26, 2017",6.25%,u,Medium,USD S&P/Case-Shiller Composite-20 (YoY) (OCT),6.16%,d,14:00
60,203.84,USD,"Tuesday, December 26, 2017",,-,Low,USD S&P/Case-Shiller 20-City Index n.s.a (OCT),203.44,d,14:00
61,6.17%,USD,"Tuesday, December 26, 2017",,-,Medium,USD S&P/Case-Shiller US Home Price Index (YoY) (OCT),6.05%,d,14:00
62,195.63,USD,"Tuesday, December 26, 2017",,-,Low,USD S&P/Case-Shiller US Home Price Index (OCT),195.31,d,14:00
63,20,USD,"Tuesday, December 26, 2017",21,d,Low,USD Richmond Fed Manufact. Index (DEC),30,-,15:00
64,29.7,USD,"Tuesday, December 26, 2017",20,u,Low,USD Dallas Fed Manufacturing Activity (DEC),19.4,-,15:30
65,,USD,"Tuesday, December 26, 2017",,-,Low,USD U.S. to Sell USD45 Bln 3-Month Bills,,-,16:30
66,,USD,"Tuesday, December 26, 2017",,-,Low,USD U.S. to Sell USD39 Bln 6-Month Bills,,-,16:30
67,,USD,"Tuesday, December 26, 2017",,-,Low,USD U.S. to Sell USD50 Bln 4-Week Bills,,-,18:00
68,,USD,"Tuesday, December 26, 2017",,-,Low,USD U.S. to Sell USD26 Bln 2-Year Notes,,-,18:00
69,,JPY,"Monday, December 25, 2017",,-,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,-,01:10
70,,JPY,"Monday, December 25, 2017",,-,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,-,01:10
71,,JPY,"Monday, December 25, 2017",,-,Low,JPY BOJ Outright Bond Purchase 25 Years~,,-,01:10
72,106.5,JPY,"Monday, December 25, 2017",,-,Low,JPY Leading Index CI (OCT F),106.1,-,05:00
73,116.4,JPY,"Monday, December 25, 2017",,-,Low,JPY Coincident Index (OCT F),116.5,-,05:00
74,2.7%,JPY,"Monday, December 25, 2017",2.8%,u,Medium,JPY Jobless Rate (NOV),2.8%,-,23:30
75,1.56,JPY,"Monday, December 25, 2017",1.56,-,Low,JPY Job-To-Applicant Ratio (NOV),1.55,-,23:30
76,1.7%,JPY,"Monday, December 25, 2017",0.5%,u,Medium,JPY Overall Household Spending (YoY) (NOV),0.0%,-,23:30
77,0.6%,JPY,"Monday, December 25, 2017",0.5%,u,High,JPY National Consumer Price Index (YoY) (NOV),0.2%,-,23:30
78,0.9%,JPY,"Monday, December 25, 2017",0.8%,u,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (NOV),0.8%,-,23:30
79,0.4%,JPY,"Monday, December 25, 2017",0.3%,u,Medium,"JPY Natl CPI Ex Fresh Food, Energy (YoY) (NOV)",0.2%,-,23:30
80,1.0%,JPY,"Monday, December 25, 2017",0.6%,u,Low,JPY Tokyo Consumer Price Index (YoY) (DEC),0.3%,-,23:30
81,0.8%,JPY,"Monday, December 25, 2017",0.7%,u,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (DEC),0.6%,-,23:30
82,0.3%,JPY,"Monday, December 25, 2017",0.3%,-,Low,"JPY Tokyo CPI Ex-Fresh Food, Energy (YoY) (DEC)",0.2%,-,23:30
83,,JPY,"Monday, December 25, 2017",,-,Medium,JPY BOJ Minutes of Oct.30-31 Meeting,,-,23:50
84,0.8%,JPY,"Monday, December 25, 2017",0.8%,-,Low,JPY Corporate Service Price (YoY) (NOV),0.8%,-,23:50
85,-13,GBP,"Thursday, December 21, 2017",-12,d,Medium,GBP GfK Consumer Confidence (DEC),-12,-,00:01
86,-A$457m,AUD,"Thursday, December 21, 2017",,-,Low,AUD RBA FX Transactions Government (NOV),-A$721m,-,00:30
87,A$343m,AUD,"Thursday, December 21, 2017",,-,Low,AUD RBA Foreign Exchange Transaction (Australian dollar) (NOV),A$609m,-,00:30
88,A$43m,AUD,"Thursday, December 21, 2017",,-,Low,AUD RBA FX Transactions Other (NOV),A$39m,-,00:30
89,-0.10%,JPY,"Thursday, December 21, 2017",,-,High,JPY BOJ Rate Decision (DEC 21),-0.10%,-,02:46
90,0.00%,JPY,"Thursday, December 21, 2017",,-,High,JPY BOJ 10-Yr Yield Target (DEC 21),0.00%,-,02:46
91,2.2%,JPY,"Thursday, December 21, 2017",,-,Low,JPY Nationwide Department Store Sales (YoY) (NOV),-1.8%,-,04:43
92,3.8%,JPY,"Thursday, December 21, 2017",,-,Low,JPY Tokyo Department Store Sales (YoY) (NOV),-0.3%,-,04:43
93,-0.6%,JPY,"Thursday, December 21, 2017",,-,Low,JPY Supermarket Sales (YoY) (NOV),-1.9%,-,05:00
94,,JPY,"Thursday, December 21, 2017",,-,High,JPY BOJ Kuroda speaks at press conference after MPM,,-,06:30
95,2.63b,CHF,"Thursday, December 21, 2017",,-,Medium,CHF Trade Balance (NOV),2.45b,u,07:00
96,0.8%,CHF,"Thursday, December 21, 2017",,-,Low,CHF Exports (MoM) (NOV),-1.6%,u,07:00
97,2.3%,CHF,"Thursday, December 21, 2017",,-,Low,CHF Imports (MoM) (NOV),0.2%,u,07:00
98,6.3%,CHF,"Thursday, December 21, 2017",,-,Low,CHF Swiss Watch Exports (YoY) (NOV),9.3%,-,07:00
99,4.4%,CHF,"Thursday, December 21, 2017",,-,Low,CHF Money Supply M3 (YoY) (NOV),4.2%,u,08:00
100,12.93b,GBP,"Thursday, December 21, 2017",,-,Medium,GBP Public Finances (PSNCR) (Pounds) (NOV),-3.9b,d,09:30
101,12.3b,GBP,"Thursday, December 21, 2017",,-,Medium,GBP Central Government NCR (NOV),-6.7b,-,09:30
102,8.1b,GBP,"Thursday, December 21, 2017",8.3b,d,Medium,GBP Public Sector Net Borrowing (NOV),7.2b,u,09:30
103,8.69b,GBP,"Thursday, December 21, 2017",9.00b,d,Medium,GBP PSNB ex Banking Groups (NOV),7.82b,u,09:30
104,26.2,USD,"Thursday, December 21, 2017",21,u,Medium,USD Philadelphia Fed Business Outlook (DEC),22.7,-,13:30
105,0.3%,CAD,"Thursday, December 21, 2017",0.2%,u,Medium,CAD Consumer Price Index n.s.a. (MoM) (NOV),0.1%,-,13:30
106,2.1%,CAD,"Thursday, December 21, 2017",2.0%,u,High,CAD Consumer Price Index (YoY) (NOV),1.4%,-,13:30
107,131.3,CAD,"Thursday, December 21, 2017",131.1,u,Low,CAD Consumer Price Index (NOV),130.9,-,13:30
108,1.5%,CAD,"Thursday, December 21, 2017",1.7%,d,Low,CAD Consumer Price Index Core (YoY) (NOV),1.6%,-,13:30
109,1.8%,CAD,"Thursday, December 21, 2017",,-,Low,CAD CPI Core- Trim (YoY) (NOV),1.5%,-,13:30
110,1.9%,CAD,"Thursday, December 21, 2017",,-,Low,CAD CPI Core- Median (YoY) (NOV),1.7%,-,13:30
111,2.5%,CAD,"Thursday, December 21, 2017",0.3%,u,Medium,CAD Retail Sales (MoM) (OCT),0.2%,u,13:30
112,0.8%,CAD,"Thursday, December 21, 2017",0.4%,u,Low,CAD Retail Sales Ex Auto (MoM) (OCT),0.4%,u,13:30
113,3.2%,USD,"Thursday, December 21, 2017",3.3%,d,High,USD Gross Domestic Product Annualized (QoQ) (3Q T),3.3%,-,13:30
114,2.2%,USD,"Thursday, December 21, 2017",2.3%,d,Medium,USD Personal Consumption (3Q T),2.3%,-,13:30
115,2.1%,USD,"Thursday, December 21, 2017",2.1%,-,Medium,USD Gross Domestic Product Price Index (3Q T),2.1%,-,13:30
116,1.3%,USD,"Thursday, December 21, 2017",1.4%,d,Medium,USD Core PCE (QoQ) (3Q T),1.4%,-,13:30
117,245k,USD,"Thursday, December 21, 2017",233k,d,Medium,USD Initial Jobless Claims (DEC 16),225k,-,13:30
118,1932k,USD,"Thursday, December 21, 2017",1898k,d,Medium,USD Continuing Claims (DEC 09),1889k,d,13:30
119,0.15,USD,"Thursday, December 21, 2017",0.5,d,Low,USD Chicago Fed Nat Activity Index (NOV),0.76,u,13:30
120,0.5%,USD,"Thursday, December 21, 2017",0.4%,u,Medium,USD House Price Index (MoM) (OCT),0.4%,u,14:00
121,0.5,EUR,"Thursday, December 21, 2017",0.2,u,Medium,EUR Euro-Zone Consumer Confidence (DEC A),0.1,-,15:00
122,0.4%,USD,"Thursday, December 21, 2017",0.4%,-,Medium,USD Leading Index (NOV),1.2%,-,15:00
123,-182,USD,"Thursday, December 21, 2017",-176,u,Low,USD EIA Natural Gas Storage Change (DEC 15),-69,-,15:30
124,-182,USD,"Thursday, December 21, 2017",-176,u,Low,USD EIA Working Natural Gas Implied Flow (DEC 15),-69,-,15:30
125,,USD,"Thursday, December 21, 2017",,-,Low,USD U.S. to Sell USD14 Bln 5-Year TIPS Reopening,,-,18:00
126,0.3%,AUD,"Wednesday, December 20, 2017",,-,Low,AUD Skilled Vacancies (MoM) (NOV),0.7%,u,00:00
127,,JPY,"Wednesday, December 20, 2017",,-,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,-,01:10
128,,JPY,"Wednesday, December 20, 2017",,-,Low,JPY BOJ Outright Bond Purchase 3~5 Year,,-,01:10
129,,JPY,"Wednesday, December 20, 2017",,-,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,-,01:10
130,,JPY,"Wednesday, December 20, 2017",,-,Low,JPY BOJ Outright Bond Purchase 25 Years~,,-,01:10
131,0.8%,NZD,"Wednesday, December 20, 2017",,-,Low,NZD Credit Card Spending (MoM) (NOV),1.0%,u,02:00
132,9.1%,NZD,"Wednesday, December 20, 2017",,-,Medium,NZD Credit Card Spending (YoY) (NOV),3.0%,u,02:00
133,0.3%,JPY,"Wednesday, December 20, 2017",0.3%,-,Medium,JPY All Industry Activity Index (MoM) (OCT),-0.5%,-,04:30
134,-0.3%,JPY,"Wednesday, December 20, 2017",,-,Low,JPY Convenience Store Sales (YoY) (NOV),-1.8%,-,07:00
135,0.1%,EUR,"Wednesday, December 20, 2017",0.2%,d,Low,EUR German Producer Price Index (MoM) (NOV),0.3%,-,07:00
136,2.5%,EUR,"Wednesday, December 20, 2017",2.6%,d,Low,EUR German Producer Price Index (YoY) (NOV),2.7%,-,07:00
137,30.8b,EUR,"Wednesday, December 20, 2017",,-,Low,EUR Euro-Zone Current Account s.a. (euros) (OCT),39.2b,u,09:00
138,35.9b,EUR,"Wednesday, December 20, 2017",,-,Low,EUR Euro-Zone Current Account n.s.a. (euros) (OCT),43.2b,u,09:00
139,20,GBP,"Wednesday, December 20, 2017",20,-,Low,GBP CBI Reported Sales (DEC),26,-,11:00
140,24,GBP,"Wednesday, December 20, 2017",,-,Low,GBP CBI Total Dist. Reported Sales (DEC),30,-,11:00
141,-4.9%,USD,"Wednesday, December 20, 2017",,-,Medium,USD MBA Mortgage Applications (DEC 15),-2.3%,-,12:00
142,,GBP,"Wednesday, December 20, 2017",,-,High,GBP Carney Speaks at Parliament Hearing in London,,-,13:15
143,1.5%,CAD,"Wednesday, December 20, 2017",0.5%,u,Low,CAD Wholesale Trade Sales (MoM) (OCT),-1.1%,u,13:30
144,5.81m,USD,"Wednesday, December 20, 2017",5.53m,u,Low,USD Existing Home Sales (NOV),5.50m,u,15:00
145,5.6%,USD,"Wednesday, December 20, 2017",0.9%,u,Medium,USD Existing Home Sales (MoM) (NOV),2.4%,u,15:00
146,-6595k,USD,"Wednesday, December 20, 2017",-3150k,u,Medium,USD DOE U.S. Crude Oil Inventories (DEC 15),-5117k,-,15:30
147,754k,USD,"Wednesday, December 20, 2017",,-,Low,USD DOE Cushing OK Crude Inventory (DEC 15),-3317k,-,15:30
148,1237k,USD,"Wednesday, December 20, 2017",2300k,u,Low,USD DOE U.S. Gasoline Inventories (DEC 15),5664k,-,15:30
149,769k,USD,"Wednesday, December 20, 2017",250k,d,Low,USD DOE U.S. Distillate Inventory (DEC 15),-1370k,-,15:30
150,0.6%,NZD,"Wednesday, December 20, 2017",0.6%,-,Medium,NZD Gross Domestic Product s.a. (QoQ) (3Q),1.0%,u,21:45
151,2.7%,NZD,"Wednesday, December 20, 2017",2.4%,u,High,NZD Gross Domestic Product (YoY) (3Q),2.8%,u,21:45
152,¥51.0b,JPY,"Wednesday, December 20, 2017",,-,Low,JPY Japan Buying Foreign Bonds (Yen) (DEC 15),-¥490.2b,d,23:50
153,¥273.9b,JPY,"Wednesday, December 20, 2017",,-,Low,JPY Japan Buying Foreign Stocks (Yen) (DEC 15),¥376.3b,d,23:50
154,¥548.7b,JPY,"Wednesday, December 20, 2017",,-,Low,JPY Foreign Buying Japan Bonds (DEC 15),¥844.2b,-,23:50
155,-¥622.5b,JPY,"Wednesday, December 20, 2017",,-,Low,JPY Foreign Buying Japan Stocks (DEC 15),-¥155.3b,d,23:50
156,15.6,NZD,"Tuesday, December 19, 2017",,-,Medium,NZD ANZ Activity Outlook (DEC),6.5,-,00:00
157,-37.8,NZD,"Tuesday, December 19, 2017",,-,Low,NZD ANZ Business Confidence (DEC),-39.3,-,00:00
158,,AUD,"Tuesday, December 19, 2017",,-,Medium,AUD RBA Dec. Rate Meeting Minutes,,-,00:30
159,46.8%,JPY,"Tuesday, December 19, 2017",,-,Low,JPY Machine Tool Orders (YoY) (NOV F),46.9%,-,06:00
160,,CHF,"Tuesday, December 19, 2017",,-,Low,CHF SECO Dec. 2017 Economic Forecasts,,-,06:45
161,117.2,EUR,"Tuesday, December 19, 2017",117.5,d,Medium,EUR German IFO Business Climate (DEC),117.6,u,09:00
162,109.5,EUR,"Tuesday, December 19, 2017",110.7,d,Medium,EUR German IFO Expectations (DEC),111,-,09:00
163,-0.4%,EUR,"Tuesday, December 19, 2017",,-,Low,EUR Euro-Zone Construction Output s.a. (MoM) (OCT),0.1%,-,10:00
164,2.0%,EUR,"Tuesday, December 19, 2017",,-,Low,EUR Euro-Zone Construction Output w.d.a. (YoY) (OCT),3.5%,u,10:00
165,1.6%,EUR,"Tuesday, December 19, 2017",,-,Low,EUR Euro-Zone Labour Costs (YoY) (3Q),1.8%,-,10:00
166,1297k,USD,"Tuesday, December 19, 2017",1250k,u,Low,USD Housing Starts (NOV),1256k,d,13:30
167,3.3%,USD,"Tuesday, December 19, 2017",-3.1%,u,Medium,USD Housing Starts (MoM) (NOV),8.4%,d,13:30
168,1298k,USD,"Tuesday, December 19, 2017",1270k,u,Low,USD Building Permits (NOV),1316k,u,13:30
169,-1.4%,USD,"Tuesday, December 19, 2017",-3.5%,u,Medium,USD Building Permits (MoM) (NOV),7.4%,u,13:30
170,-$100.6b,USD,"Tuesday, December 19, 2017",-$116.5b,u,Low,USD Current Account Balance (3Q),-$124.4b,d,13:30
171,$2969,NZD,"Tuesday, December 19, 2017",,-,Medium,NZD Dairy Auction Avg. Winning Price MT (DEC 19),$3091,-,14:15
172,$2755,NZD,"Tuesday, December 19, 2017",,-,Medium,NZD Dairy Auction Whole Milk Powder MT (DEC 19),$2830,-,14:15
173,,USD,"Tuesday, December 19, 2017",,-,Low,USD U.S. to Sell 4-Week Bills,,-,16:30
174,5610,NZD,"Tuesday, December 19, 2017",,-,Low,NZD Net Migration s.a. (NOV),5610,u,21:45
175,-1193m,NZD,"Tuesday, December 19, 2017",-550m,d,Medium,NZD Trade Balance (NOV),-843m,u,21:45
176,4.63b,NZD,"Tuesday, December 19, 2017",4.61b,u,Low,NZD Exports (NOV),4.55b,d,21:45
177,5.82b,NZD,"Tuesday, December 19, 2017",5.10b,u,Low,NZD Imports (NOV),5.40b,d,21:45
178,-3439m,NZD,"Tuesday, December 19, 2017",-2700m,d,Medium,NZD Trade Balance 12 Mth YTD (NOV),-2969m,u,21:45
179,-4.679b,NZD,"Tuesday, December 19, 2017",-4.200b,-,Low,NZD BoP Current Account Balance (3Q),-0.514b,u,21:45
180,-2.6%,NZD,"Tuesday, December 19, 2017",-2.5%,d,Medium,NZD Current Account Gross Domestic Product Ratio YTD (3Q),-2.7%,u,21:45
181,0.10%,AUD,"Tuesday, December 19, 2017",,-,Medium,AUD Westpac Leading Index (MoM) (NOV),0.14%,u,23:30
182,,JPY,"Tuesday, December 19, 2017",,-,Low,JPY BOJ 3Q Money Flow,,-,23:50
183,,CNY,"Monday, December 18, 2017",,-,Low,CNY China holds Central Economic Work Conference Dec. 18-20,,-,
184,121.8,NZD,"Monday, December 18, 2017",,-,Low,NZD ANZ Consumer Confidence Index (DEC),123.7,-,00:00
185,-1.5%,NZD,"Monday, December 18, 2017",,-,Low,NZD ANZ Consumer Confidence (MoM) (DEC),-2.1%,-,00:00
186,0.1%,AUD,"Monday, December 18, 2017",,-,Low,AUD New Motor Vehicle Sales (MoM) (NOV),0.0%,-,00:30
187,2.1%,AUD,"Monday, December 18, 2017",,-,Low,AUD New Motor Vehicle Sales (YoY) (NOV),1.0%,-,00:30
188,,JPY,"Monday, December 18, 2017",,-,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,-,01:10
189,,JPY,"Monday, December 18, 2017",,-,Low,JPY BOJ Outright Bond Purchase 3~5 Year,,-,01:10
190,,JPY,"Monday, December 18, 2017",,-,Low,JPY BOJ Outright Bond Purchase 5~10 Year,,-,01:10
191,,CNY,"Monday, December 18, 2017",,-,Low,CNY China November Property Prices,,-,01:30
192,60.4%,NZD,"Monday, December 18, 2017",,-,Low,NZD Non Resident Bond Holdings (NOV),60.9%,-,02:00
193,-31.2b,CNY,"Monday, December 18, 2017",,-,Low,CNY FX Net Settlement - Clients CNY (NOV),50.1b,-,07:10
194,575.4b,CHF,"Monday, December 18, 2017",,-,Low,CHF Total Sight Deposits CHF (DEC 15),575.9b,-,09:00
195,479.9b,CHF,"Monday, December 18, 2017",,-,Low,CHF Domestic Sight Deposits CHF (DEC 15),476.4b,-,09:00
196,0.1%,EUR,"Monday, December 18, 2017",0.1%,-,Medium,EUR Euro-Zone Consumer Price Index (MoM) (NOV),0.1%,-,10:00
197,1.5%,EUR,"Monday, December 18, 2017",1.5%,-,Medium,EUR Euro-Zone Consumer Price Index (YoY) (NOV F),1.5%,-,10:00
198,0.9%,EUR,"Monday, December 18, 2017",0.9%,-,Medium,EUR Euro-Zone Consumer Price Index Core (YoY) (NOV F),0.9%,-,10:00
199,17,GBP,"Monday, December 18, 2017",15,u,Low,GBP CBI Trends Total Orders (DEC),17,-,11:00
200,23,GBP,"Monday, December 18, 2017",,-,Low,GBP CBI Trends Selling Prices (DEC),17,-,11:00
201,20.81b,CAD,"Monday, December 18, 2017",,-,Low,CAD International Securities Transactions (Canadian dollar) (OCT),16.69b,d,13:30
202,74,USD,"Monday, December 18, 2017",70,u,Medium,USD NAHB Housing Market Index (DEC),69,d,15:00
203,,USD,"Monday, December 18, 2017",,-,Low,USD U.S. to Sell USD45 Bln 3-Month Bills,,-,16:30
204,,USD,"Monday, December 18, 2017",,-,Low,USD U.S. to Sell USD39 Bln 6-Month Bills,,-,16:30
205,107.4,NZD,"Monday, December 18, 2017",,-,Medium,NZD Westpac Consumer Confidence (4Q),112.4,-,21:00
206,116.5,AUD,"Monday, December 18, 2017",,-,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (DEC 17),115.1,-,22:30
207,,USD,"Sunday, December 17, 2017",,-,Medium,USD South African ANC Conference (Dec 16 - 20),,-,
208,56.4,NZD,"Sunday, December 17, 2017",,-,Medium,NZD Performance Services Index (NOV),55.7,u,21:30
209,¥113.4b,JPY,"Sunday, December 17, 2017",-¥40.0b,u,Medium,JPY Trade Balance (NOV),¥284.6b,d,23:50
210,¥364.1,JPY,"Sunday, December 17, 2017",¥265.0b,u,Low,JPY Adjusted Merchandise Trade Balance (Yen) (NOV),¥349.3b,u,23:50
211,16.2%,JPY,"Sunday, December 17, 2017",14.7%,u,Low,JPY Exports (YoY) (NOV),14.0%,-,23:50
212,17.2%,JPY,"Sunday, December 17, 2017",18.0%,d,Low,JPY Imports (YoY) (NOV),18.9%,-,23:50
213,3.7%,AUD,"Thursday, December 14, 2017",,-,Medium,AUD Consumer Inflation Expectation (DEC),3.7%,-,00:00
214,0%,GBP,"Thursday, December 14, 2017",0%,-,Medium,GBP RICS House Price Balance (NOV),1%,-,00:01
215,61.6k,AUD,"Thursday, December 14, 2017",19.0k,u,High,AUD Employment Change (NOV),7.8k,u,00:30
216,5.4%,AUD,"Thursday, December 14, 2017",5.4%,-,High,AUD Unemployment Rate (NOV),5.4%,-,00:30
