,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
23,50.1,CNY,2014-12-31 20:00:00,50.0,,High,Manufacturing PMI,50.3,,52
24,54.1,CNY,2014-12-31 20:09:00,,,Medium,Non-Manufacturing PMI,53.9,,52
25,114.8,NZD,2014-12-21 16:00:00,,,Low,Westpac Consumer Sentiment,116.7,,52
26,,JPY,2014-12-22 00:00:00,,,Low,BOJ Monthly Report,,,52
27,-0.8%,EUR,2014-12-22 02:00:00,-0.6%,worse,Low,German Import Prices m/m,-0.3%,,52
28,,GBP,2014-12-22 04:30:00,,,Low,FPC Meeting Minutes,,,52
29,-11,EUR,2014-12-22 10:00:00,-11,,Low,Consumer Confidence,-12,,52
30,4.93M,USD,2014-12-22 10:00:00,5.21M,worse,Medium,Existing Home Sales,5.25M,,52
31,-213M,NZD,2014-12-22 16:45:00,-550M,better,High,Trade Balance,-911M,,52
32,,JPY,2014-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,52
33,0.9%,CNY,2014-12-22 21:00:00,,,Low,CB Leading Index m/m,0.8%,worse,52
34,0.4%,EUR,2014-12-23 02:45:00,0.2%,better,Medium,French Consumer Spending m/m,-0.8%,better,52
35,0.0%,EUR,2014-12-23 04:00:00,0.2%,worse,Low,Italian Retail Sales m/m,0.0%,better,52
36,-27.0B,GBP,2014-12-23 04:30:00,-21.1B,worse,High,Current Account,-24.3B,worse,52
37,0.7%,GBP,2014-12-23 04:30:00,0.7%,,Medium,Final GDP q/q,0.7%,,52
38,36.7K,GBP,2014-12-23 04:30:00,37.3K,worse,Medium,High Street Lending,37.2K,,52
39,0.7%,GBP,2014-12-23 04:30:00,0.7%,,Low,Index of Services 3m/3m,0.8%,,52
40,-1.4%,GBP,2014-12-23 04:30:00,-0.7%,worse,Low,Revised Business Investment q/q,-0.7%,,52
41,,EUR,2014-12-23 00:00:00,,,Low,Greek Presidential Elections,,,52
42,0.3%,CAD,2014-12-23 08:30:00,0.1%,better,High,GDP m/m,0.4%,,52
43,-0.4%,USD,2014-12-23 08:30:00,1.1%,worse,High,Core Durable Goods Orders m/m,-1.1%,worse,52
44,5.0%,USD,2014-12-23 08:30:00,4.3%,better,High,Final GDP q/q,3.9%,,52
45,-0.7%,USD,2014-12-23 08:30:00,3.0%,worse,Medium,Durable Goods Orders m/m,0.3%,,52
46,1.4%,USD,2014-12-23 08:30:00,1.4%,,Low,Final GDP Price Index q/q,1.4%,,52
47,-6.9,EUR,2014-12-23 09:00:00,-5.8,worse,Low,Belgian NBB Business Climate,-6.1,,52
48,0.6%,USD,2014-12-23 09:00:00,0.3%,better,Low,HPI m/m,0.0%,,52
49,93.6,USD,2014-12-23 09:55:00,93.5,,Medium,Revised UoM Consumer Sentiment,93.8,,52
50,2.8%,USD,2014-12-23 09:55:00,,,Low,Revised UoM Inflation Expectations,2.9%,,52
51,7,USD,2014-12-23 09:59:00,8,worse,Low,Richmond Manufacturing Index,4,,52
52,438K,USD,2014-12-23 10:00:00,461K,worse,High,New Home Sales,445K,worse,52
53,0.0%,USD,2014-12-23 10:00:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,,52
54,0.6%,USD,2014-12-23 10:00:00,0.5%,better,Medium,Personal Spending m/m,0.3%,better,52
55,0.4%,USD,2014-12-23 10:00:00,0.6%,worse,Low,Personal Income m/m,0.3%,better,52
56,-0.2%,AUD,2014-12-23 18:00:00,,,Low,CB Leading Index m/m,-0.6%,worse,52
57,,EUR,2014-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
58,98.7,CHF,2014-12-24 03:00:00,99.2,worse,Medium,KOF Economic Barometer,98.9,better,52
59,280K,USD,2014-12-24 08:30:00,291K,better,High,Unemployment Claims,289K,,52
60,7.3M,USD,2014-12-24 10:30:00,-2.4M,,Medium,Crude Oil Inventories,-0.8M,,52
61,-49B,USD,2014-12-24 12:00:00,-81B,,Low,Natural Gas Storage,-64B,,52
62,,NZD,2014-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
63,,AUD,2014-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
64,,JPY,2014-12-24 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
65,3.6%,JPY,2014-12-24 18:50:00,3.5%,better,Low,SPPI y/y,3.6%,,52
66,,JPY,2014-12-24 22:45:00,,,High,BOJ Gov Kuroda Speaks,,,52
67,-14.3%,JPY,2014-12-25 00:00:00,-12.6%,worse,Low,Housing Starts y/y,-12.3%,,52
68,,CHF,2014-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
69,,EUR,2014-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
70,,EUR,2014-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
71,,EUR,2014-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
72,,GBP,2014-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
73,,CAD,2014-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
74,,USD,2014-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
75,,NZD,2014-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
76,,AUD,2014-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
77,-2.5%,JPY,2014-12-25 18:30:00,-3.5%,better,Medium,Household Spending y/y,-4.0%,,52
78,2.3%,JPY,2014-12-25 18:30:00,2.3%,,Medium,Tokyo Core CPI y/y,2.4%,,52
79,2.7%,JPY,2014-12-25 18:30:00,2.7%,,Low,National Core CPI y/y,2.9%,,52
80,3.5%,JPY,2014-12-25 18:30:00,3.5%,,Low,Unemployment Rate,3.5%,,52
81,-0.6%,JPY,2014-12-25 18:50:00,1.0%,worse,Medium,Prelim Industrial Production m/m,0.4%,better,52
82,0.4%,JPY,2014-12-25 18:50:00,1.2%,worse,Medium,Retail Sales y/y,1.4%,,52
83,-1.5%,JPY,2014-12-25 20:30:00,0.5%,worse,Medium,Average Cash Earnings y/y,0.2%,worse,52
84,,CHF,2014-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
85,,EUR,2014-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
86,,EUR,2014-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
87,,GBP,2014-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
88,,CAD,2014-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
89,,JPY,2014-12-14 00:00:00,,,High,Lower House Elections,,,51
90,-3.3%,GBP,2014-12-14 18:16:00,,,Low,Rightmove HPI m/m,-1.7%,,51
91,12,JPY,2014-12-14 18:50:00,13,worse,Medium,Tankan Manufacturing Index,13,,51
92,16,JPY,2014-12-14 18:50:00,14,better,Medium,Tankan Non-Manufacturing Index,13,,51
93,-0.6%,AUD,2014-12-14 19:30:00,,,Medium,New Motor Vehicle Sales m/m,-1.8%,worse,51
94,,AUD,2014-12-14 21:24:00,,,High,Mid-Year Economic and Fiscal Outlook,,,51
95,-0.7%,CHF,2014-12-15 03:15:00,0.2%,worse,Medium,PPI m/m,-0.1%,,51
96,,EUR,2014-12-15 06:00:00,,,Medium,German Buba Monthly Report,,,51
97,5,GBP,2014-12-15 06:00:00,3,better,Medium,CBI Industrial Order Expectations,3,,51
98,-3.6,USD,2014-12-15 08:30:00,12.1,worse,Medium,Empire State Manufacturing Index,10.2,,51
99,80.1%,USD,2014-12-15 09:15:00,79.4%,better,Medium,Capacity Utilization Rate,79.3%,better,51
100,1.3%,USD,2014-12-15 09:15:00,0.8%,better,Medium,Industrial Production m/m,0.1%,better,51
101,57,USD,2014-12-15 10:00:00,59,worse,Medium,NAHB Housing Market Index,58,,51
102,-1.4B,USD,2014-12-15 16:00:00,72.8B,worse,Low,TIC Long-Term Purchases,164.3B,,51
103,,AUD,2014-12-15 19:15:00,,,Medium,RBA Assist Gov Debelle Speaks,,,51
104,,AUD,2014-12-15 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
105,52.1,JPY,2014-12-15 20:35:00,52.3,,Low,Flash Manufacturing PMI,52.0,,51
106,49.5,CNY,2014-12-15 20:45:00,49.8,,High,Caixin Flash Manufacturing PMI,50.0,,51
107,0.7%,CNY,2014-12-15 21:00:00,,,Low,Foreign Direct Investment ytd/y,-1.2%,,51
108,,GBP,2014-12-16 02:00:00,,,High,Bank Stress Test Results,,,51
109,,GBP,2014-12-16 02:00:00,,,Medium,BOE Financial Stability Report,,,51
110,,GBP,2014-12-16 02:00:00,,,Medium,FPC Statement,,,51
111,47.9,EUR,2014-12-16 03:00:00,48.7,worse,High,French Flash Manufacturing PMI,48.4,better,51
112,49.8,EUR,2014-12-16 03:00:00,48.6,better,Medium,French Flash Services PMI,47.9,worse,51
113,51.2,EUR,2014-12-16 03:30:00,50.4,better,High,German Flash Manufacturing PMI,49.5,worse,51
114,51.4,EUR,2014-12-16 03:30:00,52.6,worse,Medium,German Flash Services PMI,52.1,,51
115,50.8,EUR,2014-12-16 04:00:00,50.5,,Medium,Flash Manufacturing PMI,50.1,,51
116,51.9,EUR,2014-12-16 04:00:00,51.6,,Medium,Flash Services PMI,51.1,,51
117,5.40B,EUR,2014-12-16 04:00:00,1.97B,better,Low,Italian Trade Balance,2.02B,,51
118,,GBP,2014-12-16 04:15:00,,,High,BOE Gov Carney Speaks,,,51
119,1.0%,GBP,2014-12-16 04:30:00,1.2%,worse,High,CPI y/y,1.3%,,51
120,-1.0%,GBP,2014-12-16 04:30:00,-1.1%,,Medium,PPI Input m/m,-1.5%,,51
121,2.0%,GBP,2014-12-16 04:30:00,2.2%,worse,Medium,RPI y/y,2.3%,,51
122,1.2%,GBP,2014-12-16 04:30:00,1.5%,worse,Low,Core CPI y/y,1.5%,,51
123,10.4%,GBP,2014-12-16 04:30:00,13.2%,worse,Low,ONS HPI y/y,12.1%,,51
124,0.2%,GBP,2014-12-16 04:30:00,-0.3%,better,Low,PPI Output m/m,-0.3%,,51
125,34.9,EUR,2014-12-16 05:00:00,19.8,better,High,German ZEW Economic Sentiment,11.5,,51
126,31.8,EUR,2014-12-16 05:00:00,20.1,better,Medium,ZEW Economic Sentiment,11.0,,51
127,19.4B,EUR,2014-12-16 05:00:00,18.2B,better,Low,Trade Balance,17.9B,,51
128,-0.6%,CAD,2014-12-16 08:30:00,-0.4%,worse,High,Manufacturing Sales m/m,2.2%,,51
129,9.53B,CAD,2014-12-16 08:30:00,5.21B,better,Medium,Foreign Securities Purchases,4.64B,better,51
130,1.04M,USD,2014-12-16 08:30:00,1.06M,,High,Building Permits,1.09M,,51
131,1.03M,USD,2014-12-16 08:30:00,1.04M,,Medium,Housing Starts,1.05M,better,51
132,53.7,USD,2014-12-16 09:45:00,56.1,worse,Medium,Flash Manufacturing PMI,54.8,,51
133,2.4%,NZD,2014-12-16 09:48:00,,,High,GDT Price Index,-1.1%,,51
134,-5.01B,NZD,2014-12-16 16:45:00,-5.32B,better,Medium,Current Account,-1.08B,,51
135,-0.1%,AUD,2014-12-16 18:30:00,,,Low,MI Leading Index m/m,0.1%,better,51
136,-0.93T,JPY,2014-12-16 18:50:00,-0.99T,better,Medium,Trade Balance,-0.99T,,51
137,1.4%,GBP,2014-12-17 04:30:00,1.3%,better,High,Average Earnings Index 3m/y,1.0%,,51
138,-26.9K,GBP,2014-12-17 04:30:00,-19.8K,better,High,Claimant Count Change,-25.1K,better,51
139,2-0-7,GBP,2014-12-17 04:30:00,2-0-7,,High,MPC Official Bank Rate Votes,2-0-7,,51
140,0-0-9,GBP,2014-12-17 04:30:00,0-0-9,,Medium,MPC Asset Purchase Facility Votes,0-0-9,,51
141,6.0%,GBP,2014-12-17 04:30:00,5.9%,worse,Medium,Unemployment Rate,6.0%,,51
142,-4.9,CHF,2014-12-17 05:00:00,,,Low,Credit Suisse Economic Expectations,-7.6,,51
143,0.3%,EUR,2014-12-17 05:00:00,0.3%,,Medium,Final CPI y/y,0.3%,,51
144,0.7%,EUR,2014-12-17 05:00:00,0.7%,,Low,Final Core CPI y/y,0.7%,,51
145,,EUR,2014-12-17 00:00:00,,,Low,Greek Presidential Elections,,,51
146,0.1%,CAD,2014-12-17 08:30:00,0.9%,worse,High,Wholesale Sales m/m,2.3%,better,51
147,-0.3%,USD,2014-12-17 08:30:00,-0.1%,worse,High,CPI m/m,0.0%,,51
148,0.1%,USD,2014-12-17 08:30:00,0.1%,,High,Core CPI m/m,0.2%,,51
149,-100B,USD,2014-12-17 08:30:00,-98B,,Medium,Current Account,-98B,,51
150,,CHF,2014-12-17 09:00:00,,,Low,SNB Quarterly Bulletin,,,51
151,-0.8M,USD,2014-12-17 10:30:00,-2.6M,,Medium,Crude Oil Inventories,1.5M,,51
152,,USD,2014-12-17 14:00:00,,,High,FOMC Economic Projections,,,51
153,,USD,2014-12-17 14:00:00,,,High,FOMC Statement,,,51
154,<0.25%,USD,2014-12-17 14:00:00,<0.25%,,High,Federal Funds Rate,<0.25%,,51
155,,USD,2014-12-17 14:30:00,,,High,FOMC Press Conference,,,51
156,1.0%,NZD,2014-12-17 16:45:00,0.7%,better,High,GDP q/q,0.7%,,51
157,,AUD,2014-12-17 19:30:00,,,Low,RBA Bulletin,,,51
158,,CHF,2014-12-18 01:45:00,,,Low,SECO Economic Forecasts,,,51
159,-0.25%,CHF,2014-12-18 02:00:00,,,High,Libor Rate,<0.25%,,51
160,3.87B,CHF,2014-12-18 02:00:00,2.41B,better,Medium,Trade Balance,3.23B,,51
161,105.5,EUR,2014-12-18 04:00:00,105.6,,High,German Ifo Business Climate,104.7,,51
162,,EUR,2014-12-18 00:00:00,,,Medium,EU Economic Summit,,,51
163,1.6%,GBP,2014-12-18 04:30:00,0.3%,better,High,Retail Sales m/m,1.0%,better,51
164,1.73|1.8,EUR,2014-12-18 04:46:00,,,Low,Spanish 10-y Bond Auction,1.84|2.2,,51
165,289K,USD,2014-12-18 08:30:00,297K,better,High,Unemployment Claims,295K,,51
166,53.6,USD,2014-12-18 09:45:00,57.1,worse,Low,Flash Services PMI,56.2,,51
167,24.5,USD,2014-12-18 10:00:00,26.3,worse,High,Philly Fed Manufacturing Index,40.8,,51
168,0.6%,USD,2014-12-18 10:00:00,0.6%,,Low,CB Leading Index m/m,0.6%,worse,51
169,-64B,USD,2014-12-18 10:30:00,-61B,,Low,Natural Gas Storage,-51B,,51
170,3.1%,NZD,2014-12-18 16:45:00,,,Low,Visitor Arrivals m/m,3.5%,better,51
171,-4,GBP,2014-12-18 18:37:00,-1,worse,Low,GfK Consumer Confidence,-2,,51
172,30.4,NZD,2014-12-18 19:00:00,,,Medium,ANZ Business Confidence,31.5,,51
173,5.2%,NZD,2014-12-18 21:00:00,,,Low,Credit Card Spending y/y,6.8%,,51
174,,JPY,2014-12-18 22:28:00,,,High,Monetary Policy Statement,,,51
175,-0.1%,JPY,2014-12-18 23:30:00,0.2%,worse,Low,All Industries Activity m/m,1.4%,better,51
176,,JPY,2014-12-19 01:30:00,,,High,BOJ Press Conference,,,51
177,9.0,EUR,2014-12-19 02:00:00,8.9,,Medium,German GfK Consumer Climate,8.7,,51
178,0.0%,EUR,2014-12-19 02:00:00,-0.2%,better,Low,German PPI m/m,-0.2%,,51
179,20.5B,EUR,2014-12-19 04:00:00,27.8B,worse,Low,Current Account,32.0B,better,51
180,,EUR,2014-12-19 00:00:00,,,Medium,EU Economic Summit,,,51
181,13.4B,GBP,2014-12-19 04:30:00,14.8B,better,Medium,Public Sector Net Borrowing,6.4B,better,51
182,61,GBP,2014-12-19 06:00:00,30,better,Medium,CBI Realized Sales,27,,51
183,-0.2%,CAD,2014-12-19 08:30:00,0.1%,worse,High,Core CPI m/m,0.3%,,51
184,0.2%,CAD,2014-12-19 08:30:00,0.2%,,High,Core Retail Sales m/m,0.0%,,51
185,-0.4%,CAD,2014-12-19 08:30:00,-0.2%,worse,Medium,CPI m/m,0.1%,,51
186,0.0%,CAD,2014-12-19 08:30:00,-0.4%,better,Medium,Retail Sales m/m,0.8%,,51
187,-1.2%,NZD,2014-12-07 16:45:00,,,Low,Manufacturing Sales q/q,-2.3%,worse,50
188,0.95T,JPY,2014-12-07 18:50:00,0.46T,better,Medium,Current Account,0.41T,,50
189,-0.5%,JPY,2014-12-07 18:50:00,-0.1%,worse,Medium,Final GDP q/q,-0.4%,,50
190,2.7%,JPY,2014-12-07 18:50:00,,,Low,Bank Lending y/y,2.3%,worse,50
191,2.0%,JPY,2014-12-07 18:54:00,2.1%,worse,Low,Final GDP Price Index y/y,2.1%,,50
192,,GBP,2014-12-07 19:01:00,,,Low,BOE Quarterly Bulletin,,,50
193,0.7%,AUD,2014-12-07 19:30:00,,,Medium,ANZ Job Advertisements m/m,0.2%,,50
194,54.5B,CNY,2014-12-07 21:07:00,44.3B,better,High,USD-Denominated Trade Balance,45.4B,,50
195,41.5,JPY,2014-12-08 00:00:00,45.9,worse,Low,Economy Watchers Sentiment,44.0,,50
196,,EUR,2014-12-08 00:00:00,,,Non-Economic,Italian Bank Holiday,,,50
197,0.2%,EUR,2014-12-08 02:00:00,0.2%,,Low,German Industrial Production m/m,1.1%,worse,50
198,0.0%,CHF,2014-12-08 03:15:00,0.0%,,Medium,CPI m/m,0.0%,,50
199,0.3%,CHF,2014-12-08 03:15:00,0.9%,worse,Medium,Retail Sales y/y,0.5%,better,50
200,-2.5,EUR,2014-12-08 04:30:00,-9.9,better,Low,Sentix Investor Confidence,-11.9,,50
201,,EUR,2014-12-08 00:00:00,,,Medium,Eurogroup Meetings,,,50
202,196K,CAD,2014-12-08 08:13:00,201K,worse,Medium,Housing Starts,184K,,50
203,0.7%,CAD,2014-12-08 08:30:00,2.1%,worse,High,Building Permits m/m,12.5%,worse,50
204,2.9,USD,2014-12-08 10:00:00,,,Low,Labor Market Conditions Index m/m,3.9,worse,50
205,3.6%,JPY,2014-12-08 18:50:00,3.2%,better,Low,M2 Money Stock y/y,3.2%,,50
206,0.9%,GBP,2014-12-08 19:01:00,,,Low,BRC Retail Sales Monitor y/y,0.0%,,50
207,1,AUD,2014-12-08 19:30:00,,,High,NAB Business Confidence,5,better,50
208,1.46|3.1,JPY,2014-12-08 22:45:00,,,Low,30-y Bond Auction,1.48|3.0,,50
209,36.6%,JPY,2014-12-09 01:00:00,,,Low,Prelim Machine Tool Orders y/y,30.8%,worse,50
210,3.1%,CHF,2014-12-09 01:45:00,3.2%,better,Low,Unemployment Rate,3.1%,better,50
211,20.6B,EUR,2014-12-09 02:00:00,18.1B,better,Low,German Trade Balance,18.6B,,50
212,-84.7B,EUR,2014-12-09 02:45:00,,,Low,French Gov Budget Balance,-80.5B,,50
213,-4.6B,EUR,2014-12-09 02:45:00,-4.5B,,Low,French Trade Balance,-4.7B,,50
214,-0.7%,GBP,2014-12-09 04:30:00,0.2%,worse,High,Manufacturing Production m/m,0.6%,better,50
215,-0.1%,GBP,2014-12-09 04:30:00,0.3%,worse,Low,Industrial Production m/m,0.7%,better,50
216,,EUR,2014-12-09 00:00:00,,,Medium,ECOFIN Meetings,,,50
217,2.70|1.8,GBP,2014-12-09 05:34:00,,,Low,30-y Bond Auction,3.04|2.0,,50
218,98.1,USD,2014-12-09 07:30:00,96.6,better,Low,NFIB Small Business Index,96.1,,50
219,0.7%,GBP,2014-12-09 10:00:00,,,Medium,NIESR GDP Estimate,0.7%,,50
220,4.83M,USD,2014-12-09 10:00:00,4.81M,,Medium,JOLTS Job Openings,4.69M,,50
221,0.4%,USD,2014-12-09 10:00:00,0.1%,worse,Low,Final Wholesale Inventories m/m,0.4%,worse,50
222,48.4,USD,2014-12-09 10:00:00,47.2,better,Low,IBD/TIPP Economic Optimism,46.4,,50
223,3.3%,NZD,2014-12-09 16:05:00,,,Low,REINZ HPI m/m,1.4%,,50
224,-5.7%,AUD,2014-12-09 18:30:00,,,Medium,Westpac Consumer Sentiment,1.9%,,50
225,8.1,JPY,2014-12-09 18:50:00,13.1,worse,Medium,BSI Manufacturing Index,12.7,,50
226,2.7%,JPY,2014-12-09 18:50:00,2.7%,,Low,PPI y/y,2.9%,,50
227,0.3%,AUD,2014-12-09 19:30:00,0.1%,better,Medium,Home Loans m/m,-0.4%,better,50
228,1.4%,CNY,2014-12-09 20:30:00,1.6%,worse,High,CPI y/y,1.6%,,50
229,-2.7%,CNY,2014-12-09 20:30:00,-2.3%,worse,Medium,PPI y/y,-2.2%,,50
230,37.7,JPY,2014-12-10 00:00:00,39.6,worse,Low,Consumer Confidence,38.9,,50
231,-0.3%,EUR,2014-12-10 01:30:00,-0.2%,worse,Low,French Final Private Payrolls q/q,0.0%,better,50
232,-0.8%,EUR,2014-12-10 02:45:00,0.2%,worse,Medium,French Industrial Production m/m,0.0%,,50
233,-9.6B,GBP,2014-12-10 04:30:00,-9.5B,,Medium,Goods Trade Balance,-10.5B,worse,50
234,,CAD,2014-12-10 10:30:00,,,Low,BOC Financial System Review,,,50
235,1.5M,USD,2014-12-10 10:30:00,-2.6M,,Medium,Crude Oil Inventories,-3.7M,,50
236,,CAD,2014-12-10 11:15:00,,,Medium,Gov Council Member Wilkins Speaks,,,50
237,2.21|3.0,USD,2014-12-10 13:01:00,,,Medium,10-y Bond Auction,2.37|2.5,,50
238,-56.8B,USD,2014-12-10 14:00:00,-68.3B,better,Low,Federal Budget Balance,-121.7B,,50
239,3.50%,NZD,2014-12-10 15:00:00,3.50%,,High,Official Cash Rate,3.50%,,50
240,,NZD,2014-12-10 15:00:00,,,High,RBNZ Press Conference,,,50
241,,NZD,2014-12-10 15:00:00,,,High,RBNZ Rate Statement,,,50
242,,NZD,2014-12-10 15:00:00,,,Medium,RBNZ Monetary Policy Statement,,,50
243,-0.5%,NZD,2014-12-10 16:45:00,,,Low,FPI m/m,0.0%,,50
244,-6.4%,JPY,2014-12-10 18:50:00,-2.1%,worse,Medium,Core Machinery Orders m/m,2.9%,,50
245,-0.2%,JPY,2014-12-10 18:50:00,-0.1%,,Medium,Tertiary Industry Activity m/m,1.3%,better,50
246,3.4%,AUD,2014-12-10 19:00:00,,,Medium,MI Inflation Expectations,4.1%,,50
247,13%,GBP,2014-12-10 19:01:00,16%,worse,Low,RICS House Price Balance,20%,,50
248,,NZD,2014-12-10 19:10:00,,,High,RBNZ Gov Wheeler Speaks,,,50
249,42.7K,AUD,2014-12-10 19:30:00,15.2K,better,High,Employment Change,13.7K,worse,50
250,6.3%,AUD,2014-12-10 19:30:00,6.3%,,High,Unemployment Rate,6.2%,,50
251,0.0%,EUR,2014-12-11 02:00:00,0.0%,,Low,German Final CPI m/m,0.0%,,50
252,-0.2%,EUR,2014-12-11 02:45:00,0.2%,worse,Low,French Final CPI m/m,0.0%,,50
253,<0.25%,CHF,2014-12-11 03:30:00,<0.25%,,High,Libor Rate,<0.25%,,50
254,,CHF,2014-12-11 03:30:00,,,High,SNB Monetary Policy Assessment,,,50
255,,CHF,2014-12-11 03:30:00,,,High,SNB Press Conference,,,50
256,,EUR,2014-12-11 04:00:00,,,Low,ECB Monthly Bulletin,,,50
257,-0.1%,EUR,2014-12-11 04:00:00,0.3%,worse,Low,Italian Industrial Production m/m,-0.9%,,50
258,129.8B,EUR,2014-12-11 05:19:00,148.2B,,High,Long Term Refinancing Operation,82.6B,,50
259,,CAD,2014-12-11 08:00:00,,,High,BOC Gov Poloz Speaks,,,50
260,0.1%,CAD,2014-12-11 08:30:00,0.2%,worse,Medium,NHPI m/m,0.1%,,50
261,83.4%,CAD,2014-12-11 08:30:00,82.9%,better,Low,Capacity Utilization Rate,82.8%,,50
262,0.5%,USD,2014-12-11 08:30:00,0.1%,better,High,Core Retail Sales m/m,0.4%,better,50
263,0.7%,USD,2014-12-11 08:30:00,0.4%,better,High,Retail Sales m/m,0.5%,better,50
264,294K,USD,2014-12-11 08:30:00,299K,better,High,Unemployment Claims,297K,,50
265,-1.5%,USD,2014-12-11 08:30:00,-1.7%,better,Medium,Import Prices m/m,-1.2%,,50
266,0.2%,USD,2014-12-11 10:00:00,0.2%,,Medium,Business Inventories m/m,0.3%,,50
267,-51B,USD,2014-12-11 10:30:00,-45B,,Low,Natural Gas Storage,-22B,,50
268,2.85|2.8,USD,2014-12-11 13:01:00,,,Low,30-y Bond Auction,3.09|2.3,,50
269,55.2,NZD,2014-12-11 16:30:00,,,Medium,Business NZ Manufacturing Index,58.9,worse,50
270,0.4%,JPY,2014-12-11 23:33:00,0.2%,better,Low,Revised Industrial Production m/m,0.2%,,50
271,7.2%,CNY,2014-12-12 00:30:00,7.6%,worse,High,Industrial Production y/y,7.7%,,50
272,15.8%,CNY,2014-12-12 00:30:00,15.8%,,Medium,Fixed Asset Investment ytd/y,15.9%,,50
273,11.7%,CNY,2014-12-12 00:30:00,11.5%,,Low,Retail Sales y/y,11.5%,,50
274,-0.7%,EUR,2014-12-12 02:00:00,0.3%,worse,Low,German WPI m/m,-0.6%,,50
275,853B,CNY,2014-12-12 03:02:00,660B,better,Medium,New Loans,548B,,50
276,12.3%,CNY,2014-12-12 03:02:00,12.5%,,Low,M2 Money Supply y/y,12.6%,,50
277,-2.2%,GBP,2014-12-12 04:30:00,0.8%,worse,Medium,Construction Output m/m,2.2%,better,50
278,0.1%,EUR,2014-12-12 05:00:00,0.2%,worse,Medium,Industrial Production m/m,0.5%,worse,50
279,0.2%,EUR,2014-12-12 05:00:00,0.2%,,Low,Employment Change q/q,0.3%,better,50
280,-0.3%,GBP,2014-12-12 05:00:00,,,Low,CB Leading Index m/m,-0.3%,better,50
