,datetime,new,total_error,pips_candle_max_0_30_after,pips_candle_max_0_60_after,pips_candle_max_0_120_after,pips_candle_max_0_180_after,pips_candle_max_0_240_after
44,2007-04-04 08:15:00,ADP Non-Farm Employment Change,0,2,5,13,26,26
45,2007-04-04 10:00:00,ISM Non-Manufacturing PMI,-3,11,19,19,19,19
46,2007-04-06 08:30:00,Non-Farm Employment Change_Unemployment Rate,9,17,17,17,17,17
47,2007-04-13 08:30:00,Trade Balance_PPI m/m,6,3,6,14,14,14
48,2007-04-13 10:00:00,Prelim UoM Consumer Sentiment,-3,3,3,3,3,3
49,2007-04-16 08:30:00,Core Retail Sales m/m_Retail Sales m/m,9,12,12,12,12,12
50,2007-04-16 09:00:00,TIC Long-Term Purchases,-3,4,4,6,6,6
51,2007-04-17 08:30:00,Core CPI m/m,-3,34,34,34,34,34
52,2007-04-24 10:00:00,Existing Home Sales_CB Consumer Confidence,-3,31,31,31,31,31
53,2007-04-25 08:30:00,Core Durable Goods Orders m/m,0,4,4,27,27,27
54,2007-04-25 10:00:00,New Home Sales,-6,10,10,10,10,10
55,2007-04-27 08:30:00,Advance GDP q/q,-6,2,2,2,2,2
56,2007-04-30 08:30:00,Core PCE Price Index m/m,-3,13,22,29,63,63
57,2007-05-01 10:00:00,ISM Manufacturing PMI_Pending Home Sales m/m,3,-1,-1,-1,-1,-1
58,2007-05-02 08:15:00,ADP Non-Farm Employment Change,-6,1,11,11,23,23
59,2007-05-03 10:00:00,ISM Non-Manufacturing PMI,3,5,7,8,12,12
60,2007-05-04 08:30:00,Non-Farm Employment Change_Unemployment Rate,-3,32,32,44,44,44
61,2007-05-09 14:15:00,Federal Funds Rate,0,9,9,9,9,9
62,2007-05-10 08:30:00,Trade Balance,-3,2,2,2,2,2
63,2007-05-11 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,3,6,13,28,32,32
64,2007-05-15 08:30:00,Core CPI m/m,0,2,2,19,48,48
65,2007-05-15 09:00:00,TIC Long-Term Purchases,-3,2,3,60,60,60
66,2007-05-18 10:00:00,Prelim UoM Consumer Sentiment,6,22,28,44,44,44
67,2007-05-24 08:30:00,Core Durable Goods Orders m/m,0,9,18,18,18,18
68,2007-05-24 10:00:00,New Home Sales,0,2,9,9,11,19
69,2007-05-25 10:00:00,Existing Home Sales,0,19,19,19,19,19
70,2007-05-29 10:00:00,CB Consumer Confidence,6,3,3,3,3,3
71,2007-05-30 08:15:00,ADP Non-Farm Employment Change,-3,2,5,17,17,17
72,2007-05-31 08:30:00,Prelim GDP q/q,-3,3,3,3,3,3
73,2007-06-01 08:30:00,Core PCE Price Index m/m_Non-Farm Employment Change_Unemployment Rate,-3,3,3,3,3,3
74,2007-06-01 10:00:00,ISM Manufacturing PMI_Pending Home Sales m/m,3,1,18,24,30,30
75,2007-06-05 10:00:00,ISM Non-Manufacturing PMI,3,4,4,6,10,10
76,2007-06-08 08:30:00,Trade Balance,6,4,15,15,15,15
77,2007-06-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,12,31,31,35,35,35
78,2007-06-14 08:30:00,PPI m/m,3,32,32,42,42,42
79,2007-06-15 08:30:00,Core CPI m/m,-3,26,41,41,56,56
80,2007-06-15 09:00:00,TIC Long-Term Purchases,0,22,22,27,37,41
81,2007-06-15 10:00:00,Prelim UoM Consumer Sentiment,-3,6,20,30,34,42
82,2007-06-25 10:00:00,Existing Home Sales,3,2,2,2,2,2
83,2007-06-26 10:00:00,New Home Sales_CB Consumer Confidence,-6,5,5,7,8,9
84,2007-06-27 08:30:00,Core Durable Goods Orders m/m,0,0,0,0,0,0
85,2007-06-28 14:15:00,Federal Funds Rate,0,9,9,9,9,9
86,2007-06-29 08:30:00,Core PCE Price Index m/m,0,16,17,17,17,25
87,2007-07-02 10:00:00,ISM Manufacturing PMI,3,24,32,36,39,39
88,2007-07-03 10:00:00,Pending Home Sales m/m,-6,-1,4,7,11,11
89,2007-07-05 10:00:00,ISM Non-Manufacturing PMI,3,8,8,8,8,8
90,2007-07-06 08:30:00,Non-Farm Employment Change_Unemployment Rate,6,28,46,70,70,70
91,2007-07-12 08:30:00,Trade Balance,0,2,2,2,2,2
92,2007-07-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,0,16,18,18,18,18
93,2007-07-13 10:00:00,Prelim UoM Consumer Sentiment,6,11,11,11,11,11
94,2007-07-17 08:30:00,PPI m/m,-3,13,13,13,13,13
95,2007-07-17 09:00:00,TIC Long-Term Purchases,0,5,8,9,9,9
96,2007-07-18 08:30:00,Core CPI m/m,0,2,3,31,43,43
97,2007-07-25 10:00:00,Existing Home Sales,-3,3,3,3,3,3
98,2007-07-26 08:30:00,Core Durable Goods Orders m/m,0,2,6,21,21,48
99,2007-07-26 10:00:00,New Home Sales,-6,3,3,3,35,35
100,2007-07-27 08:30:00,Advance GDP q/q,0,17,17,17,17,17
101,2007-07-31 08:30:00,Core PCE Price Index m/m,-3,4,4,4,4,4
102,2007-07-31 10:00:00,CB Consumer Confidence,6,4,4,12,12,12
103,2007-08-01 10:00:00,ISM Manufacturing PMI_Pending Home Sales m/m,-3,21,21,21,21,21
104,2007-08-03 08:30:00,Non-Farm Employment Change_Unemployment Rate,-6,5,22,61,73,77
105,2007-08-03 10:00:00,ISM Non-Manufacturing PMI,-3,34,34,48,50,50
106,2007-08-07 14:15:00,Federal Funds Rate,0,34,34,34,34,34
107,2007-08-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,9,3,6,6,6,6
108,2007-08-14 08:30:00,Trade Balance_PPI m/m,9,7,7,9,9,9
109,2007-08-15 08:30:00,Core CPI m/m,0,4,4,30,30,30
110,2007-08-15 09:00:00,TIC Long-Term Purchases,3,17,38,44,44,44
111,2007-08-17 10:00:00,Prelim UoM Consumer Sentiment,-6,20,47,47,47,47
112,2007-08-24 08:30:00,Core Durable Goods Orders m/m,0,31,32,41,41,56
113,2007-08-24 10:00:00,New Home Sales,6,7,7,7,42,42
114,2007-08-27 10:00:00,Existing Home Sales,0,3,3,3,10,10
115,2007-08-28 10:00:00,CB Consumer Confidence,-3,4,4,4,4,4
116,2007-08-30 08:30:00,Prelim GDP q/q,0,12,12,18,38,38
117,2007-08-31 08:30:00,Core PCE Price Index m/m,0,3,3,3,3,3
118,2007-09-04 10:00:00,ISM Manufacturing PMI,0,8,25,43,45,46
119,2007-09-05 10:00:00,Pending Home Sales m/m,-3,58,62,75,76,76
120,2007-09-06 10:00:00,ISM Non-Manufacturing PMI,3,17,42,46,46,46
121,2007-09-07 08:30:00,Non-Farm Employment Change_Unemployment Rate,-6,16,29,40,40,40
122,2007-09-11 08:30:00,Trade Balance,-3,19,26,26,35,35
123,2007-09-14 08:30:00,Core Retail Sales m/m_Retail Sales m/m,0,8,8,8,8,8
124,2007-09-14 10:00:00,Prelim UoM Consumer Sentiment,0,3,3,3,3,3
125,2007-09-18 08:30:00,PPI m/m,-3,18,18,18,18,18
126,2007-09-18 09:00:00,TIC Long-Term Purchases,-6,4,4,4,4,4
127,2007-09-18 14:15:00,Federal Funds Rate,-3,48,52,52,61,61
128,2007-09-19 08:30:00,Core CPI m/m,0,6,6,12,12,12
129,2007-09-25 10:00:00,Existing Home Sales_CB Consumer Confidence,0,12,12,12,12,16
130,2007-09-26 08:30:00,Core Durable Goods Orders m/m,-6,3,3,6,6,6
131,2007-09-27 10:00:00,New Home Sales,-6,5,5,5,5,5
132,2007-09-28 08:30:00,Core PCE Price Index m/m,0,31,31,41,58,66
133,2007-10-01 10:00:00,ISM Manufacturing PMI,-3,13,17,20,20,20
134,2007-10-02 10:00:00,Pending Home Sales m/m,0,2,2,2,2,2
135,2007-10-03 08:15:00,ADP Non-Farm Employment Change,-3,9,9,9,9,9
136,2007-10-03 10:00:00,ISM Non-Manufacturing PMI,0,5,5,5,5,5
137,2007-10-05 08:30:00,Non-Farm Employment Change_Unemployment Rate,6,31,36,99,99,99
138,2007-10-11 08:30:00,Trade Balance,3,16,16,48,64,64
139,2007-10-12 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,9,51,51,51,51,51
140,2007-10-12 10:00:00,Prelim UoM Consumer Sentiment,-3,6,6,6,6,7
141,2007-10-16 09:00:00,TIC Long-Term Purchases,-3,9,9,9,9,9
142,2007-10-17 08:30:00,Core CPI m/m,0,20,32,35,35,35
143,2007-10-24 10:00:00,Existing Home Sales,-3,3,3,3,3,3
144,2007-10-25 08:30:00,Core Durable Goods Orders m/m,0,37,37,37,37,37
145,2007-10-25 10:00:00,New Home Sales,-3,18,18,18,18,18
146,2007-10-30 10:00:00,CB Consumer Confidence,-3,2,13,13,13,13
147,2007-10-31 08:30:00,Advance GDP q/q,6,2,16,16,16,31
148,2007-10-31 14:15:00,Federal Funds Rate,0,41,50,50,50,50
149,2007-11-01 08:30:00,Core PCE Price Index m/m,0,13,13,13,13,44
150,2007-11-01 10:00:00,ISM Manufacturing PMI,-3,16,21,29,73,73
151,2007-11-02 08:30:00,Non-Farm Employment Change_Unemployment Rate,0,57,57,57,57,57
152,2007-11-05 10:00:00,ISM Non-Manufacturing PMI,3,3,3,3,3,3
153,2007-11-09 08:30:00,Trade Balance,6,2,17,17,17,17
154,2007-11-09 10:00:00,Prelim UoM Consumer Sentiment,-6,1,10,10,10,10
155,2007-11-13 15:00:00,Pending Home Sales m/m,3,2,3,3,17,20
156,2007-11-14 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,-6,25,37,37,37,37
157,2007-11-15 08:30:00,Core CPI m/m,0,6,6,10,13,18
158,2007-11-16 09:00:00,TIC Long-Term Purchases,-3,25,25,25,25,25
159,2007-11-27 10:00:00,CB Consumer Confidence,-6,6,6,6,6,6
160,2007-11-28 08:30:00,Core Durable Goods Orders m/m,0,5,9,9,9,10
161,2007-11-28 10:00:00,Existing Home Sales,-3,2,8,8,16,47
162,2007-11-29 08:30:00,Prelim GDP q/q,0,7,7,33,37,37
163,2007-11-29 10:00:00,New Home Sales,-6,39,43,43,43,43
164,2007-12-03 10:00:00,ISM Manufacturing PMI,0,12,12,14,14,14
165,2007-12-05 08:15:00,ADP Non-Farm Employment Change,6,4,4,4,4,4
166,2007-12-05 10:00:00,ISM Non-Manufacturing PMI,-3,14,14,14,14,14
167,2007-12-07 08:30:00,Non-Farm Employment Change_Unemployment Rate,6,40,40,40,40,40
168,2007-12-07 10:00:00,Prelim UoM Consumer Sentiment,3,21,21,21,21,21
169,2007-12-10 10:00:00,Pending Home Sales m/m,6,2,2,6,6,6
170,2007-12-11 14:15:00,Federal Funds Rate,0,4,4,4,4,4
171,2007-12-12 08:30:00,Trade Balance,0,49,49,49,49,49
172,2007-12-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,12,17,17,17,17,17
173,2007-12-14 08:30:00,Core CPI m/m,3,28,30,30,30,30
174,2007-12-17 09:00:00,TIC Long-Term Purchases,0,6,6,6,6,6
175,2007-12-18 08:30:00,Building Permits,0,7,21,21,21,21
176,2007-12-27 08:30:00,Core Durable Goods Orders m/m,-6,61,61,61,94,108
177,2007-12-27 10:00:00,CB Consumer Confidence,6,7,7,47,74,75
178,2007-12-28 10:00:00,New Home Sales,-6,16,16,16,16,16
179,2007-12-31 10:00:00,Existing Home Sales,3,7,7,7,7,7
180,2008-01-02 10:00:00,ISM Manufacturing PMI,-3,20,41,60,60,60
181,2008-01-03 08:15:00,ADP Non-Farm Employment Change,-3,0,0,0,0,0
182,2008-01-04 08:30:00,Non-Farm Employment Change_Unemployment Rate,-3,5,12,12,12,12
183,2008-01-04 10:00:00,ISM Non-Manufacturing PMI,3,1,8,25,25,25
184,2008-01-08 10:00:00,Pending Home Sales m/m,0,8,8,8,8,8
185,2008-01-11 08:30:00,Trade Balance,-3,31,31,31,31,31
186,2008-01-15 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,-15,13,23,23,23,23
187,2008-01-16 08:30:00,Core CPI m/m,0,6,14,33,33,33
188,2008-01-16 09:00:00,TIC Long-Term Purchases,3,25,44,44,44,44
189,2008-01-17 08:30:00,Building Permits,-3,13,13,42,42,42
190,2008-01-18 10:00:00,Prelim UoM Consumer Sentiment,6,7,7,7,7,7
191,2008-01-24 08:30:00,Unemployment Claims,3,32,63,75,77,80
192,2008-01-24 10:00:00,Existing Home Sales,-3,25,25,30,30,58
193,2008-01-28 10:00:00,New Home Sales,-6,16,26,26,26,26
194,2008-01-29 08:30:00,Core Durable Goods Orders m/m,6,3,3,4,9,9
195,2008-01-29 10:00:00,CB Consumer Confidence,6,10,14,15,15,18
196,2008-01-30 08:15:00,ADP Non-Farm Employment Change,3,16,16,16,16,16
197,2008-01-30 08:30:00,Advance GDP q/q,0,7,7,7,7,7
198,2008-01-30 14:15:00,Federal Funds Rate,0,24,44,44,44,44
199,2008-02-01 08:30:00,Non-Farm Employment Change_Unemployment Rate,3,22,22,22,22,22
200,2008-02-01 10:00:00,ISM Manufacturing PMI,3,13,17,35,35,35
201,2008-02-05 10:00:00,ISM Non-Manufacturing PMI,-3,13,13,13,13,13
202,2008-02-07 08:30:00,Unemployment Claims,-3,6,6,6,6,6
203,2008-02-07 10:00:00,Pending Home Sales m/m,-6,16,16,16,16,16
204,2008-02-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,9,1,1,1,1,1
205,2008-02-14 08:30:00,Trade Balance,3,8,8,8,34,34
206,2008-02-15 09:00:00,TIC Long-Term Purchases,-3,7,27,27,27,27
207,2008-02-15 09:55:00,Prelim UoM Consumer Sentiment,-6,23,23,23,23,23
208,2008-02-20 08:30:00,Core CPI m/m_Building Permits,3,14,29,36,41,75
209,2008-02-25 10:00:00,Existing Home Sales,3,6,27,27,27,27
210,2008-02-26 08:30:00,PPI m/m,3,15,18,20,20,43
211,2008-02-26 10:00:00,CB Consumer Confidence,-6,5,5,10,37,62
212,2008-02-27 08:30:00,Core Durable Goods Orders m/m,-6,7,24,58,89,96
213,2008-02-27 10:00:00,New Home Sales,-3,9,37,58,58,58
214,2008-02-28 08:30:00,Prelim GDP q/q,-3,11,25,25,69,83
215,2008-03-03 10:00:00,ISM Manufacturing PMI,0,2,2,2,2,2
216,2008-03-05 08:15:00,ADP Non-Farm Employment Change,-6,38,41,41,92,102
217,2008-03-05 10:00:00,ISM Non-Manufacturing PMI,3,35,55,82,82,82
218,2008-03-06 10:00:00,Pending Home Sales m/m,6,21,21,29,29,29
219,2008-03-07 08:30:00,Non-Farm Employment Change_Unemployment Rate,0,34,34,34,34,34
220,2008-03-11 08:30:00,Trade Balance,6,18,18,18,18,18
221,2008-03-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,0,19,34,57,57,57
222,2008-03-14 08:30:00,Core CPI m/m,-3,2,39,119,119,119
223,2008-03-14 09:55:00,Prelim UoM Consumer Sentiment,6,46,46,46,46,46
224,2008-03-17 09:00:00,TIC Long-Term Purchases,3,11,11,11,30,30
225,2008-03-18 08:30:00,PPI m/m_Building Permits,-3,27,27,27,27,27
226,2008-03-18 14:15:00,Federal Funds Rate,0,26,26,26,26,26
227,2008-03-24 10:00:00,Existing Home Sales,3,7,7,18,43,47
228,2008-03-25 10:00:00,CB Consumer Confidence,0,23,23,23,35,39
229,2008-03-26 08:30:00,Core Durable Goods Orders m/m,0,2,2,9,12,29
230,2008-03-26 10:00:00,New Home Sales,6,21,21,41,49,91
231,2008-03-27 08:30:00,Unemployment Claims,0,10,40,47,47,47
232,2008-04-01 10:00:00,ISM Manufacturing PMI,3,7,7,13,13,13
233,2008-04-02 08:15:00,ADP Non-Farm Employment Change,3,14,14,48,48,48
234,2008-04-03 10:00:00,ISM Non-Manufacturing PMI,3,12,51,88,99,101
235,2008-04-04 08:30:00,Non-Farm Employment Change_Unemployment Rate,-9,4,4,4,4,4
236,2008-04-08 10:00:00,Pending Home Sales m/m,0,8,8,8,8,8
237,2008-04-10 08:30:00,Trade Balance_Unemployment Claims,-3,11,11,11,11,11
238,2008-04-11 09:55:00,Prelim UoM Consumer Sentiment,-6,19,19,19,19,19
239,2008-04-14 08:30:00,Core Retail Sales m/m_Retail Sales m/m,9,12,12,12,12,12
240,2008-04-15 08:30:00,PPI m/m,3,3,3,3,3,3
241,2008-04-15 09:00:00,TIC Long-Term Purchases,0,2,2,13,13,13
242,2008-04-16 08:30:00,Core CPI m/m_Building Permits,-3,13,13,13,13,25
243,2008-04-17 08:30:00,Unemployment Claims,0,53,53,62,62,62
244,2008-04-22 10:00:00,Existing Home Sales,3,65,73,90,90,90
245,2008-04-24 08:30:00,Core Durable Goods Orders m/m,6,4,4,9,9,9
246,2008-04-24 10:00:00,New Home Sales,-6,4,4,4,4,4
247,2008-04-29 10:00:00,CB Consumer Confidence,3,20,28,28,28,28
248,2008-04-30 08:15:00,ADP Non-Farm Employment Change,3,12,24,36,37,45
249,2008-04-30 08:30:00,Advance GDP q/q,3,22,28,34,37,43
250,2008-04-30 14:15:00,Federal Funds Rate,0,101,102,102,102,102
251,2008-05-01 10:00:00,ISM Manufacturing PMI,3,5,5,5,7,7
252,2008-05-02 08:30:00,Non-Farm Employment Change_Unemployment Rate,6,25,28,30,49,49
253,2008-05-05 10:00:00,ISM Non-Manufacturing PMI,3,14,36,54,54,73
254,2008-05-07 10:00:00,Pending Home Sales m/m,-3,7,15,15,15,15
255,2008-05-09 08:30:00,Trade Balance,3,15,15,15,15,17
256,2008-05-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,6,15,15,15,49,66
257,2008-05-14 08:30:00,Core CPI m/m,-3,26,26,26,26,26
258,2008-05-15 09:00:00,TIC Long-Term Purchases,0,12,12,12,12,12
259,2008-05-16 08:30:00,Building Permits,3,4,4,67,109,115
260,2008-05-16 09:55:00,Prelim UoM Consumer Sentiment,-6,57,72,108,108,108
261,2008-05-20 08:30:00,PPI m/m,-3,13,13,21,21,21
262,2008-05-22 08:30:00,Unemployment Claims,3,18,29,29,29,29
263,2008-05-23 10:00:00,Existing Home Sales,3,19,24,40,40,40
264,2008-05-27 10:00:00,New Home Sales_CB Consumer Confidence,0,27,27,31,31,31
265,2008-05-28 08:30:00,Core Durable Goods Orders m/m,6,26,31,55,55,55
266,2008-05-29 08:30:00,Prelim GDP q/q,0,20,20,20,20,20
267,2008-06-02 10:00:00,ISM Manufacturing PMI,3,35,40,60,91,91
268,2008-06-04 08:15:00,ADP Non-Farm Employment Change,3,29,33,33,33,33
269,2008-06-04 10:00:00,ISM Non-Manufacturing PMI,3,26,35,35,35,35
270,2008-06-05 08:30:00,Unemployment Claims,3,109,147,194,194,200
271,2008-06-06 08:30:00,Non-Farm Employment Change_Unemployment Rate,-3,6,6,13,56,56
272,2008-06-09 10:00:00,Pending Home Sales m/m,3,19,53,53,53,53
273,2008-06-10 08:30:00,Trade Balance,0,14,14,14,14,14
274,2008-06-12 08:30:00,Core Retail Sales m/m_Retail Sales m/m,12,59,59,65,65,65
275,2008-06-13 08:30:00,Core CPI m/m,0,3,3,4,42,44
276,2008-06-13 09:55:00,Prelim UoM Consumer Sentiment,-3,4,15,46,48,48
277,2008-06-16 09:00:00,TIC Long-Term Purchases,3,22,22,22,22,22
278,2008-06-17 08:30:00,PPI m/m_Building Permits,3,9,9,18,21,29
279,2008-06-19 08:30:00,Unemployment Claims,-3,28,34,34,34,34
280,2008-06-24 10:00:00,CB Consumer Confidence,0,19,19,19,19,19
281,2008-06-25 08:30:00,Core Durable Goods Orders m/m,-3,11,24,24,24,24
282,2008-06-25 10:00:00,New Home Sales,-3,3,3,3,3,3
283,2008-06-25 14:09:00,Federal Funds Rate,0,85,87,91,91,91
284,2008-06-26 10:00:00,Existing Home Sales,3,17,25,25,25,25
285,2008-07-01 10:00:00,ISM Manufacturing PMI,3,43,43,44,82,82
286,2008-07-02 08:15:00,ADP Non-Farm Employment Change,-6,12,36,36,47,47
287,2008-07-03 08:30:00,Non-Farm Employment Change_Unemployment Rate,-6,5,5,5,5,5
288,2008-07-03 10:00:00,ISM Non-Manufacturing PMI,-3,1,1,1,1,1
289,2008-07-08 10:00:00,Pending Home Sales m/m,0,1,8,8,8,8
290,2008-07-10 08:30:00,Unemployment Claims,3,21,21,79,94,94
291,2008-07-11 08:30:00,Trade Balance,3,35,83,104,104,104
292,2008-07-11 09:55:00,Prelim UoM Consumer Sentiment,3,48,48,48,48,48
293,2008-07-15 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,-6,5,5,27,27,27
294,2008-07-16 08:30:00,Core CPI m/m,3,13,13,13,13,13
295,2008-07-16 09:00:00,TIC Long-Term Purchases,-6,2,2,2,2,2
296,2008-07-17 08:30:00,Building Permits,3,1,1,35,43,43
297,2008-07-24 10:00:00,Existing Home Sales,-3,13,13,13,13,13
298,2008-07-25 08:30:00,Core Durable Goods Orders m/m,6,14,14,14,14,14
299,2008-07-25 10:00:00,New Home Sales,6,10,12,26,38,40
300,2008-07-29 10:00:00,CB Consumer Confidence,6,1,1,1,1,1
301,2008-07-30 08:15:00,ADP Non-Farm Employment Change,3,18,18,18,18,18
302,2008-07-31 08:30:00,Advance GDP q/q,0,38,50,50,50,50
303,2008-08-01 08:30:00,Non-Farm Employment Change_Unemployment Rate,3,16,25,56,56,56
304,2008-08-01 10:00:00,ISM Manufacturing PMI,3,16,16,16,16,16
305,2008-08-05 10:00:00,ISM Non-Manufacturing PMI,3,7,10,10,10,10
306,2008-08-05 14:13:00,Federal Funds Rate,0,18,18,18,18,18
307,2008-08-07 10:00:00,Pending Home Sales m/m,0,14,24,24,24,24
308,2008-08-12 08:30:00,Trade Balance,3,34,50,50,50,50
309,2008-08-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,0,10,10,10,10,10
310,2008-08-14 08:30:00,Core CPI m/m,3,18,18,18,18,18
311,2008-08-15 09:00:00,TIC Long-Term Purchases,0,2,2,2,2,2
312,2008-08-15 09:55:00,Prelim UoM Consumer Sentiment,3,25,35,35,35,35
313,2008-08-19 08:30:00,PPI m/m_Building Permits,3,7,31,44,85,136
314,2008-08-25 10:00:00,Existing Home Sales,3,3,3,12,16,16
315,2008-08-26 10:00:00,New Home Sales_CB Consumer Confidence,-3,29,29,42,42,42
316,2008-08-27 08:30:00,Core Durable Goods Orders m/m,6,14,14,14,14,14
317,2008-08-28 08:30:00,Prelim GDP q/q,3,43,75,75,75,75
318,2008-09-02 10:00:00,ISM Manufacturing PMI,0,20,20,29,29,29
319,2008-09-04 08:15:00,ADP Non-Farm Employment Change,-3,23,23,23,23,23
320,2008-09-04 10:00:00,ISM Non-Manufacturing PMI,3,-1,-1,-1,-1,-1
321,2008-09-05 08:30:00,Non-Farm Employment Change_Unemployment Rate,-9,112,121,121,121,121
322,2008-09-09 10:00:00,Pending Home Sales m/m,0,15,24,68,104,104
323,2008-09-11 08:30:00,Trade Balance,-6,6,6,6,6,6
324,2008-09-12 08:30:00,Core Retail Sales m/m_Retail Sales m/m_PPI m/m,-15,40,60,73,118,118
325,2008-09-12 09:55:00,Prelim UoM Consumer Sentiment,6,58,98,107,107,107
326,2008-09-16 08:30:00,Core CPI m/m,0,27,27,27,27,27
327,2008-09-16 09:00:00,TIC Long-Term Purchases,-3,17,17,17,17,17
328,2008-09-16 14:14:00,Federal Funds Rate,0,30,52,52,52,52
329,2008-09-17 08:30:00,Building Permits,-3,7,7,17,17,17
330,2008-09-24 10:00:00,Existing Home Sales,0,1,1,1,1,1
331,2008-09-25 08:30:00,Unemployment Claims_Core Durable Goods Orders m/m,-12,17,17,23,23,23
332,2008-09-25 10:00:00,New Home Sales,0,-4,-4,-4,-4,-4
333,2008-09-30 10:00:00,CB Consumer Confidence,6,11,11,11,11,11
334,2008-10-01 08:15:00,ADP Non-Farm Employment Change,3,6,6,6,6,6
335,2008-10-01 10:00:00,ISM Manufacturing PMI,-3,12,12,51,56,76
336,2008-10-02 08:30:00,Unemployment Claims,-3,0,0,0,0,5
337,2008-10-03 08:30:00,Non-Farm Employment Change_Unemployment Rate,0,27,27,27,27,39
