,actual,country,date,forecast,impact,new,previous,time
50,,USD,"Monday, October 1, 2018",,Low,USD Fed's Rosengren Speaks on the U.S. Outlook and Monetary Policy,,16:15
51,54,AUD,"Monday, October 1, 2018",,Low,AUD CBA Australia PMI Mfg (SEP),53.2,23:00
52,188.1,AUD,"Monday, October 1, 2018",,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (SEP 30),117.2,23:30
53,¥505.0t,JPY,"Monday, October 1, 2018",,Medium,JPY Monetary Base End of period (SEP),¥502.0t,23:50
54,5.9%,JPY,"Monday, October 1, 2018",,Medium,JPY Monetary Base (YoY) (SEP),6.9%,23:50
55,3.35%,JPY,"Tuesday, October 2, 2018",,Medium,JPY Loans & Discounts Corp (YoY) (AUG),3.18%,00:00
56,1.50%,AUD,"Tuesday, October 2, 2018",1.50%,High,AUD RBA Cash Rate Target (OCT 2),1.50%,04:30
57,43.4,JPY,"Tuesday, October 2, 2018",43.1,Medium,JPY Consumer Confidence Index (SEP),43.3,05:00
58,0.3%,GBP,"Tuesday, October 2, 2018",0.2%,Low,GBP Nationwide House Px (MoM) (SEP),-0.5%,06:00
59,2.0%,GBP,"Tuesday, October 2, 2018",1.9%,Medium,GBP Nationwide House Px NSA (YoY) (SEP),2.0%,06:00
60,4.80%,AUD,"Tuesday, October 2, 2018",,Low,AUD RBA Commodity Index SDR (YoY) (SEP),6.70%,06:30
61,115.7,AUD,"Tuesday, October 2, 2018",,Low,AUD Commodity Index AUD (SEP),113.5,06:30
62,52.1,GBP,"Tuesday, October 2, 2018",52.9,Medium,GBP Markit/CIPS UK Construction PMI (SEP),52.9,08:30
63,,GBP,"Tuesday, October 2, 2018",,Low,GBP BOE Chief Economist Haldane Chairs Panel in London,,08:45
64,0.3%,EUR,"Tuesday, October 2, 2018",0.2%,Low,EUR Euro-Zone Producer Price Index (MoM) (AUG),0.7%,09:00
65,4.2%,EUR,"Tuesday, October 2, 2018",3.8%,Low,EUR Euro-Zone Producer Price Index (YoY) (AUG),4.3%,09:00
66,,GBP,"Tuesday, October 2, 2018",,Low,GBP BOE's Haskel Chairs Panel in London,,10:35
67,,USD,"Tuesday, October 2, 2018",,Low,USD Fed's Quarles Testifies to Senate Banking Committee,,14:00
68,"$2,901",NZD,"Tuesday, October 2, 2018",,Medium,NZD Dairy Auction Avg. Winning Price MT (OCT 2),"$2,934",14:30
69,"$2,753",NZD,"Tuesday, October 2, 2018",,Medium,NZD Dairy Auction Whole Milk Powder MT (OCT 2),"$2,768",14:30
70,,USD,"Tuesday, October 2, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
71,4.6%,NZD,"Tuesday, October 2, 2018",,Low,NZD QV House Prices (YoY) (SEP),4.8%,16:00
72,,USD,"Tuesday, October 2, 2018",,High,USD Fed's Chairman Powell Speaks at NABE Conference in Boston,,16:00
73,-0.3%,NZD,"Tuesday, October 2, 2018",,Low,NZD ANZ Job Advertisements (MoM) (SEP),0.6%,21:00
74,17.4m,USD,"Tuesday, October 2, 2018",16.8m,Low,USD Wards Total Vehicle Sales (SEP),16.6m,21:36
75,52.5,AUD,"Tuesday, October 2, 2018",,Medium,AUD AiG Performance of Service Index (SEP),52.2,22:30
76,0.2%,GBP,"Tuesday, October 2, 2018",,Low,GBP BRC Shop Price Index (YoY) (SEP),0.1%,23:01
77,-1.8%,NZD,"Wednesday, October 3, 2018",,Low,NZD ANZ Commodity Price (SEP),-1.1%,00:00
78,50.2,JPY,"Wednesday, October 3, 2018",,Medium,JPY Nikkei Japan PMI Services (SEP),51.5,00:30
79,50.7,JPY,"Wednesday, October 3, 2018",,Medium,JPY Nikkei Japan PMI Composite (SEP),52.0,00:30
80,-9.4%,AUD,"Wednesday, October 3, 2018",1.0%,Low,AUD Building Approvals (MoM) (AUG),-5.2%,01:30
81,-13.6%,AUD,"Wednesday, October 3, 2018",-2.5%,Medium,AUD Building Approvals (YoY) (AUG),-5.6%,01:30
82,53.3,EUR,"Wednesday, October 3, 2018",52.8,Low,EUR Markit/ADACI Italy Services PMI (SEP),52.6,07:45
83,52.4,EUR,"Wednesday, October 3, 2018",51.8,Low,EUR Markit/ADACI Italy Composite PMI (SEP),51.7,07:45
84,54.8,EUR,"Wednesday, October 3, 2018",54.3,Low,EUR Markit France Services PMI (SEP F),55.4,07:50
85,54.0,EUR,"Wednesday, October 3, 2018",53.6,Low,EUR Markit France Composite PMI (SEP F),54.9,07:50
86,55.9,EUR,"Wednesday, October 3, 2018",56.5,Low,EUR Markit Germany Services PMI (SEP F),55.0,07:55
87,55.0,EUR,"Wednesday, October 3, 2018",55.3,Low,EUR Markit/BME Germany Composite PMI (SEP F),55.6,07:55
88,,CHF,"Wednesday, October 3, 2018",,Low,CHF KOF Institute Autumn Economic Forecast,,08:00
89,54.7,EUR,"Wednesday, October 3, 2018",54.7,Low,EUR Markit Eurozone Services PMI (SEP F),54.7,08:00
90,54.1,EUR,"Wednesday, October 3, 2018",54.2,Low,EUR Markit Eurozone Composite PMI (SEP F),54.5,08:00
91,53.9,GBP,"Wednesday, October 3, 2018",54,Medium,GBP Markit/CIPS UK Services PMI (SEP),54.3,08:30
92,54.1,GBP,"Wednesday, October 3, 2018",54,Medium,GBP Markit/CIPS UK Composite PMI (SEP),54.2,08:30
93,-0.2%,EUR,"Wednesday, October 3, 2018",0.2%,Low,EUR Euro-Zone Retail Sales (MoM) (AUG),-0.6%,09:00
94,1.8%,EUR,"Wednesday, October 3, 2018",1.7%,Medium,EUR Euro-Zone Retail Sales (YoY) (AUG),1.0%,09:00
95,,USD,"Wednesday, October 3, 2018",,Low,USD Fed's Evans Speaks in London,,10:30
96,0.0%,USD,"Wednesday, October 3, 2018",,Medium,USD MBA Mortgage Applications (SEP 28),2.9%,11:00
97,,USD,"Wednesday, October 3, 2018",,Low,USD Fed's Barkin Speaks at Economic Conference in West Virginia,,12:05
98,230k,USD,"Wednesday, October 3, 2018",184k,Medium,USD ADP Employment Change (SEP),168k,12:15
99,53.5,USD,"Wednesday, October 3, 2018",53,Low,USD Markit US Services PMI (SEP F),52.9,13:45
100,53.9,USD,"Wednesday, October 3, 2018",,Low,USD Markit US Composite PMI (SEP F),53.4,13:45
101,61.6,USD,"Wednesday, October 3, 2018",58,High,USD ISM Non-Manufacturing/Services Composite (SEP),58.5,14:00
102,7975k,USD,"Wednesday, October 3, 2018",1500k,Medium,USD DOE U.S. Crude Oil Inventories (SEP 28),1852k,14:30
103,1699k,USD,"Wednesday, October 3, 2018",,Low,USD DOE Cushing OK Crude Inventory (SEP 28),461k,14:30
104,-459k,USD,"Wednesday, October 3, 2018",1250k,Low,USD DOE U.S. Gasoline Inventories (SEP 28),1530k,14:30
105,-1750k,USD,"Wednesday, October 3, 2018",-1250k,Low,USD DOE U.S. Distillate Inventory (SEP 28),-2241k,14:30
106,,USD,"Wednesday, October 3, 2018",,Low,USD Fed's Brainard Speaks in Chicago About Payment System,,18:15
107,,USD,"Wednesday, October 3, 2018",,Low,USD Fed's Mester Speaks at Community Banking Conference,,18:15
108,52.2,AUD,"Wednesday, October 3, 2018",,Low,AUD CBA Australia PMI Services (SEP),51.8,23:00
109,52.5,AUD,"Wednesday, October 3, 2018",,Low,AUD CBA Australia PMI Composite (SEP),52,23:00
110,¥379.9b,JPY,"Wednesday, October 3, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (SEP 28),¥1505.0b,23:50
111,¥334.1b,JPY,"Wednesday, October 3, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (SEP 28),¥297.1b,23:50
112,¥-179.7b,JPY,"Wednesday, October 3, 2018",,Low,JPY Foreign Buying Japan Bonds (SEP 28),-¥2297.6b,23:50
113,¥835.7b,JPY,"Wednesday, October 3, 2018",,Low,JPY Foreign Buying Japan Stocks (SEP 28),-¥519.8b,23:50
114,A$1604m,AUD,"Thursday, October 4, 2018",A$1450m,Medium,AUD Trade Balance (AUG),A$1551m,01:30
115,50.2,EUR,"Thursday, October 4, 2018",,Medium,EUR Markit Germany Construction PMI (SEP),51.5,07:30
116,-20.5%,GBP,"Thursday, October 4, 2018",,Low,GBP New Car Registrations (YoY) (SEP),23.1%,08:00
117,70.9%,USD,"Thursday, October 4, 2018",,Low,USD Challenger Job Cuts (YoY) (SEP),13.7%,11:30
118,207k,USD,"Thursday, October 4, 2018",215k,Medium,USD Initial Jobless Claims (SEP 29),215k,12:30
119,1650k,USD,"Thursday, October 4, 2018",1665k,Medium,USD Continuing Claims (SEP 22),1663k,12:30
120,101.7,MXN,"Thursday, October 4, 2018",102.9,Medium,MXN Consumer Confidence Index (SEP),103.9,13:00
121,,USD,"Thursday, October 4, 2018",,Low,USD Fed's Quarles Speaks at Community Banking Conference,,13:15
122,50.4,CAD,"Thursday, October 4, 2018",,Low,CAD Ivey Purchasing Managers Index s.a. (SEP),61.9,14:00
123,2.3%,USD,"Thursday, October 4, 2018",2.1%,Medium,USD Factory Orders (AUG),-0.5%,14:00
124,0.1%,USD,"Thursday, October 4, 2018",,Low,USD Factory Orders Ex Trans (AUG),0.1%,14:00
125,4.4,USD,"Thursday, October 4, 2018",4.5%,Medium,USD Durable Goods Orders (AUG F),4.5%,14:00
126,0.0%,USD,"Thursday, October 4, 2018",,Low,USD Durables Ex Transportation (AUG F),0.1%,14:00
127,-0.9%,USD,"Thursday, October 4, 2018",,Low,USD Cap Goods Orders Nondef Ex Air (AUG F),-0.5%,14:00
128,-0.2%,USD,"Thursday, October 4, 2018",,Low,USD Cap Goods Ship Nondef Ex Air (AUG F),0.1%,14:00
129,98,USD,"Thursday, October 4, 2018",87,Low,USD EIA Working Natural Gas Implied Flow (SEP 28),46,14:30
130,98,USD,"Thursday, October 4, 2018",87,Low,USD EIA Natural Gas Storage Change (SEP 28),46,14:30
131,7.75%,MXN,"Thursday, October 4, 2018",7.75%,High,MXN Overnight Rate (OCT 4),7.75%,18:00
132,49.3,AUD,"Thursday, October 4, 2018",,Medium,AUD AiG Performance of Construction Index (SEP),51.8,22:30
133,,EUR,"Thursday, October 4, 2018",,Low,EUR ECB Vice President Luis de Guindos Speaks in Madrid,,23:00
134,2.8%,JPY,"Thursday, October 4, 2018",0.1%,Medium,JPY Overall Household Spending (YoY) (AUG),0.1%,23:30
135,$1259.7b,JPY,"Thursday, October 4, 2018",,Low,JPY Official Reserve Assets (SEP),$1259.3b,23:50
136,0.9%,JPY,"Friday, October 5, 2018",1.3%,Medium,JPY Labor Cash Earnings (YoY) (AUG),1.6%,00:00
137,-0.6%,JPY,"Friday, October 5, 2018",0.0%,Medium,JPY Real Cash Earnings (YoY) (AUG),0.5%,00:00
138,0.3%,AUD,"Friday, October 5, 2018",0.2%,Low,AUD Retail Sales (MoM) (AUG),0.0%,01:30
139,,AUD,"Friday, October 5, 2018",,Low,AUD RBA's Heath gives speech in Canberra,,01:35
140,104.4,JPY,"Friday, October 5, 2018",104.2,Medium,JPY Leading Index CI (AUG P),103.9,05:00
141,117.5,JPY,"Friday, October 5, 2018",117.4,Medium,JPY Coincident Index (AUG P),116.1,05:00
142,0.3%,EUR,"Friday, October 5, 2018",0.2%,Low,EUR German Factory Orders (MoM) (AUG),0.2%,06:00
143,3.1%,EUR,"Friday, October 5, 2018",2.9%,Medium,EUR German Factory Orders n.s.a. (YoY) (AUG),2.9%,06:00
144,0.3%,EUR,"Friday, October 5, 2018",0.2%,Low,EUR German Producer Price Index (MoM) (AUG),0.2%,06:00
145,3.1%,EUR,"Friday, October 5, 2018",2.9%,Low,EUR German Producer Price Index (YoY) (AUG),3.0%,06:00
146,739.7b,CHF,"Friday, October 5, 2018",,Low,CHF Foreign Currency Reserves (SEP),730.9b,07:00
147,0.1%,CHF,"Friday, October 5, 2018",0.2%,Low,CHF Consumer Price Index (MoM) (SEP),0.0%,07:15
148,1.0%,CHF,"Friday, October 5, 2018",1.1%,Medium,CHF Consumer Price Index (YoY) (SEP),1.2%,07:15
149,0.0%,CHF,"Friday, October 5, 2018",,Low,CHF CPI EU Harmonized (MoM) (SEP),0.0%,07:15
150,1.1%,CHF,"Friday, October 5, 2018",,Medium,CHF CPI EU Harmonized (YoY) (SEP),1.3%,07:15
151,0.4%,CHF,"Friday, October 5, 2018",0.6%,Medium,CHF CPI Core (YoY) (SEP),0.5%,07:15
152,-1.4%,GBP,"Friday, October 5, 2018",0.2%,Low,GBP Halifax House Prices (MoM) (SEP),-0.2%,07:30
153,2.5%,GBP,"Friday, October 5, 2018",3.4%,Low,GBP Halifax House Price 3Mths/Year (SEP),3.7%,07:30
154,2.0%,GBP,"Friday, October 5, 2018",,Medium,GBP Unit Labor Costs (YoY) (2Q),3.1%,08:30
155,5.9%,CAD,"Friday, October 5, 2018",5.9%,High,CAD Unemployment Rate (SEP),6.0%,12:30
156,65.4,CAD,"Friday, October 5, 2018",65.4,Low,CAD Participation Rate (SEP),65.3,12:30
157,63.3k,CAD,"Friday, October 5, 2018",25.0k,High,CAD Net Change in Employment (SEP),-51.6k,12:30
158,80.2,CAD,"Friday, October 5, 2018",20,Low,CAD Part Time Employment Change (SEP),-92,12:30
159,-16.9,CAD,"Friday, October 5, 2018",15,Medium,CAD Full Time Employment Change (SEP),40.4,12:30
160,0.53b,CAD,"Friday, October 5, 2018",-0.52b,Low,CAD International Merchandise Trade (Canadian dollar) (AUG),-0.19b,12:30
161,2.2%,CAD,"Friday, October 5, 2018",2.6%,Medium,CAD Hourly Earnings Permanent Employees (YoY) (SEP),2.6%,12:30
162,-$53.2b,USD,"Friday, October 5, 2018",-$53.6b,Medium,USD Trade Balance (AUG),-$50.0b,12:30
163,134k,USD,"Friday, October 5, 2018",185k,High,USD Change in Non-farm Payrolls (SEP),270k,12:30
164,121k,USD,"Friday, October 5, 2018",180k,Medium,USD Change in Private Payrolls (SEP),254k,12:30
165,18k,USD,"Friday, October 5, 2018",15k,Low,USD Change in Manufact. Payrolls (SEP),5k,12:30
166,87k,USD,"Friday, October 5, 2018",,Low,USD Two-Month Payroll Net Revision (SEP),,12:30
167,3.7%,USD,"Friday, October 5, 2018",3.8%,High,USD Unemployment Rate (SEP),3.9%,12:30
168,7.5%,USD,"Friday, October 5, 2018",,Low,USD Underemployment Rate (SEP),7.4%,12:30
169,62.7%,USD,"Friday, October 5, 2018",62.7%,Low,USD Labor Force Participation Rate (SEP),62.7%,12:30
170,0.3%,USD,"Friday, October 5, 2018",0.3%,Low,USD Average Hourly Earnings (MoM) (SEP),0.3%,12:30
171,2.8%,USD,"Friday, October 5, 2018",2.8%,Medium,USD Average Hourly Earnings (YoY) (SEP),2.9%,12:30
172,34.5,USD,"Friday, October 5, 2018",34.5,Medium,USD Average Weekly Hours All Employees (SEP),34.5,12:30
173,,USD,"Friday, October 5, 2018",,Low,USD Fed's Kaplan Speaks in Waco,,16:30
174,,USD,"Friday, October 5, 2018",,Low,USD Fed's Bostic Speaks at Financial Literacy Conference,,16:30
175,1052,USD,"Friday, October 5, 2018",,Medium,USD Baker Hughes U.S. Rig Count (OCT 5),1054,17:00
176,$15.0b,USD,"Friday, October 5, 2018",,Medium,USD Consumer Credit (AUG),$16.64b,19:00
177,54.9,CNY,"Sunday, September 30, 2018",54.0,Medium,CNY Non-manufacturing PMI (SEP),54.2,01:00
178,103.7,EUR,"Monday, September 24, 2018",103.2,Medium,EUR German IFO Business Climate (SEP),103.8,08:00
179,101.0,EUR,"Monday, September 24, 2018",100.5,Medium,EUR German IFO Expectations (SEP),101.2,08:00
180,106.4,EUR,"Monday, September 24, 2018",106,Medium,EUR German IFO Current Assessment (SEP),106.4,08:00
181,577.6b,CHF,"Monday, September 24, 2018",,Low,CHF Total Sight Deposits CHF (SEP 21),577.1b,08:00
182,470.8b,CHF,"Monday, September 24, 2018",,Low,CHF Domestic Sight Deposits CHF (SEP 21),474.7b,08:00
183,-1,GBP,"Monday, September 24, 2018",4,Low,GBP CBI Trends Total Orders (SEP),7,10:00
184,13,GBP,"Monday, September 24, 2018",,Low,GBP CBI Trends Selling Prices (SEP),15,10:00
185,1.5%,CAD,"Monday, September 24, 2018",0.5%,Low,CAD Wholesale Trade Sales (MoM) (JUL),-0.9%,12:30
186,0.18,USD,"Monday, September 24, 2018",0.2,Low,USD Chicago Fed Nat Activity Index (AUG),0.18,12:30
187,,EUR,"Monday, September 24, 2018",,High,EUR ECB's Draghi Speaks at ECON Committee Meeting in Brussels,,13:00
188,0.19%,MXN,"Monday, September 24, 2018",0.26%,Medium,MXN Bi-Weekly Core CPI (SEP 15),0.09%,13:00
189,0.22%,MXN,"Monday, September 24, 2018",0.32%,Medium,MXN Bi-Weekly CPI (SEP 15),0.30%,13:00
190,4.88%,MXN,"Monday, September 24, 2018",4.99%,Medium,MXN Bi-Weekly CPI (YoY) (SEP 15),5.0%,13:00
191,28.1,USD,"Monday, September 24, 2018",31,Low,USD Dallas Fed Manufacturing Activity (SEP),30.9,14:30
192,,USD,"Monday, September 24, 2018",,Low,USD U.S. to Sell 3-Month Bills,,15:30
193,,USD,"Monday, September 24, 2018",,Low,USD U.S. to Sell 6-Month Bills,,15:30
194,,USD,"Monday, September 24, 2018",,Low,USD U.S. to Sell 2-Year Notes,,17:00
195,117.2,AUD,"Monday, September 24, 2018",,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (SEP 23),118,23:30
196,,JPY,"Monday, September 24, 2018",,Medium,JPY BOJ Minutes of Policy Meeting (SEP 19),,23:50
197,1.3%,JPY,"Monday, September 24, 2018",1.1%,Low,JPY Corporate Service Price (YoY) (AUG),1.1%,23:50
198,,JPY,"Tuesday, September 25, 2018",,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,01:10
199,0.1%,JPY,"Tuesday, September 25, 2018",,Low,JPY Supermarket Sales (YoY) (AUG),1.5%,05:00
200,103.9,JPY,"Tuesday, September 25, 2018",,Low,JPY Leading Index CI (JUL F),103.5,05:00
201,116.1,JPY,"Tuesday, September 25, 2018",,Low,JPY Coincident Index (JUL F),116.3,05:00
202,,JPY,"Tuesday, September 25, 2018",,High,JPY BOJ Kuroda speaks in Osaka,,05:30
203,0.3%,EUR,"Tuesday, September 25, 2018",,Low,EUR German Wholesale Price Index (MoM) (AUG),0.0%,06:00
204,3.8%,EUR,"Tuesday, September 25, 2018",,Low,EUR German Wholesale Price Index (YoY) (AUG),3.5%,06:00
205,,EUR,"Tuesday, September 25, 2018",,Low,EUR ECB's Praet Speaks at FT Event in London,,08:10
206,,GBP,"Tuesday, September 25, 2018",,Low,GBP BOE's Vlieghe speaks in London,,08:40
207,,EUR,"Tuesday, September 25, 2018",,Low,EUR ECB's Praet Speaks at OMFIF in London,,10:45
208,,EUR,"Tuesday, September 25, 2018",,Low,EUR ECB's Praet Speaks at InTouch Capital's Event in London,,10:45
209,0.2%,USD,"Tuesday, September 25, 2018",0.3%,Medium,USD House Price Index (MoM) (JUL),0.3%,13:00
210,3.32,MXN,"Tuesday, September 25, 2018",2.6%,Medium,MXN Economic Activity IGAE (YoY) (JUL),1.15%,13:00
211,0.09%,USD,"Tuesday, September 25, 2018",0.1%,Medium,USD S&P CoreLogic CS 20-City (MoM) SA (JUL),0.16%,13:00
212,5.92%,USD,"Tuesday, September 25, 2018",6.2%,Medium,USD S&P/Case-Shiller Composite-20 (YoY) (JUL),6.36%,13:00
213,213.76,USD,"Tuesday, September 25, 2018",,Low,USD S&P/Case-Shiller 20-City Index n.s.a (JUL),213.17,13:00
214,205.35,USD,"Tuesday, September 25, 2018",,Low,USD S&P/Case-Shiller US Home Price Index (JUL),204.44,13:00
215,6.00%,USD,"Tuesday, September 25, 2018",,Medium,USD S&P/Case-Shiller US Home Price Index (YoY) (JUL),6.2%,13:00
216,29,USD,"Tuesday, September 25, 2018",21,Low,USD Richmond Fed Manufact. Index (SEP),24,14:00
217,138.4,USD,"Tuesday, September 25, 2018",132.1,High,USD Consumer Confidence Index (SEP),134.7,14:00
218,173.1,USD,"Tuesday, September 25, 2018",,Medium,USD Conf. Board Present Situation (SEP),172.8,14:00
219,115.3,USD,"Tuesday, September 25, 2018",,Low,USD Conf. Board Expectations (SEP),109.3,14:00
220,,EUR,"Tuesday, September 25, 2018",,Low,EUR ECB's Coeure Chairs Session at 3rd ECB Annual Research Conference,,14:40
221,,USD,"Tuesday, September 25, 2018",,Low,USD U.S. to Sell 2-Year Floating Rate Notes Reopening,,15:30
222,,USD,"Tuesday, September 25, 2018",,Low,USD U.S. to Sell 4-Week Bills,,15:30
223,,EUR,"Tuesday, September 25, 2018",,Low,EUR ECB's Coeure Speaks in Frankfurt,,16:00
224,,USD,"Tuesday, September 25, 2018",,Low,USD U.S. to Sell 5-Year Notes,,17:00
225,-1484m,NZD,"Tuesday, September 25, 2018",-925m,Medium,NZD Trade Balance (AUG),-196m,22:45
226,4.05b,NZD,"Tuesday, September 25, 2018",4.40b,Low,NZD Exports (AUG),5.34b,22:45
227,5.54b,NZD,"Tuesday, September 25, 2018",5.50b,Low,NZD Imports (AUG),5.54b,22:45
228,-4814m,NZD,"Tuesday, September 25, 2018",-4620m,Medium,NZD Trade Balance 12 Mth YTD (AUG),-4504m,22:45
229,7.8,NZD,"Wednesday, September 26, 2018",,Medium,NZD ANZ Activity Outlook (SEP),3.8,01:00
230,-38.3,NZD,"Wednesday, September 26, 2018",,Low,NZD ANZ Business Confidence (SEP),-50.3,01:00
231,,JPY,"Wednesday, September 26, 2018",,Low,JPY Machine Tool Orders (YoY) (AUG F),5.3%,06:00
232,-30.8,CHF,"Wednesday, September 26, 2018",,Low,CHF Credit Suisse Survey Expectations (SEP),-14.3,08:00
233,39402,GBP,"Wednesday, September 26, 2018",39700,Medium,GBP BBA Loans for House Purchase (AUG),39619,08:30
234,23,GBP,"Wednesday, September 26, 2018",17,Low,GBP CBI Reported Sales (SEP),29,10:00
235,26,GBP,"Wednesday, September 26, 2018",,Low,GBP CBI Total Dist. Reported Sales (SEP),24,10:00
