actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
0.86M,USD,2012-12-19 08:30:00,0.87M,accurate,Medium,Housing Starts,0.89M,accurate,51,2012-12-19 13:30:00+00:00,-1.15,2012,4,12,Wednesday
-1.0M,USD,2012-12-19 10:30:00,-0.9M,accurate,Medium,Crude Oil Inventories,0.8M,accurate,51,2012-12-19 15:30:00+00:00,-11.11,2012,4,12,Wednesday
361K,USD,2012-12-20 08:30:00,358K,accurate,High,Unemployment Claims,344K,accurate,51,2012-12-20 13:30:00+00:00,0.84,2012,4,12,Thursday
3.1%,USD,2012-12-20 08:30:00,2.8%,better,Medium,Final GDP q/q,2.7%,accurate,51,2012-12-20 13:30:00+00:00,10.71,2012,4,12,Thursday
2.7%,USD,2012-12-20 08:30:00,2.7%,accurate,Low,Final GDP Price Index q/q,2.7%,accurate,51,2012-12-20 13:30:00+00:00,0.0,2012,4,12,Thursday
5.04M,USD,2012-12-20 10:00:00,4.88M,better,High,Existing Home Sales,4.76M,worse,51,2012-12-20 15:00:00+00:00,3.28,2012,4,12,Thursday
8.1,USD,2012-12-20 10:00:00,-2.2,better,High,Philly Fed Manufacturing Index,-10.7,accurate,51,2012-12-20 15:00:00+00:00,468.18,2012,4,12,Thursday
-0.2%,USD,2012-12-20 10:00:00,-0.2%,accurate,Low,CB Leading Index m/m,0.3%,better,51,2012-12-20 15:00:00+00:00,0.0,2012,4,12,Thursday
0.5%,USD,2012-12-20 10:00:00,0.2%,better,Low,HPI m/m,0.0%,worse,51,2012-12-20 15:00:00+00:00,150.0,2012,4,12,Thursday
-82B,USD,2012-12-20 10:30:00,-73B,accurate,Low,Natural Gas Storage,2B,accurate,51,2012-12-20 15:30:00+00:00,-12.33,2012,4,12,Thursday
1.6%,USD,2012-12-21 08:30:00,-0.2%,better,High,Core Durable Goods Orders m/m,1.9%,better,51,2012-12-21 13:30:00+00:00,900.0,2012,4,12,Friday
0.0%,USD,2012-12-21 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.1%,accurate,51,2012-12-21 13:30:00+00:00,-100.0,2012,4,12,Friday
0.7%,USD,2012-12-21 08:30:00,0.2%,better,Medium,Durable Goods Orders m/m,1.1%,better,51,2012-12-21 13:30:00+00:00,250.0,2012,4,12,Friday
0.4%,USD,2012-12-21 08:30:00,0.4%,accurate,Medium,Personal Spending m/m,-0.1%,better,51,2012-12-21 13:30:00+00:00,0.0,2012,4,12,Friday
0.6%,USD,2012-12-21 08:30:00,0.3%,better,Low,Personal Income m/m,0.1%,better,51,2012-12-21 13:30:00+00:00,100.0,2012,4,12,Friday
72.9,USD,2012-12-21 09:55:00,74.9,worse,Medium,Revised UoM Consumer Sentiment,74.5,accurate,51,2012-12-21 14:55:00+00:00,-2.67,2012,4,12,Friday
87.5,USD,2012-12-11 07:30:00,92.5,worse,Low,NFIB Small Business Index,93.1,accurate,50,2012-12-11 12:30:00+00:00,-5.41,2012,4,12,Tuesday
-42.2B,USD,2012-12-11 08:30:00,-42.7B,accurate,High,Trade Balance,-40.3B,better,50,2012-12-11 13:30:00+00:00,1.17,2012,4,12,Tuesday
3.68M,USD,2012-12-11 10:00:00,3.62M,accurate,Medium,JOLTS Job Openings,3.55M,accurate,50,2012-12-11 15:00:00+00:00,1.66,2012,4,12,Tuesday
0.6%,USD,2012-12-11 10:00:00,0.5%,worse,Low,Final Wholesale Inventories m/m,1.1%,accurate,50,2012-12-11 15:00:00+00:00,20.0,2012,4,12,Tuesday
45.1,USD,2012-12-11 10:00:00,51.6,worse,Low,IBD/TIPP Economic Optimism,48.6,accurate,50,2012-12-11 15:00:00+00:00,-12.6,2012,4,12,Tuesday
-0.9%,USD,2012-12-12 08:30:00,-0.4%,worse,Medium,Import Prices m/m,0.3%,worse,50,2012-12-12 13:30:00+00:00,-125.0,2012,4,12,Wednesday
0.8M,USD,2012-12-12 10:30:00,-2.6M,accurate,Medium,Crude Oil Inventories,-2.4M,accurate,50,2012-12-12 15:30:00+00:00,130.77,2012,4,12,Wednesday
<0.25%,USD,2012-12-12 12:30:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,50,2012-12-12 17:30:00+00:00,0.0,2012,4,12,Wednesday
-172.1B,USD,2012-12-12 13:27:00,-160.0B,worse,Medium,Federal Budget Balance,-120.0B,accurate,50,2012-12-12 18:27:00+00:00,-7.56,2012,4,12,Wednesday
0.0%,USD,2012-12-13 08:30:00,0.0%,accurate,High,Core Retail Sales m/m,0.0%,accurate,50,2012-12-13 13:30:00+00:00,0.0,2012,4,12,Thursday
-0.8%,USD,2012-12-13 08:30:00,-0.5%,worse,High,PPI m/m,-0.2%,accurate,50,2012-12-13 13:30:00+00:00,-60.0,2012,4,12,Thursday
0.3%,USD,2012-12-13 08:30:00,0.5%,worse,High,Retail Sales m/m,-0.3%,accurate,50,2012-12-13 13:30:00+00:00,-40.0,2012,4,12,Thursday
343K,USD,2012-12-13 08:30:00,368K,better,High,Unemployment Claims,372K,accurate,50,2012-12-13 13:30:00+00:00,-6.79,2012,4,12,Thursday
0.1%,USD,2012-12-13 08:30:00,0.2%,worse,Medium,Core PPI m/m,-0.2%,accurate,50,2012-12-13 13:30:00+00:00,-50.0,2012,4,12,Thursday
0.4%,USD,2012-12-13 10:00:00,0.4%,accurate,Medium,Business Inventories m/m,0.7%,accurate,50,2012-12-13 15:00:00+00:00,0.0,2012,4,12,Thursday
2B,USD,2012-12-13 10:30:00,-4B,accurate,Low,Natural Gas Storage,-73B,accurate,50,2012-12-13 15:30:00+00:00,150.0,2012,4,12,Thursday
0.1%,USD,2012-12-14 08:30:00,0.2%,worse,High,Core CPI m/m,0.2%,accurate,50,2012-12-14 13:30:00+00:00,-50.0,2012,4,12,Friday
-0.3%,USD,2012-12-14 08:30:00,-0.2%,worse,Medium,CPI m/m,0.1%,accurate,50,2012-12-14 13:30:00+00:00,-50.0,2012,4,12,Friday
54.2,USD,2012-12-14 09:00:00,52.6,better,Medium,Flash Manufacturing PMI,52.8,better,50,2012-12-14 14:00:00+00:00,3.04,2012,4,12,Friday
78.4%,USD,2012-12-14 09:15:00,77.9%,better,Medium,Capacity Utilization Rate,77.7%,accurate,50,2012-12-14 14:15:00+00:00,0.64,2012,4,12,Friday
1.1%,USD,2012-12-14 09:15:00,0.3%,better,Medium,Industrial Production m/m,-0.7%,worse,50,2012-12-14 14:15:00+00:00,266.67,2012,4,12,Friday
52.8,USD,2012-12-03 09:00:00,51.7,better,Low,Final Manufacturing PMI,52.4,accurate,49,2012-12-03 14:00:00+00:00,2.13,2012,4,12,Monday
49.5,USD,2012-12-03 10:00:00,51.5,worse,High,ISM Manufacturing PMI,51.7,accurate,49,2012-12-03 15:00:00+00:00,-3.88,2012,4,12,Monday
1.4%,USD,2012-12-03 10:00:00,0.5%,better,Low,Construction Spending m/m,0.5%,accurate,49,2012-12-03 15:00:00+00:00,180.0,2012,4,12,Monday
52.5,USD,2012-12-03 10:00:00,54.3,worse,Low,ISM Manufacturing Prices,55.0,accurate,49,2012-12-03 15:00:00+00:00,-3.31,2012,4,12,Monday
15.5M,USD,2012-12-03 00:00:00,14.8M,better,Low,Total Vehicle Sales,14.3M,accurate,49,2012-12-03 05:00:00+00:00,4.73,2012,4,12,Monday
118K,USD,2012-12-05 08:15:00,129K,worse,High,ADP Non-Farm Employment Change,157K,accurate,49,2012-12-05 13:15:00+00:00,-8.53,2012,4,12,Wednesday
2.9%,USD,2012-12-05 08:30:00,2.7%,worse,Medium,Revised Nonfarm Productivity q/q,1.9%,accurate,49,2012-12-05 13:30:00+00:00,7.41,2012,4,12,Wednesday
-1.9%,USD,2012-12-05 08:30:00,-0.9%,worse,Low,Revised Unit Labor Costs q/q,-0.1%,accurate,49,2012-12-05 13:30:00+00:00,-111.11,2012,4,12,Wednesday
54.7,USD,2012-12-05 10:00:00,53.6,better,High,ISM Non-Manufacturing PMI,54.2,accurate,49,2012-12-05 15:00:00+00:00,2.05,2012,4,12,Wednesday
0.8%,USD,2012-12-05 10:00:00,0.0%,better,Medium,Factory Orders m/m,4.5%,worse,49,2012-12-05 15:00:00+00:00,800.0,2012,4,12,Wednesday
-2.4M,USD,2012-12-05 10:30:00,-0.4M,accurate,Medium,Crude Oil Inventories,-0.3M,accurate,49,2012-12-05 15:30:00+00:00,-500.0,2012,4,12,Wednesday
370K,USD,2012-12-06 08:30:00,378K,better,High,Unemployment Claims,395K,accurate,49,2012-12-06 13:30:00+00:00,-2.12,2012,4,12,Thursday
-73B,USD,2012-12-06 10:30:00,-70B,accurate,Low,Natural Gas Storage,4B,accurate,49,2012-12-06 15:30:00+00:00,-4.29,2012,4,12,Thursday
146K,USD,2012-12-07 08:30:00,89K,better,High,Non-Farm Employment Change,138K,worse,49,2012-12-07 13:30:00+00:00,64.04,2012,4,12,Friday
7.7%,USD,2012-12-07 08:30:00,7.9%,better,High,Unemployment Rate,7.9%,accurate,49,2012-12-07 13:30:00+00:00,-2.53,2012,4,12,Friday
0.2%,USD,2012-12-07 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,0.0%,accurate,49,2012-12-07 13:30:00+00:00,0.0,2012,4,12,Friday
74.5,USD,2012-12-07 09:55:00,82.4,worse,High,Prelim UoM Consumer Sentiment,82.7,worse,49,2012-12-07 14:55:00+00:00,-9.59,2012,4,12,Friday
14.2B,USD,2012-12-07 15:00:00,10.4B,better,Low,Consumer Credit m/m,12.2B,better,49,2012-12-07 20:00:00+00:00,36.54,2012,4,12,Friday
1.5%,USD,2012-11-27 08:30:00,-0.6%,better,High,Core Durable Goods Orders m/m,1.7%,worse,48,2012-11-27 13:30:00+00:00,350.0,2012,4,11,Tuesday
0.0%,USD,2012-11-27 08:30:00,-0.6%,better,Medium,Durable Goods Orders m/m,9.2%,worse,48,2012-11-27 13:30:00+00:00,100.0,2012,4,11,Tuesday
3.0%,USD,2012-11-27 09:00:00,2.9%,accurate,Medium,S&P/CS Composite-20 HPI y/y,2.0%,accurate,48,2012-11-27 14:00:00+00:00,3.45,2012,4,11,Tuesday
9,USD,2012-11-27 09:59:00,-2,better,Low,Richmond Manufacturing Index,-7,accurate,48,2012-11-27 14:59:00+00:00,550.0,2012,4,11,Tuesday
73.7,USD,2012-11-27 10:00:00,73.1,better,High,CB Consumer Confidence,73.1,better,48,2012-11-27 15:00:00+00:00,0.82,2012,4,11,Tuesday
0.2%,USD,2012-11-27 10:00:00,0.4%,worse,Low,HPI m/m,0.5%,worse,48,2012-11-27 15:00:00+00:00,-50.0,2012,4,11,Tuesday
368K,USD,2012-11-28 10:00:00,387K,worse,High,New Home Sales,369K,worse,48,2012-11-28 15:00:00+00:00,-4.91,2012,4,11,Wednesday
-0.3M,USD,2012-11-28 10:30:00,0.5M,accurate,Medium,Crude Oil Inventories,-1.5M,accurate,48,2012-11-28 15:30:00+00:00,-160.0,2012,4,11,Wednesday
2.7%,USD,2012-11-29 08:30:00,2.8%,worse,High,Prelim GDP q/q,2.0%,accurate,48,2012-11-29 13:30:00+00:00,-3.57,2012,4,11,Thursday
393K,USD,2012-11-29 08:30:00,392K,accurate,High,Unemployment Claims,416K,worse,48,2012-11-29 13:30:00+00:00,0.26,2012,4,11,Thursday
2.7%,USD,2012-11-29 08:30:00,2.8%,accurate,Low,Prelim GDP Price Index q/q,2.8%,accurate,48,2012-11-29 13:30:00+00:00,-3.57,2012,4,11,Thursday
5.2%,USD,2012-11-29 10:00:00,0.9%,better,High,Pending Home Sales m/m,0.4%,accurate,48,2012-11-29 15:00:00+00:00,477.78,2012,4,11,Thursday
4B,USD,2012-11-29 10:30:00,-5B,accurate,Low,Natural Gas Storage,-38B,accurate,48,2012-11-29 15:30:00+00:00,180.0,2012,4,11,Thursday
0.1%,USD,2012-11-30 08:30:00,0.2%,worse,Medium,Core PCE Price Index m/m,0.1%,accurate,48,2012-11-30 13:30:00+00:00,-50.0,2012,4,11,Friday
-0.2%,USD,2012-11-30 08:30:00,0.1%,worse,Medium,Personal Spending m/m,0.8%,accurate,48,2012-11-30 13:30:00+00:00,-300.0,2012,4,11,Friday
0.0%,USD,2012-11-30 08:30:00,0.2%,worse,Low,Personal Income m/m,0.4%,accurate,48,2012-11-30 13:30:00+00:00,-100.0,2012,4,11,Friday
50.4,USD,2012-11-30 09:45:00,50.7,accurate,Medium,Chicago PMI,49.9,accurate,48,2012-11-30 14:45:00+00:00,-0.59,2012,4,11,Friday
4.79M,USD,2012-11-19 10:00:00,4.76M,better,High,Existing Home Sales,4.69M,worse,47,2012-11-19 15:00:00+00:00,0.63,2012,4,11,Monday
46,USD,2012-11-19 10:00:00,41,better,Low,NAHB Housing Market Index,41,accurate,47,2012-11-19 15:00:00+00:00,12.2,2012,4,11,Monday
0.87M,USD,2012-11-20 08:30:00,0.87M,accurate,High,Building Permits,0.89M,accurate,47,2012-11-20 13:30:00+00:00,0.0,2012,4,11,Tuesday
0.89M,USD,2012-11-20 08:30:00,0.84M,better,Medium,Housing Starts,0.86M,accurate,47,2012-11-20 13:30:00+00:00,5.95,2012,4,11,Tuesday
410K,USD,2012-11-21 08:30:00,415K,better,High,Unemployment Claims,451K,worse,47,2012-11-21 13:30:00+00:00,-1.2,2012,4,11,Wednesday
52.4,USD,2012-11-21 09:00:00,51.2,better,Medium,Flash Manufacturing PMI,51.0,accurate,47,2012-11-21 14:00:00+00:00,2.34,2012,4,11,Wednesday
82.7,USD,2012-11-21 09:55:00,84.3,worse,Medium,Revised UoM Consumer Sentiment,84.9,accurate,47,2012-11-21 14:55:00+00:00,-1.9,2012,4,11,Wednesday
0.2%,USD,2012-11-21 10:00:00,0.2%,accurate,Low,CB Leading Index m/m,0.5%,worse,47,2012-11-21 15:00:00+00:00,0.0,2012,4,11,Wednesday
-1.5M,USD,2012-11-21 10:30:00,0.8M,accurate,Medium,Crude Oil Inventories,1.1M,accurate,47,2012-11-21 15:30:00+00:00,-287.5,2012,4,11,Wednesday
-38B,USD,2012-11-21 12:00:00,-27B,accurate,Low,Natural Gas Storage,-18B,accurate,47,2012-11-21 17:00:00+00:00,-40.74,2012,4,11,Wednesday
93.1,USD,2012-11-13 07:30:00,93.0,accurate,Low,NFIB Small Business Index,92.8,accurate,46,2012-11-13 12:30:00+00:00,0.11,2012,4,11,Tuesday
48.6,USD,2012-11-13 10:00:00,53.8,worse,Low,IBD/TIPP Economic Optimism,54.0,accurate,46,2012-11-13 15:00:00+00:00,-9.67,2012,4,11,Tuesday
-120.0B,USD,2012-11-13 14:00:00,-113.5B,worse,Medium,Federal Budget Balance,75.2B,accurate,46,2012-11-13 19:00:00+00:00,-5.73,2012,4,11,Tuesday
0.0%,USD,2012-11-14 08:30:00,0.2%,worse,High,Core Retail Sales m/m,1.2%,better,46,2012-11-14 13:30:00+00:00,-100.0,2012,4,11,Wednesday
-0.2%,USD,2012-11-14 08:30:00,0.2%,worse,High,PPI m/m,1.1%,accurate,46,2012-11-14 13:30:00+00:00,-200.0,2012,4,11,Wednesday
-0.3%,USD,2012-11-14 08:30:00,-0.2%,worse,High,Retail Sales m/m,1.3%,better,46,2012-11-14 13:30:00+00:00,-50.0,2012,4,11,Wednesday
-0.2%,USD,2012-11-14 08:30:00,0.1%,worse,Medium,Core PPI m/m,0.0%,accurate,46,2012-11-14 13:30:00+00:00,-300.0,2012,4,11,Wednesday
0.7%,USD,2012-11-14 10:00:00,0.5%,worse,Medium,Business Inventories m/m,0.6%,accurate,46,2012-11-14 15:00:00+00:00,40.0,2012,4,11,Wednesday
0.2%,USD,2012-11-15 08:30:00,0.1%,better,High,Core CPI m/m,0.1%,accurate,46,2012-11-15 13:30:00+00:00,100.0,2012,4,11,Thursday
439K,USD,2012-11-15 08:30:00,372K,worse,High,Unemployment Claims,361K,worse,46,2012-11-15 13:30:00+00:00,18.01,2012,4,11,Thursday
0.1%,USD,2012-11-15 08:30:00,0.1%,accurate,Medium,CPI m/m,0.6%,accurate,46,2012-11-15 13:30:00+00:00,0.0,2012,4,11,Thursday
-5.2,USD,2012-11-15 08:30:00,-7.2,better,Medium,Empire State Manufacturing Index,-6.2,accurate,46,2012-11-15 13:30:00+00:00,27.78,2012,4,11,Thursday
-10.7,USD,2012-11-15 10:00:00,1.1,worse,High,Philly Fed Manufacturing Index,5.7,accurate,46,2012-11-15 15:00:00+00:00,-1072.73,2012,4,11,Thursday
-18B,USD,2012-11-15 10:30:00,-13B,accurate,Low,Natural Gas Storage,21B,accurate,46,2012-11-15 15:30:00+00:00,-38.46,2012,4,11,Thursday
1.1M,USD,2012-11-15 11:00:00,2.5M,accurate,Medium,Crude Oil Inventories,1.8M,accurate,46,2012-11-15 16:00:00+00:00,-56.0,2012,4,11,Thursday
3.3B,USD,2012-11-16 09:00:00,75.0B,worse,Medium,TIC Long-Term Purchases,90.3B,accurate,46,2012-11-16 14:00:00+00:00,-95.6,2012,4,11,Friday
77.8%,USD,2012-11-16 09:15:00,78.4%,worse,Medium,Capacity Utilization Rate,78.2%,accurate,46,2012-11-16 14:15:00+00:00,-0.77,2012,4,11,Friday
-0.4%,USD,2012-11-16 09:15:00,0.2%,worse,Medium,Industrial Production m/m,0.2%,worse,46,2012-11-16 14:15:00+00:00,-300.0,2012,4,11,Friday
54.2,USD,2012-11-05 10:00:00,54.6,worse,High,ISM Non-Manufacturing PMI,55.1,accurate,45,2012-11-05 15:00:00+00:00,-0.73,2012,4,11,Monday
3.56M,USD,2012-11-06 10:00:00,3.65M,worse,Medium,JOLTS Job Openings,3.66M,better,45,2012-11-06 15:00:00+00:00,-2.47,2012,4,11,Tuesday
1.8M,USD,2012-11-07 10:30:00,1.8M,accurate,Medium,Crude Oil Inventories,-2.0M,accurate,45,2012-11-07 15:30:00+00:00,0.0,2012,4,11,Wednesday
11.4B,USD,2012-11-07 15:00:00,10.1B,better,Low,Consumer Credit m/m,18.4B,better,45,2012-11-07 20:00:00+00:00,12.87,2012,4,11,Wednesday
-41.5B,USD,2012-11-08 08:30:00,-44.9B,better,High,Trade Balance,-43.8B,accurate,45,2012-11-08 13:30:00+00:00,7.57,2012,4,11,Thursday
355K,USD,2012-11-08 08:30:00,367K,better,High,Unemployment Claims,363K,accurate,45,2012-11-08 13:30:00+00:00,-3.27,2012,4,11,Thursday
21B,USD,2012-11-08 10:30:00,27B,accurate,Low,Natural Gas Storage,65B,accurate,45,2012-11-08 15:30:00+00:00,-22.22,2012,4,11,Thursday
0.5%,USD,2012-11-09 08:30:00,0.0%,better,Medium,Import Prices m/m,1.1%,accurate,45,2012-11-09 13:30:00+00:00,500.0,2012,4,11,Friday
84.9,USD,2012-11-09 09:55:00,82.6,better,High,Prelim UoM Consumer Sentiment,82.6,accurate,45,2012-11-09 14:55:00+00:00,2.78,2012,4,11,Friday
1.1%,USD,2012-11-09 10:00:00,0.4%,worse,Low,Final Wholesale Inventories m/m,0.8%,worse,45,2012-11-09 15:00:00+00:00,175.0,2012,4,11,Friday
0.8%,USD,2012-10-29 08:30:00,0.6%,better,Medium,Personal Spending m/m,0.5%,accurate,44,2012-10-29 12:30:00+00:00,33.33,2012,4,10,Monday
0.4%,USD,2012-10-29 08:30:00,0.5%,worse,Low,Personal Income m/m,0.1%,accurate,44,2012-10-29 12:30:00+00:00,-20.0,2012,4,10,Monday
0.1%,USD,2012-10-29 08:32:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,accurate,44,2012-10-29 12:32:00+00:00,0.0,2012,4,10,Monday
2.0%,USD,2012-10-30 09:00:00,1.9%,accurate,Medium,S&P/CS Composite-20 HPI y/y,1.2%,accurate,44,2012-10-30 13:00:00+00:00,5.26,2012,4,10,Tuesday
0.4%,USD,2012-10-31 08:30:00,0.5%,worse,Medium,Employment Cost Index q/q,0.5%,accurate,44,2012-10-31 12:30:00+00:00,-20.0,2012,4,10,Wednesday
49.9,USD,2012-10-31 09:45:00,51.0,worse,Medium,Chicago PMI,49.7,accurate,44,2012-10-31 13:45:00+00:00,-2.16,2012,4,10,Wednesday
158K,USD,2012-11-01 08:15:00,138K,better,High,ADP Non-Farm Employment Change,114K,accurate,44,2012-11-01 12:15:00+00:00,14.49,2012,4,11,Thursday
363K,USD,2012-11-01 08:30:00,371K,better,High,Unemployment Claims,372K,accurate,44,2012-11-01 12:30:00+00:00,-2.16,2012,4,11,Thursday
1.9%,USD,2012-11-01 08:30:00,1.3%,worse,Medium,Prelim Nonfarm Productivity q/q,2.2%,worse,44,2012-11-01 12:30:00+00:00,46.15,2012,4,11,Thursday
-0.1%,USD,2012-11-01 08:30:00,1.3%,worse,Medium,Prelim Unit Labor Costs q/q,1.5%,worse,44,2012-11-01 12:30:00+00:00,-107.69,2012,4,11,Thursday
51.0,USD,2012-11-01 09:00:00,51.5,worse,Low,Final Manufacturing PMI,51.3,accurate,44,2012-11-01 13:00:00+00:00,-0.97,2012,4,11,Thursday
72.2,USD,2012-11-01 10:00:00,72.4,accurate,High,CB Consumer Confidence,68.4,worse,44,2012-11-01 14:00:00+00:00,-0.28,2012,4,11,Thursday
51.7,USD,2012-11-01 10:00:00,51.2,better,High,ISM Manufacturing PMI,51.5,accurate,44,2012-11-01 14:00:00+00:00,0.98,2012,4,11,Thursday
0.6%,USD,2012-11-01 10:00:00,0.7%,accurate,Low,Construction Spending m/m,-0.1%,better,44,2012-11-01 14:00:00+00:00,-14.29,2012,4,11,Thursday
55.0,USD,2012-11-01 10:00:00,56.2,worse,Low,ISM Manufacturing Prices,58.0,accurate,44,2012-11-01 14:00:00+00:00,-2.14,2012,4,11,Thursday
65B,USD,2012-11-01 10:30:00,68B,accurate,Low,Natural Gas Storage,67B,accurate,44,2012-11-01 14:30:00+00:00,-4.41,2012,4,11,Thursday
-2.0M,USD,2012-11-01 11:00:00,1.9M,accurate,Medium,Crude Oil Inventories,5.9M,accurate,44,2012-11-01 15:00:00+00:00,-205.26,2012,4,11,Thursday
14.3M,USD,2012-11-01 01:00:00,15.0M,worse,Low,Total Vehicle Sales,15.0M,accurate,44,2012-11-01 05:00:00+00:00,-4.67,2012,4,11,Thursday
171K,USD,2012-11-02 08:30:00,123K,better,High,Non-Farm Employment Change,148K,better,44,2012-11-02 12:30:00+00:00,39.02,2012,4,11,Friday
7.9%,USD,2012-11-02 08:30:00,7.9%,accurate,High,Unemployment Rate,7.8%,accurate,44,2012-11-02 12:30:00+00:00,0.0,2012,4,11,Friday
0.0%,USD,2012-11-02 08:30:00,0.2%,worse,Medium,Average Hourly Earnings m/m,0.3%,accurate,44,2012-11-02 12:30:00+00:00,-100.0,2012,4,11,Friday
4.8%,USD,2012-11-02 10:00:00,4.7%,accurate,Medium,Factory Orders m/m,-5.1%,accurate,44,2012-11-02 14:00:00+00:00,2.13,2012,4,11,Friday
-7,USD,2012-10-23 09:59:00,3,worse,Low,Richmond Manufacturing Index,4,accurate,43,2012-10-23 13:59:00+00:00,-333.33,2012,4,10,Tuesday
0.7%,USD,2012-10-23 20:25:00,0.4%,better,Low,HPI m/m,0.1%,worse,43,2012-10-24 00:25:00+00:00,75.0,2012,4,10,Tuesday
51.3,USD,2012-10-24 09:00:00,51.6,accurate,Medium,Flash Manufacturing PMI,51.1,worse,43,2012-10-24 13:00:00+00:00,-0.58,2012,4,10,Wednesday
389K,USD,2012-10-24 10:00:00,386K,better,High,New Home Sales,368K,worse,43,2012-10-24 14:00:00+00:00,0.78,2012,4,10,Wednesday
5.9M,USD,2012-10-24 10:30:00,2.0M,accurate,Medium,Crude Oil Inventories,2.9M,accurate,43,2012-10-24 14:30:00+00:00,195.0,2012,4,10,Wednesday
<0.25%,USD,2012-10-24 14:15:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,43,2012-10-24 18:15:00+00:00,0.0,2012,4,10,Wednesday
2.0%,USD,2012-10-25 08:30:00,0.8%,better,High,Core Durable Goods Orders m/m,-2.1%,worse,43,2012-10-25 12:30:00+00:00,150.0,2012,4,10,Thursday
369K,USD,2012-10-25 08:30:00,371K,accurate,High,Unemployment Claims,392K,accurate,43,2012-10-25 12:30:00+00:00,-0.54,2012,4,10,Thursday
9.9%,USD,2012-10-25 08:30:00,7.1%,better,Medium,Durable Goods Orders m/m,-13.1%,accurate,43,2012-10-25 12:30:00+00:00,39.44,2012,4,10,Thursday
0.3%,USD,2012-10-25 10:00:00,2.3%,worse,High,Pending Home Sales m/m,-2.6%,accurate,43,2012-10-25 14:00:00+00:00,-86.96,2012,4,10,Thursday
67B,USD,2012-10-25 10:30:00,66B,accurate,Low,Natural Gas Storage,51B,accurate,43,2012-10-25 14:30:00+00:00,1.52,2012,4,10,Thursday
2.0%,USD,2012-10-26 08:30:00,1.9%,better,High,Advance GDP q/q,1.3%,worse,43,2012-10-26 12:30:00+00:00,5.26,2012,4,10,Friday
2.8%,USD,2012-10-26 08:30:00,2.0%,better,Medium,Advance GDP Price Index q/q,1.6%,accurate,43,2012-10-26 12:30:00+00:00,40.0,2012,4,10,Friday
82.6,USD,2012-10-26 09:55:00,82.7,accurate,Medium,Revised UoM Consumer Sentiment,83.1,accurate,43,2012-10-26 13:55:00+00:00,-0.12,2012,4,10,Friday
