,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
55,-3.3%,GBP,2012-12-16 18:22:00,,,Medium,Rightmove HPI m/m,-2.6%,,51
56,,AUD,2012-12-16 19:00:00,,,Medium,RBA Assist Gov Debelle Speaks,,,51
57,2.45B,EUR,2012-12-17 04:00:00,0.25B,better,Low,Italian Trade Balance,0.41B,,51
58,7.9B,EUR,2012-12-17 05:00:00,10.8B,worse,Low,Trade Balance,11.0B,worse,51
59,,EUR,2012-12-17 06:00:00,,,Low,German Buba Monthly Report,,,51
60,13.26B,CAD,2012-12-17 08:30:00,9.85B,better,Medium,Foreign Securities Purchases,14.12B,better,51
61,-8.1,USD,2012-12-17 08:30:00,-0.7,worse,Medium,Empire State Manufacturing Index,-5.2,,51
62,1.3B,USD,2012-12-17 09:00:00,24.3B,worse,Medium,TIC Long-Term Purchases,3.2B,,51
63,,EUR,2012-12-17 09:30:00,,,High,ECB President Draghi Speaks,,,51
64,,USD,2012-12-17 11:00:00,,,Medium,FOMC Member Stein Speaks,,,51
65,,USD,2012-12-17 13:00:00,,,Medium,FOMC Member Lacker Speaks,,,51
66,0.2%,AUD,2012-12-17 18:00:00,,,Medium,CB Leading Index m/m,-0.4%,worse,51
67,,GBP,2012-12-17 19:01:00,,,Low,BOE Quarterly Bulletin,,,51
68,,AUD,2012-12-17 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
69,-3.6%,CNY,2012-12-17 21:00:00,,,Low,Foreign Direct Investment ytd/y,-3.5%,,51
70,2.7%,GBP,2012-12-18 04:30:00,2.6%,better,High,CPI y/y,2.7%,,51
71,0.1%,GBP,2012-12-18 04:30:00,0.1%,,Medium,PPI Input m/m,0.1%,worse,51
72,3.0%,GBP,2012-12-18 04:30:00,3.2%,worse,Medium,RPI y/y,3.2%,,51
73,2.6%,GBP,2012-12-18 04:30:00,2.7%,worse,Low,Core CPI y/y,2.6%,,51
74,1.5%,GBP,2012-12-18 04:30:00,1.6%,,Low,ONS HPI y/y,1.7%,,51
75,-0.2%,GBP,2012-12-18 04:30:00,0.2%,worse,Low,PPI Output m/m,0.2%,,51
76,0.3%,NZD,2012-12-18 08:30:00,,,Low,GDT Price Index,-2.1%,,51
77,-108B,USD,2012-12-18 08:30:00,-105B,worse,Medium,Current Account,-118B,,51
78,47,USD,2012-12-18 10:00:00,47,,Low,NAHB Housing Market Index,45,worse,51
79,-4.42B,NZD,2012-12-18 16:45:00,-4.28B,,High,Current Account,-1.80B,,51
80,0.1%,AUD,2012-12-18 18:30:00,,,Low,MI Leading Index m/m,0.6%,worse,51
81,-0.87T,JPY,2012-12-18 18:50:00,-0.81T,worse,Medium,Trade Balance,-0.62T,,51
82,0.2%,JPY,2012-12-18 23:30:00,0.4%,worse,Low,All Industries Activity m/m,-0.4%,,51
83,102.4,EUR,2012-12-19 04:00:00,101.9,better,High,German Ifo Business Climate,101.4,,51
84,3.9B,EUR,2012-12-19 04:00:00,5.8B,worse,Medium,Current Account,2.4B,better,51
85,1-0-8,GBP,2012-12-19 04:30:00,1-0-8,,High,MPC Asset Purchase Facility Votes,1-0-8,,51
86,0-0-9,GBP,2012-12-19 04:30:00,0-0-9,,High,MPC Official Bank Rate Votes,0-0-9,,51
87,19,GBP,2012-12-19 06:00:00,26,worse,Medium,CBI Realized Sales,33,,51
88,0.9%,CAD,2012-12-19 08:30:00,0.4%,better,Medium,Wholesale Sales m/m,-1.5%,,51
89,0.90M,USD,2012-12-19 08:30:00,0.88M,,High,Building Permits,0.87M,,51
90,0.86M,USD,2012-12-19 08:30:00,0.87M,,Medium,Housing Starts,0.89M,,51
91,-1.0M,USD,2012-12-19 10:30:00,-0.9M,,Medium,Crude Oil Inventories,0.8M,,51
92,0.2%,NZD,2012-12-19 16:45:00,0.4%,worse,High,GDP q/q,0.3%,worse,51
93,22.7,NZD,2012-12-19 19:00:00,,,High,ANZ Business Confidence,26.4,,51
94,,AUD,2012-12-19 19:30:00,,,Low,RBA Bulletin,,,51
95,1.1%,CNY,2012-12-19 21:00:00,,,Low,CB Leading Index m/m,1.6%,better,51
96,,JPY,2012-12-19 23:01:00,,,High,Monetary Policy Statement,,,51
97,<0.10%,JPY,2012-12-19 23:01:00,<0.10%,,High,Overnight Call Rate,<0.10%,,51
98,2.95B,CHF,2012-12-20 02:00:00,2.21B,better,Medium,Trade Balance,2.73B,worse,51
99,-0.1%,EUR,2012-12-20 02:00:00,-0.1%,,Medium,German PPI m/m,0.0%,,51
100,-0.2%,EUR,2012-12-20 02:00:00,0.0%,worse,Low,German Import Prices m/m,-0.6%,,51
101,,JPY,2012-12-20 02:41:00,,,High,BOJ Press Conference,,,51
102,-1.0%,EUR,2012-12-20 04:00:00,0.0%,worse,Low,Italian Retail Sales m/m,-0.1%,worse,51
103,0.0%,GBP,2012-12-20 04:30:00,0.3%,worse,High,Retail Sales m/m,-0.7%,better,51
104,0.5%,CAD,2012-12-20 08:30:00,0.2%,better,High,Core Retail Sales m/m,0.1%,better,51
105,0.7%,CAD,2012-12-20 08:30:00,0.2%,better,Medium,Retail Sales m/m,0.2%,better,51
106,361K,USD,2012-12-20 08:30:00,358K,,High,Unemployment Claims,344K,,51
107,3.1%,USD,2012-12-20 08:30:00,2.8%,better,Medium,Final GDP q/q,2.7%,,51
108,2.7%,USD,2012-12-20 08:30:00,2.7%,,Low,Final GDP Price Index q/q,2.7%,,51
109,-11.8,EUR,2012-12-20 09:00:00,-13.1,better,Low,Belgian NBB Business Climate,-13.4,,51
110,-27,EUR,2012-12-20 10:00:00,-26,worse,Low,Consumer Confidence,-27,,51
111,5.04M,USD,2012-12-20 10:00:00,4.88M,better,High,Existing Home Sales,4.76M,worse,51
112,8.1,USD,2012-12-20 10:00:00,-2.2,better,High,Philly Fed Manufacturing Index,-10.7,,51
113,-0.2%,USD,2012-12-20 10:00:00,-0.2%,,Low,CB Leading Index m/m,0.3%,better,51
114,0.5%,USD,2012-12-20 10:00:00,0.2%,better,Low,HPI m/m,0.0%,worse,51
115,-82B,USD,2012-12-20 10:30:00,-73B,,Low,Natural Gas Storage,2B,,51
116,1.7%,NZD,2012-12-20 16:45:00,,,Low,Visitor Arrivals m/m,-1.6%,,51
117,-29,GBP,2012-12-20 19:01:00,-26,worse,Low,GfK Consumer Confidence,-22,,51
118,3.9%,NZD,2012-12-20 21:03:00,,,Low,Credit Card Spending y/y,-0.9%,,51
119,,JPY,2012-12-21 00:00:00,,,Low,BOJ Monthly Report,,,51
120,5.6,EUR,2012-12-21 02:00:00,5.9,worse,Medium,German GfK Consumer Climate,5.8,,51
121,,CHF,2012-12-21 03:30:00,,,Low,SNB Quarterly Bulletin,,,51
122,-12.8B,GBP,2012-12-21 04:30:00,-14.1B,better,High,Current Account,-17.4B,better,51
123,15.3B,GBP,2012-12-21 04:30:00,14.3B,worse,High,Public Sector Net Borrowing,6.0B,better,51
124,0.9%,GBP,2012-12-21 04:30:00,1.0%,worse,Medium,Final GDP q/q,1.0%,,51
125,1.1%,GBP,2012-12-21 04:30:00,1.1%,,Low,Index of Services 3m/3m,1.2%,worse,51
126,3.8%,GBP,2012-12-21 04:30:00,3.5%,better,Low,Revised Business Investment q/q,3.7%,,51
127,0.0%,CAD,2012-12-21 08:30:00,0.2%,worse,High,Core CPI m/m,0.3%,,51
128,0.1%,CAD,2012-12-21 08:30:00,0.1%,,High,GDP m/m,0.0%,,51
129,-0.2%,CAD,2012-12-21 08:30:00,0.0%,worse,Medium,CPI m/m,0.2%,,51
130,1.6%,USD,2012-12-21 08:30:00,-0.2%,better,High,Core Durable Goods Orders m/m,1.9%,better,51
131,0.0%,USD,2012-12-21 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.1%,,51
132,0.7%,USD,2012-12-21 08:30:00,0.2%,better,Medium,Durable Goods Orders m/m,1.1%,better,51
133,0.4%,USD,2012-12-21 08:30:00,0.4%,,Medium,Personal Spending m/m,-0.1%,better,51
134,0.6%,USD,2012-12-21 08:30:00,0.3%,better,Low,Personal Income m/m,0.1%,better,51
135,72.9,USD,2012-12-21 09:55:00,74.9,worse,Medium,Revised UoM Consumer Sentiment,74.5,,51
136,3.2%,USD,2012-12-21 09:55:00,,,Low,Revised UoM Inflation Expectations,3.3%,,51
137,20.7%,CNY,2012-12-09 00:34:00,21.0%,worse,Medium,Fixed Asset Investment ytd/y,20.7%,,50
138,10.1%,CNY,2012-12-09 00:34:00,9.8%,better,Medium,Industrial Production y/y,9.6%,,50
139,14.9%,CNY,2012-12-09 00:34:00,14.6%,better,Low,Retail Sales y/y,14.5%,,50
140,1.6%,NZD,2012-12-09 16:45:00,,,Low,Manufacturing Sales q/q,-0.8%,better,50
141,-10.3,JPY,2012-12-09 18:50:00,4.3,worse,Medium,BSI Manufacturing Index,2.5,,50
142,0.41T,JPY,2012-12-09 18:50:00,0.25T,better,Medium,Current Account,-0.14T,,50
143,-0.9%,JPY,2012-12-09 18:50:00,-0.8%,worse,Medium,Final GDP q/q,-0.9%,,50
144,1.0%,JPY,2012-12-09 18:50:00,,,Low,Bank Lending y/y,0.8%,worse,50
145,-0.8%,JPY,2012-12-09 18:50:00,-0.7%,worse,Low,Final GDP Price Index y/y,-0.7%,,50
146,0.1%,AUD,2012-12-09 19:30:00,3.1%,worse,Medium,Home Loans m/m,1.1%,better,50
147,19.6B,CNY,2012-12-09 21:13:00,26.7B,worse,High,USD-Denominated Trade Balance,32.0B,,50
148,39.4,JPY,2012-12-10 00:00:00,40.3,worse,Low,Consumer Confidence,39.7,,50
149,40.0,JPY,2012-12-10 01:00:00,39.7,,Low,Economy Watchers Sentiment,39.0,,50
150,-20.7%,JPY,2012-12-10 01:00:00,,,Low,Prelim Machine Tool Orders y/y,-6.7%,,50
151,15.2B,EUR,2012-12-10 02:00:00,15.9B,worse,Low,German Trade Balance,16.9B,,50
152,-0.7%,EUR,2012-12-10 02:45:00,0.4%,worse,Medium,French Industrial Production m/m,-2.7%,,50
153,-1.1%,EUR,2012-12-10 04:00:00,-0.2%,worse,Medium,Italian Industrial Production m/m,-1.3%,better,50
154,-16.8,EUR,2012-12-10 04:30:00,-16.2,worse,Medium,Sentix Investor Confidence,-18.8,,50
155,196K,CAD,2012-12-10 08:15:00,202K,worse,Low,Housing Starts,203K,,50
156,1.4%,NZD,2012-12-10 12:00:00,,,Medium,REINZ HPI m/m,1.5%,,50
157,,GBP,2012-12-10 12:15:00,,,High,BOE Gov King Speaks,,,50
158,2.1%,JPY,2012-12-10 18:50:00,2.3%,worse,Low,M2 Money Stock y/y,2.3%,,50
159,-9%,GBP,2012-12-10 19:01:00,-5%,worse,Medium,RICS House Price Balance,-7%,,50
160,-9,AUD,2012-12-10 19:30:00,,,Medium,NAB Business Confidence,-1,,50
161,523B,CNY,2012-12-10 21:00:00,550B,worse,Medium,New Loans,505B,,50
162,-0.3%,EUR,2012-12-11 01:30:00,-0.3%,,Low,French Final Private Payrolls q/q,-0.3%,,50
163,-0.7%,EUR,2012-12-11 02:00:00,0.4%,worse,Low,German WPI m/m,-0.6%,,50
164,13.9%,CNY,2012-12-11 03:00:00,14.2%,worse,Low,M2 Money Supply y/y,14.1%,,50
165,,EUR,2012-12-11 00:00:00,,,Medium,Eurogroup Meetings,,,50
166,6.9,EUR,2012-12-11 05:00:00,-11.4,better,High,German ZEW Economic Sentiment,-15.7,,50
167,7.6,EUR,2012-12-11 05:00:00,0.1,better,Medium,ZEW Economic Sentiment,-2.6,,50
168,-0.4%,GBP,2012-12-11 05:00:00,,,Low,CB Leading Index m/m,0.1%,worse,50
169,1.80|1.7,GBP,2012-12-11 05:35:00,,,Low,10-y Bond Auction,1.82|1.9,,50
170,87.5,USD,2012-12-11 07:30:00,92.5,worse,Low,NFIB Small Business Index,93.1,,50
171,-0.2B,CAD,2012-12-11 08:30:00,-1.2B,better,High,Trade Balance,-1.0B,worse,50
172,-42.2B,USD,2012-12-11 08:30:00,-42.7B,,High,Trade Balance,-40.3B,better,50
173,3.68M,USD,2012-12-11 10:00:00,3.62M,,Medium,JOLTS Job Openings,3.55M,,50
174,0.6%,USD,2012-12-11 10:00:00,0.5%,worse,Low,Final Wholesale Inventories m/m,1.1%,,50
175,45.1,USD,2012-12-11 10:00:00,51.6,worse,Low,IBD/TIPP Economic Optimism,48.6,,50
176,,CAD,2012-12-11 13:20:00,,,Medium,BOC Gov Carney Speaks,,,50
177,-4.1%,AUD,2012-12-11 18:30:00,,,Medium,Westpac Consumer Sentiment,5.2%,,50
178,2.6%,JPY,2012-12-11 18:50:00,3.1%,worse,Medium,Core Machinery Orders m/m,-4.3%,,50
179,-0.1%,JPY,2012-12-11 18:50:00,-0.3%,better,Medium,Tertiary Industry Activity m/m,0.2%,,50
180,-0.9%,JPY,2012-12-11 18:50:00,-0.9%,,Low,PPI y/y,-1.0%,,50
181,,AUD,2012-12-11 23:30:00,,,High,RBA Gov Stevens Speaks,,,50
182,-0.1%,EUR,2012-12-12 02:00:00,-0.1%,,Low,German Final CPI m/m,-0.1%,,50
183,-0.2%,EUR,2012-12-12 02:45:00,0.0%,worse,Low,French Final CPI m/m,0.2%,,50
184,,All,2012-12-12 00:00:00,,,Low,OPEC Meetings,,,50
185,,EUR,2012-12-12 00:00:00,,,Medium,ECOFIN Meetings,,,50
186,-3.0K,GBP,2012-12-12 04:30:00,5.9K,better,High,Claimant Count Change,6.0K,better,50
187,7.8%,GBP,2012-12-12 04:30:00,7.9%,better,Medium,Unemployment Rate,7.8%,,50
188,1.8%,GBP,2012-12-12 04:30:00,1.9%,worse,Low,Average Earnings Index 3m/y,1.8%,,50
189,-15.5,CHF,2012-12-12 05:00:00,,,Medium,Credit Suisse Economic Expectations,-27.9,,50
190,-1.4%,EUR,2012-12-12 05:00:00,0.3%,worse,Medium,Industrial Production m/m,-2.3%,better,50
191,,GBP,2012-12-12 05:45:00,,,Medium,MPC Member Dale Speaks,,,50
192,-0.9%,USD,2012-12-12 08:30:00,-0.4%,worse,Medium,Import Prices m/m,0.3%,worse,50
193,0.8M,USD,2012-12-12 10:30:00,-2.6M,,Medium,Crude Oil Inventories,-2.4M,,50
194,1.65|3.0,USD,2012-12-12 11:30:00,,,Medium,10-y Bond Auction,1.68|2.6,,50
195,,USD,2012-12-12 12:30:00,,,High,FOMC Statement,,,50
196,<0.25%,USD,2012-12-12 12:30:00,<0.25%,,Medium,Federal Funds Rate,<0.25%,,50
197,-172.1B,USD,2012-12-12 13:27:00,-160.0B,worse,Medium,Federal Budget Balance,-120.0B,,50
198,,USD,2012-12-12 14:00:00,,,High,FOMC Economic Projections,,,50
199,,USD,2012-12-12 14:15:00,,,High,FOMC Press Conference,,,50
200,48.8,NZD,2012-12-12 16:29:00,,,Low,Business NZ Manufacturing Index,50.3,,50
201,-0.8%,NZD,2012-12-12 16:45:00,,,Low,FPI m/m,-0.6%,,50
202,1.8%,AUD,2012-12-12 19:00:00,,,Medium,MI Inflation Expectations,2.2%,,50
203,0.0%,AUD,2012-12-12 19:30:00,,,Medium,New Motor Vehicle Sales m/m,-2.5%,better,50
204,,CHF,2012-12-13 01:45:00,,,Medium,SECO Economic Forecasts,,,50
205,0.0%,CHF,2012-12-13 03:15:00,-0.3%,better,Medium,PPI m/m,-0.1%,,50
206,<0.25%,CHF,2012-12-13 03:30:00,<0.25%,,High,Libor Rate,<0.25%,,50
207,,CHF,2012-12-13 03:30:00,,,High,SNB Monetary Policy Assessment,,,50
208,,CHF,2012-12-13 03:30:00,,,High,SNB Press Conference,,,50
209,,EUR,2012-12-13 04:00:00,,,Medium,ECB Monthly Bulletin,,,50
210,,EUR,2012-12-13 00:00:00,,,Medium,EU Economic Summit,,,50
211,,EUR,2012-12-13 00:00:00,,,Medium,Eurogroup Meetings,,,50
212,-12,GBP,2012-12-13 06:00:00,-17,better,Medium,CBI Industrial Order Expectations,-21,,50
213,0.2%,CAD,2012-12-13 08:30:00,0.1%,better,Medium,NHPI m/m,0.2%,,50
214,80.9%,CAD,2012-12-13 08:30:00,80.6%,better,Low,Capacity Utilization Rate,80.9%,,50
215,0.0%,USD,2012-12-13 08:30:00,0.0%,,High,Core Retail Sales m/m,0.0%,,50
216,-0.8%,USD,2012-12-13 08:30:00,-0.5%,worse,High,PPI m/m,-0.2%,,50
217,0.3%,USD,2012-12-13 08:30:00,0.5%,worse,High,Retail Sales m/m,-0.3%,,50
218,343K,USD,2012-12-13 08:30:00,368K,better,High,Unemployment Claims,372K,,50
219,0.1%,USD,2012-12-13 08:30:00,0.2%,worse,Medium,Core PPI m/m,-0.2%,,50
220,,USD,2012-12-13 08:30:00,,,Medium,Fed Announcement,,,50
221,0.4%,USD,2012-12-13 10:00:00,0.4%,,Medium,Business Inventories m/m,0.7%,,50
222,2B,USD,2012-12-13 10:30:00,-4B,,Low,Natural Gas Storage,-73B,,50
223,2.92|2.5,USD,2012-12-13 13:00:00,,,Low,30-y Bond Auction,2.82|2.8,,50
224,-12,JPY,2012-12-13 18:50:00,-9,worse,Medium,Tankan Manufacturing Index,-3,,50
225,4,JPY,2012-12-13 18:50:00,4,,Medium,Tankan Non-Manufacturing Index,8,,50
226,50.9,CNY,2012-12-13 20:45:00,,,High,Caixin Flash Manufacturing PMI,50.5,,50
227,,GBP,2012-12-13 21:00:00,,,Medium,MPC Member Weale Speaks,,,50
228,1.6%,JPY,2012-12-13 23:30:00,1.8%,worse,Low,Revised Industrial Production m/m,1.8%,,50
229,44.6,EUR,2012-12-14 03:00:00,44.9,,Medium,French Flash Manufacturing PMI,44.5,,50
230,46.0,EUR,2012-12-14 03:00:00,45.8,,Medium,French Flash Services PMI,45.8,,50
231,46.3,EUR,2012-12-14 03:30:00,47.1,worse,High,German Flash Manufacturing PMI,46.8,,50
232,52.1,EUR,2012-12-14 03:30:00,50.0,better,Medium,German Flash Services PMI,49.7,better,50
233,46.3,EUR,2012-12-14 04:00:00,46.6,,Medium,Flash Manufacturing PMI,46.2,,50
234,47.8,EUR,2012-12-14 04:00:00,47.0,better,Medium,Flash Services PMI,46.7,better,50
235,,EUR,2012-12-14 00:00:00,,,Medium,EU Economic Summit,,,50
236,2.2%,EUR,2012-12-14 05:00:00,2.2%,,Medium,Final CPI y/y,2.2%,,50
237,1.4%,EUR,2012-12-14 05:00:00,1.5%,worse,Medium,Final Core CPI y/y,1.5%,,50
238,-0.2%,EUR,2012-12-14 05:00:00,0.0%,worse,Low,Final Employment Change q/q,0.0%,,50
239,,EUR,2012-12-14 06:00:00,,,Low,ECB Financial Stability Review,,,50
240,-1.4%,CAD,2012-12-14 08:30:00,0.0%,worse,Medium,Manufacturing Sales m/m,0.0%,worse,50
241,0.1%,USD,2012-12-14 08:30:00,0.2%,worse,High,Core CPI m/m,0.2%,,50
242,-0.3%,USD,2012-12-14 08:30:00,-0.2%,worse,Medium,CPI m/m,0.1%,,50
243,54.2,USD,2012-12-14 09:00:00,52.6,better,Medium,Flash Manufacturing PMI,52.8,better,50
244,78.4%,USD,2012-12-14 09:15:00,77.9%,better,Medium,Capacity Utilization Rate,77.7%,,50
245,1.1%,USD,2012-12-14 09:15:00,0.3%,better,Medium,Industrial Production m/m,-0.7%,worse,50
246,-3.2%,NZD,2012-12-02 16:45:00,-1.7%,worse,Low,Overseas Trade Index q/q,-2.6%,,49
247,43.6,AUD,2012-12-02 17:18:00,,,Low,AIG Manufacturing Index,45.2,,49
248,-0.1%,AUD,2012-12-02 18:30:00,,,Medium,MI Inflation Gauge m/m,0.1%,,49
249,2.2%,JPY,2012-12-02 18:50:00,3.7%,worse,Medium,Capital Spending q/y,7.7%,,49
250,0.0%,AUD,2012-12-02 19:30:00,0.4%,worse,High,Retail Sales m/m,0.5%,,49
251,-2.9%,AUD,2012-12-02 19:30:00,,,Medium,ANZ Job Advertisements m/m,-4.6%,,49
252,-2.9%,AUD,2012-12-02 19:30:00,-2.8%,,Medium,Company Operating Profits q/q,-0.3%,better,49
253,55.6,CNY,2012-12-02 20:00:00,,,Low,Non-Manufacturing PMI,55.5,,49
254,50.5,CNY,2012-12-02 20:45:00,50.4,,Medium,Caixin Manufacturing PMI,50.4,,49
255,,JPY,2012-12-02 23:00:00,,,Medium,BOJ Gov Shirakawa Speaks,,,49
256,-11.6%,AUD,2012-12-03 00:30:00,,,Low,Commodity Prices y/y,-16.2%,,49
257,2.7%,CHF,2012-12-03 03:15:00,3.9%,worse,Medium,Retail Sales y/y,5.0%,worse,49
258,45.3,EUR,2012-12-03 03:15:00,43.9,better,Medium,Spanish Manufacturing PMI,43.5,,49
259,48.5,CHF,2012-12-03 03:30:00,47.3,better,Medium,Manufacturing PMI,46.1,,49
260,45.1,EUR,2012-12-03 03:45:00,45.9,worse,Medium,Italian Manufacturing PMI,45.5,,49
261,44.5,EUR,2012-12-03 03:50:00,44.7,,Low,French Final Manufacturing PMI,44.7,,49
262,46.8,EUR,2012-12-03 03:55:00,46.8,,Low,German Final Manufacturing PMI,46.8,,49
263,46.2,EUR,2012-12-03 04:00:00,46.2,,Low,Final Manufacturing PMI,46.2,,49
264,,EUR,2012-12-03 00:00:00,,,Medium,Eurogroup Meetings,,,49
265,49.1,GBP,2012-12-03 04:30:00,48.1,better,High,Manufacturing PMI,47.3,,49
266,52.8,USD,2012-12-03 09:00:00,51.7,better,Low,Final Manufacturing PMI,52.4,,49
267,50.4,CAD,2012-12-03 09:30:00,,,Low,Manufacturing PMI,51.4,,49
268,49.5,USD,2012-12-03 10:00:00,51.5,worse,High,ISM Manufacturing PMI,51.7,,49
269,1.4%,USD,2012-12-03 10:00:00,0.5%,better,Low,Construction Spending m/m,0.5%,,49
270,52.5,USD,2012-12-03 10:00:00,54.3,worse,Low,ISM Manufacturing Prices,55.0,,49
271,15.5M,USD,2012-12-03 00:00:00,14.8M,better,Low,Total Vehicle Sales,14.3M,,49
272,5.0%,JPY,2012-12-03 18:50:00,11.4%,worse,Low,Monetary Base y/y,10.8%,,49
273,0.4%,GBP,2012-12-03 19:00:00,,,Medium,BRC Retail Sales Monitor y/y,-0.1%,,49
274,1.0%,NZD,2012-12-03 19:00:00,,,Low,ANZ Commodity Prices m/m,1.4%,,49
275,-7.6%,AUD,2012-12-03 19:30:00,-1.8%,worse,High,Building Approvals m/m,9.5%,better,49
276,-14.9B,AUD,2012-12-03 19:30:00,-14.7B,,Medium,Current Account,-12.4B,worse,49
277,0.2%,JPY,2012-12-03 20:30:00,0.4%,worse,Medium,Average Cash Earnings y/y,-0.5%,worse,49
278,3.00%,AUD,2012-12-03 22:30:00,3.00%,,High,Cash Rate,3.25%,,49
