,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
35,1.6%,NZD,2009-12-20 21:00:00,,,Low,Credit Card Spending y/y,-0.3%,,52
36,1.2%,JPY,2009-12-20 23:37:00,1.1%,,Low,All Industries Activity m/m,-0.7%,,52
37,,JPY,2009-12-21 00:00:00,,,Medium,BOJ Monthly Report,,,52
38,,CHF,2009-12-21 05:00:00,,,Low,SNB Quarterly Bulletin,,,52
39,0.2%,CAD,2009-12-21 08:30:00,0.4%,worse,High,Core Retail Sales m/m,1.0%,worse,52
40,0.8%,CAD,2009-12-21 08:30:00,0.8%,,Medium,Retail Sales m/m,1.1%,better,52
41,-1.41B,NZD,2009-12-21 16:45:00,-2.25B,better,High,Current Account,0.12B,,52
42,-0.3%,AUD,2009-12-21 18:00:00,,,Medium,CB Leading Index m/m,0.0%,worse,52
43,3.3,EUR,2009-12-22 02:00:00,3.6,worse,Medium,German GfK Consumer Climate,3.6,,52
44,,JPY,2009-12-22 02:00:00,,,Medium,BOJ Gov Shirakawa Speaks,,,52
45,2.14B,CHF,2009-12-22 02:15:00,2.79B,worse,Medium,Trade Balance,2.44B,,52
46,,All,2009-12-22 00:00:00,,,Low,OPEC Meetings,,,52
47,-4.7B,GBP,2009-12-22 04:30:00,-8.1B,better,High,Current Account,-4.4B,better,52
48,-0.2%,GBP,2009-12-22 04:30:00,-0.1%,worse,Medium,Final GDP q/q,-0.3%,,52
49,2.2%,USD,2009-12-22 08:30:00,2.8%,worse,Medium,Final GDP q/q,2.8%,,52
50,0.4%,USD,2009-12-22 08:30:00,0.5%,,Low,Final GDP Price Index q/q,0.5%,,52
51,-7.9,EUR,2009-12-22 09:00:00,-5.5,worse,Medium,Belgian NBB Business Climate,-8.8,,52
52,-4,USD,2009-12-22 09:59:00,4,worse,Low,Richmond Manufacturing Index,1,,52
53,6.54M,USD,2009-12-22 10:00:00,6.29M,better,High,Existing Home Sales,6.09M,,52
54,0.6%,USD,2009-12-22 10:02:00,0.2%,better,Low,HPI m/m,-0.4%,worse,52
55,0.2%,NZD,2009-12-22 16:45:00,0.4%,worse,High,GDP q/q,0.2%,better,52
56,,JPY,2009-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,52
57,0.4%,EUR,2009-12-23 02:00:00,0.2%,better,Low,German Import Prices m/m,0.5%,,52
58,-0.1%,EUR,2009-12-23 02:45:00,0.3%,worse,Medium,French Consumer Spending m/m,1.0%,worse,52
59,0.0%,EUR,2009-12-23 04:00:00,0.2%,worse,Low,Italian Retail Sales m/m,0.0%,better,52
60,0-0-9,GBP,2009-12-23 04:30:00,0-0-9,,High,MPC Asset Purchase Facility Votes,8-0-1,,52
61,0-0-9,GBP,2009-12-23 04:30:00,0-0-9,,High,MPC Official Bank Rate Votes,0-0-9,,52
62,44.7K,GBP,2009-12-23 04:30:00,43.3K,better,Medium,High Street Lending,42.6K,,52
63,-0.2%,GBP,2009-12-23 04:30:00,0.3%,worse,Low,Index of Services 3m/3m,-0.2%,worse,52
64,0.2%,CAD,2009-12-23 08:30:00,0.3%,worse,High,GDP m/m,0.4%,,52
65,0.0%,USD,2009-12-23 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,,52
66,0.5%,USD,2009-12-23 08:30:00,0.6%,worse,Medium,Personal Spending m/m,0.6%,worse,52
67,0.4%,USD,2009-12-23 08:30:00,0.4%,,Low,Personal Income m/m,0.3%,better,52
68,72.5,USD,2009-12-23 09:55:00,74.0,worse,Medium,Revised UoM Consumer Sentiment,73.4,,52
69,2.5%,USD,2009-12-23 09:55:00,,,Low,Revised UoM Inflation Expectations,2.1%,,52
70,355K,USD,2009-12-23 10:00:00,442K,worse,High,New Home Sales,400K,worse,52
71,-4.9M,USD,2009-12-23 10:30:00,-1.5M,,Medium,Crude Oil Inventories,-3.7M,,52
72,13.2,JPY,2009-12-23 18:50:00,11.2,better,Medium,BSI Manufacturing Index,15.5,,52
73,,JPY,2009-12-23 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
74,,JPY,2009-12-24 00:15:00,,,Medium,BOJ Gov Shirakawa Speaks,,,52
75,,EUR,2009-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
76,2.0%,USD,2009-12-24 08:30:00,1.1%,better,High,Core Durable Goods Orders m/m,-0.7%,better,52
77,452K,USD,2009-12-24 08:30:00,471K,better,High,Unemployment Claims,480K,,52
78,0.2%,USD,2009-12-24 08:30:00,0.6%,worse,Medium,Durable Goods Orders m/m,-0.6%,,52
79,-166B,USD,2009-12-24 10:30:00,-171B,,Low,Natural Gas Storage,-207B,,52
80,,NZD,2009-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
81,,AUD,2009-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
82,2.2%,JPY,2009-12-24 18:30:00,0.5%,better,Medium,Household Spending y/y,1.6%,,52
83,-1.9%,JPY,2009-12-24 18:30:00,-1.8%,worse,Medium,Tokyo Core CPI y/y,-1.9%,,52
84,-1.7%,JPY,2009-12-24 18:30:00,-1.7%,,Low,National Core CPI y/y,-2.2%,,52
85,5.2%,JPY,2009-12-24 18:30:00,5.2%,,Low,Unemployment Rate,5.1%,,52
86,-2.0%,JPY,2009-12-24 18:50:00,-1.9%,worse,Low,SPPI y/y,-2.3%,worse,52
87,-19.1%,JPY,2009-12-25 00:00:00,-22.3%,better,Low,Housing Starts y/y,-27.1%,,52
88,,CHF,2009-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
89,,EUR,2009-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
90,,EUR,2009-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
91,,EUR,2009-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
92,,GBP,2009-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
93,,CAD,2009-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
94,,USD,2009-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
95,0.2%,NZD,2009-12-13 16:00:00,,,Medium,REINZ HPI m/m,1.3%,,51
96,-24,JPY,2009-12-13 18:50:00,-26,better,High,Tankan Manufacturing Index,-33,,51
97,-22,JPY,2009-12-13 18:50:00,-23,better,Medium,Tankan Non-Manufacturing Index,-24,,51
98,-2.2%,GBP,2009-12-13 19:01:00,,,Medium,Rightmove HPI m/m,-1.6%,,51
99,,GBP,2009-12-13 19:01:00,,,Low,BOE Quarterly Bulletin,,,51
100,0.5%,JPY,2009-12-13 23:30:00,0.5%,,Low,Revised Industrial Production m/m,0.5%,,51
101,0.0%,CHF,2009-12-14 03:15:00,0.2%,worse,Medium,PPI m/m,-0.4%,,51
102,-0.6%,EUR,2009-12-14 05:00:00,-0.6%,,Medium,Industrial Production m/m,0.2%,worse,51
103,-0.5%,EUR,2009-12-14 05:00:00,,,Low,Final Employment Change q/q,-0.5%,,51
104,,EUR,2009-12-14 06:00:00,,,Low,German Buba Monthly Report,,,51
105,67.5%,CAD,2009-12-14 08:30:00,67.5%,,Low,Capacity Utilization Rate,67.7%,better,51
106,,CAD,2009-12-14 10:30:00,,,Low,BOC Financial System Review,,,51
107,35%,GBP,2009-12-14 19:01:00,39%,worse,Medium,RICS House Price Balance,34%,,51
108,,AUD,2009-12-14 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
109,9.4%,AUD,2009-12-14 19:30:00,6.4%,better,Low,Housing Starts q/q,-1.9%,better,51
110,,CHF,2009-12-15 01:45:00,,,Medium,SECO Economic Forecasts,,,51
111,0.1%,EUR,2009-12-15 02:45:00,0.3%,worse,Low,French Final CPI m/m,0.1%,,51
112,3.4%,CHF,2009-12-15 03:15:00,0.4%,better,Medium,Industrial Production q/q,3.4%,better,51
113,1.9%,GBP,2009-12-15 04:30:00,1.8%,better,High,CPI y/y,1.5%,,51
114,0.3%,GBP,2009-12-15 04:30:00,0.2%,better,Medium,RPI y/y,-0.8%,,51
115,1.9%,GBP,2009-12-15 04:30:00,1.8%,better,Low,Core CPI y/y,1.8%,,51
116,-2.2%,GBP,2009-12-15 04:30:00,-2.3%,,Low,ONS HPI y/y,-4.1%,,51
117,50.4,EUR,2009-12-15 05:00:00,50.1,,High,German ZEW Economic Sentiment,51.1,,51
118,48.0,EUR,2009-12-15 05:00:00,50.9,worse,Medium,ZEW Economic Sentiment,51.8,,51
119,-0.2%,CAD,2009-12-15 08:30:00,-0.4%,worse,Medium,Labor Productivity q/q,0.1%,worse,51
120,1.3%,CAD,2009-12-15 08:30:00,0.6%,better,Medium,Leading Index m/m,0.7%,,51
121,3.5%,CAD,2009-12-15 08:30:00,3.1%,better,Low,New Motor Vehicle Sales m/m,1.5%,better,51
122,1.8%,USD,2009-12-15 08:30:00,0.8%,better,High,PPI m/m,0.3%,,51
123,0.5%,USD,2009-12-15 08:30:00,0.3%,better,Medium,Core PPI m/m,-0.6%,,51
124,2.6,USD,2009-12-15 08:30:00,24.7,worse,Medium,Empire State Manufacturing Index,23.5,,51
125,20.7B,USD,2009-12-15 09:00:00,38.3B,worse,High,TIC Long-Term Purchases,40.7B,,51
126,71.3%,USD,2009-12-15 09:15:00,71.1%,better,Medium,Capacity Utilization Rate,70.6%,,51
127,0.8%,USD,2009-12-15 09:15:00,0.6%,better,Medium,Industrial Production m/m,0.0%,worse,51
128,,CHF,2009-12-15 11:40:00,,,Medium,SNB Chairman Roth Speaks,,,51
129,16,USD,2009-12-15 13:00:00,18,worse,Low,NAHB Housing Market Index,17,,51
130,0.4%,AUD,2009-12-15 18:30:00,,,Medium,MI Leading Index m/m,1.1%,better,51
131,0.5%,JPY,2009-12-15 18:50:00,0.5%,,Medium,Tertiary Industry Activity m/m,-0.6%,,51
132,0.2%,AUD,2009-12-15 19:30:00,0.4%,worse,High,GDP q/q,0.6%,,51
133,,AUD,2009-12-15 20:00:00,,,Medium,RBA Deputy Gov Battellino Speaks,,,51
134,-9.9%,CNY,2009-12-15 21:18:00,,,Low,Foreign Direct Investment ytd/y,-12.6%,,51
135,54.4,EUR,2009-12-16 03:00:00,54.7,,Medium,French Flash Manufacturing PMI,54.4,,51
136,59.3,EUR,2009-12-16 03:00:00,60.1,worse,Medium,French Flash Services PMI,60.9,better,51
137,53.1,EUR,2009-12-16 03:30:00,52.6,better,Medium,German Flash Manufacturing PMI,52.4,better,51
138,53.1,EUR,2009-12-16 03:30:00,51.9,better,Medium,German Flash Services PMI,51.4,,51
139,,GBP,2009-12-16 03:30:00,,,Medium,MPC Member Miles Speaks,,,51
140,51.6,EUR,2009-12-16 04:00:00,51.5,,Medium,Flash Manufacturing PMI,51.2,,51
141,53.7,EUR,2009-12-16 04:00:00,53.3,better,Medium,Flash Services PMI,53.0,,51
142,-6.3K,GBP,2009-12-16 04:30:00,13.9K,better,High,Claimant Count Change,5.9K,better,51
143,1.5%,GBP,2009-12-16 04:30:00,1.3%,better,Medium,Average Earnings Index 3m/y,1.4%,better,51
144,7.9%,GBP,2009-12-16 04:30:00,7.9%,,Low,Unemployment Rate,7.8%,,51
145,0.5%,EUR,2009-12-16 05:00:00,0.6%,worse,Medium,Final CPI y/y,0.6%,,51
146,1.0%,EUR,2009-12-16 05:00:00,1.2%,worse,Medium,Final Core CPI y/y,1.2%,,51
147,-0.71B,EUR,2009-12-16 05:00:00,-0.63B,worse,Low,Italian Trade Balance,-0.91B,,51
148,2.0%,CAD,2009-12-16 08:30:00,1.0%,better,Medium,Manufacturing Sales m/m,1.0%,worse,51
149,0.58M,USD,2009-12-16 08:30:00,0.58M,,High,Building Permits,0.55M,,51
150,0.0%,USD,2009-12-16 08:30:00,0.1%,worse,High,Core CPI m/m,0.2%,,51
151,0.4%,USD,2009-12-16 08:30:00,0.4%,,Medium,CPI m/m,0.3%,,51
152,-108B,USD,2009-12-16 08:30:00,-107B,,Medium,Current Account,-98B,,51
153,0.57M,USD,2009-12-16 08:30:00,0.59M,,Medium,Housing Starts,0.53M,,51
154,,GBP,2009-12-16 09:30:00,,,Medium,Chancellor Darling Speaks,,,51
155,-3.7M,USD,2009-12-16 10:30:00,-2.1M,,Medium,Crude Oil Inventories,-3.8M,,51
156,,CAD,2009-12-16 13:05:00,,,Medium,BOC Gov Carney Speaks,,,51
157,,USD,2009-12-16 14:15:00,,,High,FOMC Statement,,,51
158,<0.25%,USD,2009-12-16 14:15:00,<0.25%,,High,Federal Funds Rate,<0.25%,,51
159,116.9,NZD,2009-12-16 16:47:00,,,Low,Westpac Consumer Sentiment,120.3,,51
160,,AUD,2009-12-16 19:30:00,,,Low,RBA Bulletin,,,51
161,38.5,NZD,2009-12-16 21:00:00,,,High,ANZ Business Confidence,43.4,,51
162,7.8%,EUR,2009-12-17 04:15:00,7.7%,worse,Low,Italian Quarterly Unemployment Rate,7.5%,worse,51
163,-0.3%,GBP,2009-12-17 04:30:00,0.5%,worse,High,Retail Sales m/m,0.6%,better,51
164,2.4%,GBP,2009-12-17 04:30:00,,,Medium,Consumer Inflation Expectations,2.4%,,51
165,54.0,CHF,2009-12-17 05:00:00,,,Medium,Credit Suisse Economic Expectations,56.4,,51
166,13,GBP,2009-12-17 06:00:00,14,,High,CBI Realized Sales,13,,51
167,0.4%,CAD,2009-12-17 07:00:00,0.2%,better,High,Core CPI m/m,0.1%,,51
168,0.5%,CAD,2009-12-17 07:00:00,0.3%,better,Medium,CPI m/m,-0.1%,,51
169,5.81B,CAD,2009-12-17 08:30:00,8.11B,worse,Medium,Foreign Securities Purchases,13.27B,worse,51
170,480K,USD,2009-12-17 08:30:00,466K,worse,High,Unemployment Claims,473K,,51
171,20.4,USD,2009-12-17 10:00:00,16.2,better,High,Philly Fed Manufacturing Index,16.7,,51
172,0.9%,USD,2009-12-17 10:00:00,0.8%,better,Low,CB Leading Index m/m,0.3%,,51
173,-207B,USD,2009-12-17 10:30:00,-175B,,Low,Natural Gas Storage,-64B,,51
174,-19,GBP,2009-12-17 19:01:00,-18,worse,Medium,GfK Consumer Confidence,-17,,51
175,,GBP,2009-12-17 19:01:00,,,Low,BOE Financial Stability Report,,,51
176,,JPY,2009-12-17 22:13:00,,,Medium,Monetary Policy Statement,,,51
177,0.10%,JPY,2009-12-17 22:13:00,0.10%,,Medium,Overnight Call Rate,0.10%,,51
178,0.1%,EUR,2009-12-18 02:00:00,0.2%,worse,Medium,German PPI m/m,0.0%,,51
179,,JPY,2009-12-18 02:19:00,,,High,BOJ Press Conference,,,51
180,94.7,EUR,2009-12-18 04:00:00,94.6,,High,German Ifo Business Climate,93.9,,51
181,-4.6B,EUR,2009-12-18 04:00:00,-2.3B,worse,Medium,Current Account,-5.0B,better,51
182,20.3B,GBP,2009-12-18 04:30:00,23.1B,better,High,Public Sector Net Borrowing,10.2B,better,51
183,63K,GBP,2009-12-18 04:30:00,64K,,Medium,Prelim Mortgage Approvals,61K,,51
184,0.0%,GBP,2009-12-18 04:30:00,1.4%,worse,Low,M4 Money Supply m/m,1.7%,,51
185,-0.6%,GBP,2009-12-18 04:30:00,-2.8%,better,Low,Revised Business Investment q/q,-3.0%,,51
186,6.3B,EUR,2009-12-18 05:00:00,5.7B,better,Low,Trade Balance,4.3B,worse,51
187,,EUR,2009-12-18 06:00:00,,,Low,ECB Financial Stability Review,,,51
188,0.3%,CAD,2009-12-18 08:30:00,0.4%,,Medium,Wholesale Sales m/m,0.1%,,51
189,47.6,AUD,2009-12-06 17:30:00,,,Low,AIG Construction Index,50.9,,50
190,5.2%,AUD,2009-12-06 19:30:00,,,Medium,ANZ Job Advertisements m/m,-1.7%,,50
191,,EUR,2009-12-07 03:00:00,,,Medium,ECB President Trichet Speaks,,,50
192,3.1%,CHF,2009-12-07 03:15:00,1.2%,better,High,Retail Sales y/y,-2.1%,worse,50
193,-5.5,EUR,2009-12-07 04:30:00,-4.3,worse,Low,Sentix Investor Confidence,-7.0,,50
194,-2.1%,EUR,2009-12-07 06:00:00,0.6%,worse,Medium,German Factory Orders m/m,1.3%,better,50
195,,EUR,2009-12-07 08:00:00,,,High,ECB President Trichet Speaks,,,50
196,18.0%,CAD,2009-12-07 08:30:00,1.1%,better,High,Building Permits m/m,3.2%,better,50
197,,USD,2009-12-07 12:45:00,,,High,Fed Chairman Bernanke Speaks,,,50
198,-3.5B,USD,2009-12-07 15:00:00,-9.6B,better,Low,Consumer Credit m/m,-8.8B,better,50
199,-5.1%,NZD,2009-12-07 16:45:00,,,Low,Manufacturing Sales q/q,-4.8%,,50
200,,USD,2009-12-07 17:45:00,,,Low,FOMC Member Dudley Speaks,,,50
201,0.2%,JPY,2009-12-07 18:50:00,,,Low,Bank Lending y/y,1.4%,worse,50
202,1.38T,JPY,2009-12-07 18:50:00,1.59T,worse,Low,Current Account,1.34T,,50
203,3.3%,JPY,2009-12-07 18:50:00,3.5%,worse,Low,M2 Money Stock y/y,3.4%,better,50
204,1.8%,GBP,2009-12-07 19:01:00,,,Medium,BRC Retail Sales Monitor y/y,3.8%,,50
205,-16.2B,AUD,2009-12-07 19:30:00,-16.7B,better,Medium,Current Account,-13.1B,,50
206,19,AUD,2009-12-07 19:30:00,,,Medium,NAB Business Confidence,16,,50
207,2.21|3.5,JPY,2009-12-07 22:45:00,,,Low,30-y Bond Auction,2.14|3.3,,50
208,89.7%,JPY,2009-12-08 00:00:00,88.7%,better,Low,Leading Indicators,87.5%,better,50
209,33.9,JPY,2009-12-08 00:30:00,40.3,worse,Low,Economy Watchers Sentiment,40.9,,50
210,,EUR,2009-12-08 00:00:00,,,Non-Economic,Italian Bank Holiday,,,50
211,-134.8B,EUR,2009-12-08 03:03:00,,,Low,French Gov Budget Balance,-125.8B,,50
212,1.4%,GBP,2009-12-08 04:00:00,0.8%,better,High,Halifax HPI m/m,1.1%,,50
213,,AUD,2009-12-08 04:25:00,,,High,RBA Gov Stevens Speaks,,,50
214,0.0%,GBP,2009-12-08 04:30:00,0.5%,worse,High,Manufacturing Production m/m,1.5%,worse,50
215,0.0%,GBP,2009-12-08 04:30:00,0.5%,worse,Low,Industrial Production m/m,1.3%,worse,50
216,3.79|1.8,GBP,2009-12-08 05:37:00,,,Low,10-y Bond Auction,3.92|2.0,,50
217,-1.8%,EUR,2009-12-08 06:00:00,1.1%,worse,Medium,German Industrial Production m/m,3.1%,better,50
218,-42,GBP,2009-12-08 06:00:00,-42,,Medium,CBI Industrial Order Expectations,-45,,50
219,88.3,USD,2009-12-08 07:30:00,,,Low,NFIB Small Business Index,89.1,,50
220,159K,CAD,2009-12-08 08:11:00,159K,,High,Housing Starts,157K,,50
221,,CAD,2009-12-08 09:00:00,,,High,BOC Rate Statement,,,50
222,0.25%,CAD,2009-12-08 09:00:00,0.25%,,High,Overnight Rate,0.25%,,50
223,0.2%,GBP,2009-12-08 10:00:00,,,Medium,NIESR GDP Estimate,-0.4%,,50
224,46.8,USD,2009-12-08 10:00:00,49.5,worse,Low,IBD/TIPP Economic Optimism,47.9,,50
225,2.51M,USD,2009-12-08 10:00:00,,,Low,JOLTS Job Openings,2.59M,better,50
226,-3.8%,AUD,2009-12-08 18:30:00,,,Medium,Westpac Consumer Sentiment,-2.5%,,50
227,0.3%,JPY,2009-12-08 18:50:00,0.8%,worse,Medium,Final GDP q/q,1.2%,,50
228,-0.5%,JPY,2009-12-08 18:50:00,0.2%,worse,Low,Final GDP Price Index y/y,0.2%,,50
229,73,GBP,2009-12-08 19:01:00,71,better,Medium,Nationwide Consumer Confidence,73,better,50
230,0.2%,GBP,2009-12-08 19:01:00,,,Low,BRC Shop Price Index y/y,0.0%,,50
231,-1.4%,AUD,2009-12-08 19:30:00,-1.9%,better,High,Home Loans m/m,3.3%,worse,50
232,-2.38B,AUD,2009-12-08 19:30:00,-1.75B,worse,High,Trade Balance,-1.85B,,50
233,0.5%,NZD,2009-12-08 23:36:00,,,High,Core Retail Sales m/m,-0.1%,worse,50
234,0.0%,NZD,2009-12-08 23:36:00,,,Medium,Retail Sales m/m,0.3%,better,50
235,-8.6%,JPY,2009-12-09 01:00:00,,,Low,Prelim Machine Tool Orders y/y,-42.5%,,50
236,4.1%,CHF,2009-12-09 01:45:00,4.2%,better,Low,Unemployment Rate,4.1%,,50
237,-0.1%,EUR,2009-12-09 02:00:00,-0.2%,better,Low,German Final CPI m/m,-0.2%,,50
238,12.9B,EUR,2009-12-09 02:00:00,10.4B,better,Low,German Trade Balance,9.8B,,50
239,-4.4B,EUR,2009-12-09 02:45:00,-2.3B,worse,Low,French Trade Balance,-2.8B,worse,50
240,-7.1B,GBP,2009-12-09 04:30:00,-6.9B,worse,Medium,Goods Trade Balance,-6.9B,better,50
241,,EUR,2009-12-09 06:00:00,,,Medium,German Buba President Weber Speaks,,,50
242,,GBP,2009-12-09 07:30:00,,,High,Annual Pre-Budget Report,,,50
243,,USD,2009-12-09 08:40:00,,,Low,FOMC Member Duke Speaks,,,50
244,0.3%,USD,2009-12-09 10:00:00,-0.6%,worse,Low,Final Wholesale Inventories m/m,-0.8%,worse,50
245,-3.8M,USD,2009-12-09 10:30:00,0.7M,,Medium,Crude Oil Inventories,2.1M,,50
246,3.45|2.6,USD,2009-12-09 13:00:00,,,Medium,10-y Bond Auction,3.47|2.8,,50
247,2.50%,NZD,2009-12-09 15:00:00,2.50%,,High,Official Cash Rate,2.50%,,50
248,,NZD,2009-12-09 15:00:00,,,High,RBNZ Press Conference,,,50
249,,NZD,2009-12-09 15:00:00,,,High,RBNZ Rate Statement,,,50
250,,NZD,2009-12-09 15:00:00,,,Medium,RBNZ Monetary Policy Statement,,,50
251,51.8,NZD,2009-12-09 16:30:00,,,Low,Business NZ Manufacturing Index,50.5,,50
252,-1.3%,NZD,2009-12-09 16:45:00,-2.3%,better,Low,Overseas Trade Index q/q,-9.4%,worse,50
253,-4.5%,JPY,2009-12-09 18:50:00,-4.4%,,Medium,Core Machinery Orders m/m,10.5%,,50
254,-4.9%,JPY,2009-12-09 18:50:00,-5.1%,better,Low,PPI y/y,-6.8%,,50
255,3.6%,AUD,2009-12-09 19:00:00,,,Medium,MI Inflation Expectations,3.2%,,50
256,31.2K,AUD,2009-12-09 19:30:00,5.3K,better,High,Employment Change,27.2K,better,50
257,5.7%,AUD,2009-12-09 19:30:00,5.9%,better,High,Unemployment Rate,5.8%,,50
258,,AUD,2009-12-09 20:45:00,,,Medium,RBA Assist Gov Debelle Speaks,,,50
259,0.7%,EUR,2009-12-10 02:00:00,0.3%,better,Low,German WPI m/m,-0.4%,,50
260,-0.8%,EUR,2009-12-10 02:45:00,0.6%,worse,Medium,French Industrial Production m/m,-1.2%,better,50
261,-0.6%,EUR,2009-12-10 02:45:00,0.0%,worse,Low,French Final Private Payrolls q/q,0.0%,,50
262,0.25%,CHF,2009-12-10 03:30:00,0.25%,,High,Libor Rate,0.25%,,50
263,,CHF,2009-12-10 03:30:00,,,High,SNB Monetary Policy Assessment,,,50
264,,CHF,2009-12-10 03:30:00,,,High,SNB Press Conference,,,50
265,,EUR,2009-12-10 04:00:00,,,Medium,ECB Monthly Bulletin,,,50
266,0.5%,EUR,2009-12-10 04:00:00,1.6%,worse,Low,Italian Industrial Production m/m,-5.1%,better,50
267,3.89|2.1,EUR,2009-12-10 04:38:00,,,Low,Spanish 10-y Bond Auction,3.87|2.2,,50
268,1.0%,GBP,2009-12-10 06:28:00,,,Low,CB Leading Index m/m,1.1%,better,50
269,200B,GBP,2009-12-10 07:00:00,200B,,High,Asset Purchase Facility,200B,,50
270,,GBP,2009-12-10 07:00:00,,,High,MPC Rate Statement,,,50
271,0.50%,GBP,2009-12-10 07:00:00,0.50%,,High,Official Bank Rate,0.50%,,50
272,0.4B,CAD,2009-12-10 08:30:00,-0.6B,better,High,Trade Balance,-0.9B,,50
273,-32.9B,USD,2009-12-10 08:30:00,-36.9B,better,High,Trade Balance,-35.7B,better,50
274,474K,USD,2009-12-10 08:30:00,463K,worse,High,Unemployment Claims,457K,,50
275,-64B,USD,2009-12-10 10:30:00,-45B,,Low,Natural Gas Storage,2B,,50
276,,EUR,2009-12-10 12:30:00,,,Medium,ECB President Trichet Speaks,,,50
277,4.52|2.4,USD,2009-12-10 13:00:00,,,Low,30-y Bond Auction,4.47|2.3,,50
278,,USD,2009-12-10 13:45:00,,,Low,FOMC Member Duke Speaks,,,50
