,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
52,10.9,USD,2017-12-17 08:30:00,20.1,worse,Low,Empire State Manufacturing Index,23.3,,52
53,56,USD,2017-12-17 10:00:00,61,worse,Low,NAHB Housing Market Index,60,,52
54,-0.5%,AUD,2017-12-17 10:30:00,,,Low,CB Leading Index m/m,-0.1%,,52
55,31.3B,USD,2017-12-17 16:00:00,,,Low,TIC Long-Term Purchases,30.8B,,52
56,-24.1,NZD,2017-12-17 19:00:00,,,Medium,ANZ Business Confidence,-37.1,,52
57,,AUD,2017-12-17 19:30:00,,,Medium,Monetary Policy Meeting Minutes,,,52
58,3.6%,AUD,2017-12-17 20:40:00,,,Low,HIA New Home Sales m/m,-0.8%,,52
59,,CHF,2017-12-18 01:45:00,,,Low,SECO Economic Forecasts,,,52
60,101.0,EUR,2017-12-18 04:00:00,101.8,worse,Medium,German Ifo Business Climate,102.0,,52
61,-0.1%,CAD,2017-12-18 08:30:00,0.3%,worse,Low,Manufacturing Sales m/m,0.2%,,52
62,1.33M,USD,2017-12-18 08:30:00,1.27M,better,Medium,Building Permits,1.27M,,52
63,1.26M,USD,2017-12-18 08:30:00,1.23M,better,Low,Housing Starts,1.22M,,52
64,1.7%,NZD,2017-12-18 09:26:00,,,Low,GDT Price Index,2.2%,,52
65,109.1,NZD,2017-12-18 15:00:00,,,Medium,Westpac Consumer Sentiment,103.5,,52
66,-6.15B,NZD,2017-12-18 16:45:00,-5.94B,worse,Medium,Current Account,-1.63B,,52
67,-0.1%,AUD,2017-12-18 18:30:00,,,Low,MI Leading Index m/m,0.1%,,52
68,-0.49T,JPY,2017-12-18 18:50:00,-0.31T,worse,Low,Trade Balance,-0.29T,,52
69,0.1%,EUR,2017-12-19 02:00:00,-0.1%,better,Low,German PPI m/m,0.3%,,52
70,2.3%,GBP,2017-12-19 04:30:00,2.3%,,High,CPI y/y,2.4%,,52
71,-2.3%,GBP,2017-12-19 04:30:00,-2.9%,better,Medium,PPI Input m/m,0.8%,,52
72,3.2%,GBP,2017-12-19 04:30:00,3.2%,,Medium,RPI y/y,3.3%,,52
73,1.8%,GBP,2017-12-19 04:30:00,1.8%,,Low,Core CPI y/y,1.9%,,52
74,2.7%,GBP,2017-12-19 04:30:00,3.3%,worse,Low,HPI y/y,3.0%,worse,52
75,0.2%,GBP,2017-12-19 04:30:00,-0.1%,better,Low,PPI Output m/m,0.3%,,52
76,8,GBP,2017-12-19 06:00:00,6,better,Low,CBI Industrial Order Expectations,10,,52
77,-0.4%,CAD,2017-12-19 08:30:00,-0.4%,,High,CPI m/m,0.3%,,52
78,1.9%,CAD,2017-12-19 08:30:00,1.9%,,Medium,Common CPI y/y,1.9%,,52
79,1.9%,CAD,2017-12-19 08:30:00,2.0%,worse,Medium,Median CPI y/y,2.0%,,52
80,1.9%,CAD,2017-12-19 08:30:00,2.1%,worse,Medium,Trimmed CPI y/y,2.1%,,52
81,-125B,USD,2017-12-19 08:30:00,-125B,,Low,Current Account,-101B,,52
82,-0.2%,CAD,2017-12-19 08:32:00,,,Low,Core CPI m/m,0.4%,,52
83,-0.9,EUR,2017-12-19 08:59:00,-0.9,,Low,Belgian NBB Business Climate,0.4,,52
84,,CHF,2017-12-19 09:00:00,,,Low,SNB Quarterly Bulletin,,,52
85,1.4%,CNY,2017-12-19 09:00:00,,,Low,CB Leading Index m/m,1.2%,,52
86,5.32M,USD,2017-12-19 10:00:00,5.20M,better,Low,Existing Home Sales,5.22M,,52
87,-0.5M,USD,2017-12-19 10:30:00,-2.7M,,Low,Crude Oil Inventories,-1.2M,,52
88,,USD,2017-12-19 14:00:00,,,High,FOMC Economic Projections,,,52
89,,USD,2017-12-19 14:00:00,,,High,FOMC Statement,,,52
90,<2.50%,USD,2017-12-19 14:00:00,<2.50%,,High,Federal Funds Rate,<2.25%,,52
91,,USD,2017-12-19 14:30:00,,,High,FOMC Press Conference,,,52
92,0.3%,NZD,2017-12-19 16:45:00,0.6%,worse,High,GDP q/q,1.0%,,52
93,-861M,NZD,2017-12-19 16:45:00,-880M,better,Medium,Trade Balance,-1317M,worse,52
94,37.0K,AUD,2017-12-19 19:30:00,20.0K,better,High,Employment Change,28.7K,worse,52
95,5.1%,AUD,2017-12-19 19:30:00,5.0%,worse,High,Unemployment Rate,5.0%,,52
96,6.1%,NZD,2017-12-19 21:00:00,,,Low,Credit Card Spending y/y,6.4%,,52
97,,JPY,2017-12-19 21:52:00,,,High,Monetary Policy Statement,,,52
98,-0.10%,JPY,2017-12-19 21:52:00,-0.10%,,Medium,BOJ Policy Rate,-0.10%,,52
99,1.9%,JPY,2017-12-19 23:30:00,2.0%,,Low,All Industries Activity m/m,-1.0%,,52
100,,JPY,2017-12-20 01:30:00,,,High,BOJ Press Conference,,,52
101,4.74B,CHF,2017-12-20 02:00:00,3.20B,better,Low,Trade Balance,3.52B,worse,52
102,23.0B,EUR,2017-12-20 04:00:00,18.4B,better,Low,Current Account,17.6B,better,52
103,1.4%,GBP,2017-12-20 04:30:00,0.3%,better,High,Retail Sales m/m,-0.4%,better,52
104,-13,GBP,2017-12-20 06:00:00,16,worse,Low,CBI Realized Sales,19,,52
105,0-0-9,GBP,2017-12-20 07:00:00,0-0-9,,High,MPC Official Bank Rate Votes,0-0-9,,52
106,,GBP,2017-12-20 07:00:00,,,High,Monetary Policy Summary,,,52
107,0.75%,GBP,2017-12-20 07:00:00,0.75%,,Medium,Official Bank Rate,0.75%,,52
108,435B,GBP,2017-12-20 07:00:00,435B,,Low,Asset Purchase Facility,435B,,52
109,0-0-9,GBP,2017-12-20 07:03:00,0-0-9,,Low,MPC Asset Purchase Facility Votes,0-0-9,,52
110,39.1K,CAD,2017-12-20 08:30:00,,,Low,ADP Non-Farm Employment Change,1.8K,better,52
111,1.0%,CAD,2017-12-20 08:30:00,0.4%,better,Low,Wholesale Sales m/m,-0.7%,worse,52
112,9.4,USD,2017-12-20 08:30:00,15.1,worse,Low,Philly Fed Manufacturing Index,12.9,,52
113,214K,USD,2017-12-20 08:30:00,216K,,Low,Unemployment Claims,206K,,52
114,0.2%,USD,2017-12-20 10:00:00,0.0%,better,Low,CB Leading Index m/m,-0.3%,worse,52
115,-141B,USD,2017-12-20 10:30:00,-136B,,Low,Natural Gas Storage,-77B,,52
116,0.9%,JPY,2017-12-20 18:30:00,1.0%,worse,Low,National Core CPI y/y,1.0%,,52
117,-14,GBP,2017-12-20 19:01:00,-14,,Low,GfK Consumer Confidence,-13,,52
118,10.4,EUR,2017-12-21 02:00:00,10.3,,Low,German GfK Consumer Climate,10.4,,52
119,-1.0%,EUR,2017-12-21 02:00:00,,,Low,German Import Prices m/m,1.0%,,52
120,-0.3%,EUR,2017-12-21 02:45:00,0.0%,worse,Low,French Consumer Spending m/m,0.9%,better,52
121,-26.5B,GBP,2017-12-21 04:30:00,-21.7B,worse,High,Current Account,-20.0B,better,52
122,0.6%,GBP,2017-12-21 04:30:00,0.6%,,Medium,Final GDP q/q,0.6%,,52
123,6.3B,GBP,2017-12-21 04:30:00,7.0B,better,Medium,Public Sector Net Borrowing,5.6B,better,52
124,-1.1%,GBP,2017-12-21 04:30:00,-1.2%,,Low,Revised Business Investment q/q,-1.2%,,52
125,,GBP,2017-12-21 07:00:00,,,Low,BOE Quarterly Bulletin,,,52
126,0.0%,CAD,2017-12-21 08:30:00,0.2%,worse,High,Core Retail Sales m/m,0.1%,,52
127,0.3%,CAD,2017-12-21 08:30:00,0.2%,better,High,GDP m/m,-0.1%,,52
128,0.3%,CAD,2017-12-21 08:30:00,0.4%,worse,Medium,Retail Sales m/m,0.1%,worse,52
129,-0.3%,USD,2017-12-21 08:30:00,0.3%,worse,High,Core Durable Goods Orders m/m,0.2%,,52
130,3.4%,USD,2017-12-21 08:30:00,3.5%,worse,High,Final GDP q/q,3.5%,,52
131,0.8%,USD,2017-12-21 08:30:00,1.6%,worse,Medium,Durable Goods Orders m/m,-4.3%,,52
132,1.8%,USD,2017-12-21 08:30:00,1.7%,,Low,Final GDP Price Index q/q,1.7%,,52
133,-6,EUR,2017-12-21 09:48:00,-4,worse,Low,Consumer Confidence,-4,,52
134,,CAD,2017-12-21 10:00:00,,,High,BOC Business Outlook Survey,,,52
135,0.1%,USD,2017-12-21 10:00:00,0.2%,worse,Medium,Core PCE Price Index m/m,0.1%,,52
136,0.4%,USD,2017-12-21 10:00:00,0.3%,better,Medium,Personal Spending m/m,0.8%,better,52
137,98.3,USD,2017-12-21 10:00:00,97.6,better,Medium,Revised UoM Consumer Sentiment,97.5,,52
138,0.2%,USD,2017-12-21 10:00:00,0.3%,worse,Low,Personal Income m/m,0.5%,,52
139,2.7%,USD,2017-12-21 10:00:00,,,Low,Revised UoM Inflation Expectations,2.7%,,52
140,,AUD,2017-12-09 16:35:00,,,Medium,RBA Assist Gov Kent Speaks,,,51
141,2.0%,NZD,2017-12-09 16:45:00,,,Low,Manufacturing Sales q/q,1.8%,,51
142,2.1%,JPY,2017-12-09 18:50:00,2.2%,worse,Low,Bank Lending y/y,2.2%,,51
143,1.21T,JPY,2017-12-09 18:50:00,1.29T,worse,Low,Current Account,1.33T,,51
144,-0.6%,JPY,2017-12-09 18:50:00,-0.5%,worse,Low,Final GDP q/q,-0.3%,,51
145,-0.3%,JPY,2017-12-09 18:53:00,-0.3%,,Low,Final GDP Price Index y/y,-0.3%,,51
146,2.2%,AUD,2017-12-09 19:30:00,-0.5%,better,Low,Home Loans m/m,-1.0%,,51
147,51.0,JPY,2017-12-10 00:02:00,49.5,better,Low,Economy Watchers Sentiment,49.5,,51
148,,CAD,2017-12-10 01:30:00,,,Medium,Gov Council Member Lane Speaks,,,51
149,,GBP,2017-12-10 01:30:00,,,Medium,MPC Member Cunliffe Speaks,,,51
150,2.4%,CHF,2017-12-10 01:45:00,2.5%,better,Low,Unemployment Rate,2.5%,,51
151,17.3B,EUR,2017-12-10 02:00:00,17.2B,,Low,German Trade Balance,17.7B,,51
152,0.1%,EUR,2017-12-10 04:00:00,-0.4%,better,Low,Italian Industrial Production m/m,-0.1%,better,51
153,-0.3,EUR,2017-12-10 04:30:00,8.4,worse,Low,Sentix Investor Confidence,8.8,,51
154,0.1%,GBP,2017-12-10 04:30:00,0.1%,,High,GDP m/m,0.0%,,51
155,-0.9%,GBP,2017-12-10 04:30:00,0.0%,worse,High,Manufacturing Production m/m,0.2%,,51
156,-0.2%,GBP,2017-12-10 04:30:00,-0.4%,,Low,Construction Output m/m,1.7%,,51
157,-11.9B,GBP,2017-12-10 04:30:00,-10.5B,worse,Low,Goods Trade Balance,-10.7B,worse,51
158,0.3%,GBP,2017-12-10 04:30:00,0.3%,,Low,Index of Services 3m/3m,0.4%,,51
159,-0.6%,GBP,2017-12-10 04:30:00,-0.4%,worse,Low,Industrial Production m/m,0.0%,,51
160,,CAD,2017-12-10 07:45:00,,,Medium,Gov Council Member Lane Speaks,,,51
161,216K,CAD,2017-12-10 08:13:00,198K,better,Low,Housing Starts,207K,,51
162,0.3%,GBP,2017-12-10 08:24:00,,,Low,NIESR GDP Estimate,0.4%,,51
163,-0.2%,CAD,2017-12-10 08:30:00,-0.2%,,Low,Building Permits m/m,0.4%,,51
164,7.08M,USD,2017-12-10 10:00:00,7.22M,worse,Low,JOLTS Job Openings,6.96M,,51
165,,GBP,2017-12-10 10:30:00,,,High,Prime Minister May Speaks,,,51
166,5.5,JPY,2017-12-10 18:50:00,,,Low,BSI Manufacturing Index,6.5,,51
167,2.3%,JPY,2017-12-10 18:50:00,2.6%,worse,Low,M2 Money Stock y/y,2.7%,,51
168,-1.5%,AUD,2017-12-10 19:30:00,-1.5%,,Medium,HPI q/q,-0.7%,,51
169,3,AUD,2017-12-10 19:30:00,,,Low,NAB Business Confidence,5,better,51
170,0.79|3.8,JPY,2017-12-10 22:35:00,,,Low,30-y Bond Auction,0.87|4.0,,51
171,-16.8%,JPY,2017-12-11 00:58:00,,,Low,Prelim Machine Tool Orders y/y,-0.7%,better,51
172,0.1%,EUR,2017-12-11 01:30:00,0.2%,worse,Low,French Final Private Payrolls q/q,0.2%,,51
173,8.0%,CNY,2017-12-11 04:01:00,8.0%,,Low,M2 Money Supply y/y,8.0%,,51
174,1250B,CNY,2017-12-11 04:01:00,1200B,better,Low,New Loans,697B,,51
175,3.3%,GBP,2017-12-11 04:30:00,3.0%,better,High,Average Earnings Index 3m/y,3.1%,better,51
176,4.1%,GBP,2017-12-11 04:30:00,4.1%,,Medium,Unemployment Rate,4.1%,,51
177,21.9K,GBP,2017-12-11 04:30:00,13.2K,worse,Low,Claimant Count Change,23.2K,worse,51
178,-17.5,EUR,2017-12-11 05:00:00,-25.0,better,Medium,German ZEW Economic Sentiment,-24.1,,51
179,-21.0,EUR,2017-12-11 05:00:00,-23.2,better,Low,ZEW Economic Sentiment,-22.0,,51
180,104.8,USD,2017-12-11 05:45:00,107.3,worse,Low,NFIB Small Business Index,107.4,,51
181,0.1%,USD,2017-12-11 08:30:00,0.0%,better,High,PPI m/m,0.6%,,51
182,0.3%,USD,2017-12-11 08:30:00,0.1%,better,Medium,Core PPI m/m,0.5%,,51
183,,NZD,2017-12-11 14:15:00,,,High,RBNZ Gov Orr Speaks,,,51
184,0.1%,AUD,2017-12-11 18:27:00,,,Medium,Westpac Consumer Sentiment,2.8%,,51
185,7.6%,JPY,2017-12-11 18:50:00,10.2%,worse,Low,Core Machinery Orders m/m,-18.3%,,51
186,2.3%,JPY,2017-12-11 18:50:00,2.4%,,Low,PPI y/y,3.0%,,51
187,1.9%,JPY,2017-12-11 23:30:00,0.9%,better,Low,Tertiary Industry Activity m/m,-1.2%,,51
188,10.2%,EUR,2017-12-12 04:00:00,10.3%,better,Low,Italian Quarterly Unemployment Rate,10.7%,,51
189,0.2%,EUR,2017-12-12 05:00:00,0.2%,,Low,Industrial Production m/m,-0.6%,worse,51
190,82.6%,CAD,2017-12-12 08:30:00,85.8%,worse,Low,Capacity Utilization Rate,84.1%,worse,51
191,0.0%,USD,2017-12-12 08:30:00,0.0%,,High,CPI m/m,0.3%,,51
192,0.2%,USD,2017-12-12 08:30:00,0.2%,,High,Core CPI m/m,0.2%,,51
193,-1.2M,USD,2017-12-12 10:30:00,-3.0M,,Low,Crude Oil Inventories,-7.3M,,51
194,2.92|2.4,USD,2017-12-12 13:01:00,,,Low,10-y Bond Auction,3.21|2.5,,51
195,-0.6%,NZD,2017-12-12 16:45:00,,,Low,FPI m/m,-0.6%,,51
196,4.0%,AUD,2017-12-12 19:00:00,,,Low,MI Inflation Expectations,3.6%,,51
197,-11%,GBP,2017-12-12 19:01:00,-10%,worse,Low,RICS House Price Balance,-10%,,51
198,,AUD,2017-12-12 19:30:00,,,Low,RBA Bulletin,,,51
199,-1.3%,CNY,2017-12-13 01:46:00,,,Low,Foreign Direct Investment ytd/y,3.3%,,51
200,0.1%,EUR,2017-12-13 02:00:00,0.1%,,Low,German Final CPI m/m,0.1%,,51
201,-0.2%,EUR,2017-12-13 02:45:00,-0.2%,,Low,French Final CPI m/m,-0.2%,,51
202,-0.3%,CHF,2017-12-13 03:15:00,0.1%,worse,Low,PPI m/m,0.2%,,51
203,,CHF,2017-12-13 03:30:00,,,High,SNB Monetary Policy Assessment,,,51
204,-0.75%,CHF,2017-12-13 03:30:00,-0.75%,,Medium,Libor Rate,-0.75%,,51
205,,CHF,2017-12-13 04:00:00,,,High,SNB Press Conference,,,51
206,0.00%,EUR,2017-12-13 07:45:00,0.00%,,High,Main Refinancing Rate,0.00%,,51
207,0.0%,CAD,2017-12-13 08:30:00,0.0%,,Low,NHPI m/m,0.0%,,51
208,,EUR,2017-12-13 08:30:00,,,High,ECB Press Conference,,,51
209,-1.6%,USD,2017-12-13 08:30:00,-1.0%,worse,Low,Import Prices m/m,0.5%,,51
210,206K,USD,2017-12-13 08:30:00,226K,better,Low,Unemployment Claims,233K,,51
211,-77B,USD,2017-12-13 10:30:00,-81B,,Low,Natural Gas Storage,-63B,,51
212,3.17|2.3,USD,2017-12-13 13:01:00,,,Medium,30-y Bond Auction,3.42|2.1,,51
213,-204.9B,USD,2017-12-13 14:00:00,-193.5B,worse,Low,Federal Budget Balance,-100.5B,,51
214,53.5,NZD,2017-12-13 16:30:00,,,Low,Business NZ Manufacturing Index,53.7,,51
215,19,JPY,2017-12-13 18:50:00,18,better,Low,Tankan Manufacturing Index,19,,51
216,24,JPY,2017-12-13 18:50:00,21,better,Low,Tankan Non-Manufacturing Index,22,,51
217,52.4,JPY,2017-12-13 19:30:00,52.3,,Low,Flash Manufacturing PMI,52.2,better,51
218,5.9%,CNY,2017-12-13 21:00:00,5.9%,,Medium,Fixed Asset Investment ytd/y,5.7%,,51
219,5.4%,CNY,2017-12-13 21:00:00,5.9%,worse,Medium,Industrial Production y/y,5.9%,,51
220,8.1%,CNY,2017-12-13 21:00:00,8.8%,worse,Low,Retail Sales y/y,8.6%,,51
221,4.8%,CNY,2017-12-13 21:00:00,,,Low,Unemployment Rate,4.9%,,51
222,2.9%,JPY,2017-12-13 23:30:00,2.8%,better,Low,Revised Industrial Production m/m,2.9%,,51
223,0.2%,EUR,2017-12-14 02:00:00,,,Low,German WPI m/m,0.3%,,51
224,49.7,EUR,2017-12-14 03:15:00,50.7,worse,Medium,French Flash Manufacturing PMI,50.8,,51
225,49.6,EUR,2017-12-14 03:15:00,54.8,worse,Medium,French Flash Services PMI,55.1,,51
226,51.5,EUR,2017-12-14 03:30:00,51.8,,Medium,German Flash Manufacturing PMI,51.8,,51
227,52.5,EUR,2017-12-14 03:30:00,53.4,worse,Medium,German Flash Services PMI,53.3,,51
228,51.4,EUR,2017-12-14 04:00:00,51.9,worse,Medium,Flash Manufacturing PMI,51.8,,51
229,51.4,EUR,2017-12-14 04:00:00,53.4,worse,Medium,Flash Services PMI,53.4,,51
230,,EUR,2017-12-14 00:00:00,,,Medium,Euro Summit,,,51
231,0.2%,USD,2017-12-14 08:30:00,0.2%,,High,Core Retail Sales m/m,1.0%,better,51
232,0.2%,USD,2017-12-14 08:30:00,0.1%,better,High,Retail Sales m/m,1.1%,better,51
233,78.5%,USD,2017-12-14 09:15:00,78.6%,,Low,Capacity Utilization Rate,78.1%,worse,51
234,0.6%,USD,2017-12-14 09:15:00,0.3%,better,Low,Industrial Production m/m,-0.2%,worse,51
235,-0.4%,GBP,2017-12-14 09:30:00,,,Low,CB Leading Index m/m,-0.4%,,51
236,53.9,USD,2017-12-14 09:45:00,55.1,worse,Low,Flash Manufacturing PMI,55.3,,51
237,53.4,USD,2017-12-14 09:45:00,54.7,worse,Low,Flash Services PMI,54.7,,51
238,0.6%,USD,2017-12-14 10:00:00,0.6%,,Low,Business Inventories m/m,0.5%,worse,51
239,,EUR,2017-12-15 05:30:00,,,Medium,ECB President Draghi Speaks,,,51
240,51.3,AUD,2017-12-02 16:30:00,,,Low,AIG Manufacturing Index,58.3,,50
241,-0.3%,NZD,2017-12-02 16:45:00,0.1%,worse,Low,Overseas Trade Index q/q,0.4%,worse,50
242,4.5%,JPY,2017-12-02 18:50:00,8.6%,worse,Low,Capital Spending q/y,12.8%,,50
243,0.0%,AUD,2017-12-02 19:00:00,,,Low,MI Inflation Gauge m/m,0.1%,,50
244,-1.5%,AUD,2017-12-02 19:30:00,-1.4%,,Medium,Building Approvals m/m,5.5%,better,50
245,1.9%,AUD,2017-12-02 19:30:00,2.9%,worse,Medium,Company Operating Profits q/q,2.4%,better,50
246,-0.3%,AUD,2017-12-02 19:30:00,,,Low,ANZ Job Advertisements m/m,0.3%,,50
247,52.2,JPY,2017-12-02 19:30:00,51.8,better,Low,Final Manufacturing PMI,51.8,,50
248,50.2,CNY,2017-12-02 20:45:00,50.1,,Low,Caixin Manufacturing PMI,50.1,,50
249,14.9%,AUD,2017-12-03 00:30:00,,,Low,Commodity Prices y/y,14.9%,better,50
250,0.8%,CHF,2017-12-03 03:15:00,-0.7%,better,Low,Retail Sales y/y,-2.5%,better,50
251,52.6,EUR,2017-12-03 03:15:00,51.5,better,Low,Spanish Manufacturing PMI,51.8,,50
252,57.7,CHF,2017-12-03 03:30:00,56.3,better,Low,Manufacturing PMI,57.4,,50
253,48.6,EUR,2017-12-03 03:45:00,48.9,,Low,Italian Manufacturing PMI,49.2,,50
254,50.8,EUR,2017-12-03 03:50:00,50.7,,Low,French Final Manufacturing PMI,50.7,,50
255,51.8,EUR,2017-12-03 03:55:00,51.6,,Low,German Final Manufacturing PMI,51.6,,50
256,51.8,EUR,2017-12-03 04:00:00,51.5,,Low,Final Manufacturing PMI,51.5,,50
257,53.1,GBP,2017-12-03 04:30:00,51.6,better,Medium,Manufacturing PMI,51.1,,50
258,,EUR,2017-12-03 00:00:00,,,Low,Eurogroup Meetings,,,50
259,,USD,2017-12-03 06:30:00,,,Medium,FOMC Member Clarida Speaks,,,50
260,,USD,2017-12-03 08:00:00,,,Medium,FOMC Member Quarles Speaks,,,50
261,,USD,2017-12-03 09:15:00,,,Medium,FOMC Member Williams Speaks,,,50
262,54.9,CAD,2017-12-03 09:30:00,,,Low,Manufacturing PMI,53.9,,50
263,55.3,USD,2017-12-03 09:45:00,55.4,,Low,Final Manufacturing PMI,55.4,,50
264,59.3,USD,2017-12-03 10:00:00,57.5,better,High,ISM Manufacturing PMI,57.7,,50
265,-0.1%,USD,2017-12-03 10:00:00,0.4%,worse,Low,Construction Spending m/m,-0.1%,,50
266,60.7,USD,2017-12-03 10:00:00,70.1,worse,Low,ISM Manufacturing Prices,71.6,,50
267,17.5M,USD,2017-12-03 00:00:00,17.3M,better,Low,Total Vehicle Sales,17.6M,,50
268,,USD,2017-12-03 10:30:00,,,Medium,FOMC Member Brainard Speaks,,,50
269,,GBP,2017-12-03 12:30:00,,,Medium,MPC Member Haldane Speaks,,,50
270,,USD,2017-12-03 18:00:00,,,High,Fed Chair Powell Speaks,,,50
271,,USD,2017-12-03 18:00:00,,,Medium,FOMC Member Brainard Speaks,,,50
272,6.1%,JPY,2017-12-03 18:50:00,5.7%,,Low,Monetary Base y/y,5.9%,,50
273,-0.5%,GBP,2017-12-03 19:01:00,0.3%,worse,Low,BRC Retail Sales Monitor y/y,0.1%,,50
274,-10.7B,AUD,2017-12-03 19:30:00,-10.2B,worse,Medium,Current Account,-12.1B,better,50
275,,AUD,2017-12-03 22:30:00,,,High,RBA Rate Statement,,,50
276,1.50%,AUD,2017-12-03 22:30:00,1.50%,,Medium,Cash Rate,1.50%,,50
277,0.07|3.8,JPY,2017-12-03 22:35:00,,,Low,10-y Bond Auction,0.14|4.3,,50
278,-87.0B,EUR,2017-12-04 02:45:00,,,Low,French Gov Budget Balance,-87.1B,,50
279,-1.8K,EUR,2017-12-04 03:00:00,34.2K,better,Low,Spanish Unemployment Change,52.2K,,50
